ResultCode,ItemInfoId,NameKey,IconTexture,AcquireContents1,AcquireContents2,AcquireContents3,AcquireContents4,AcquireContents5
NotEnoughDiamond,490004,1001,Icon_Asset_Diamond_02,15,16,17,18,23
NotEnoughAdena,490003,1002,Icon_Asset_Adena_01,1,11,,,
NotEnoughSkillPoint,490033,1003,Icon_Asset_SkillPoint_01,1,,,,
NotEnoughRunePiece,490005,1004,Icon_Asset_RuneStone_01,21,13,,,
NotEnoughBloodCrystal,400002,1005,Currency_BloodCrystal_01,19,27,,,
NotEnoughFriendshipPoint,490034,1006,Icon_Asset_Friendship_01,24,,,,
NotEnoughGachaMileage,490035,1007,Icon_Asset_Mileage_01,9,,,,
NotEnoughTopaz,490036,1008,Icon_Asset_Topaz_01,15,,,,
NotEnoughGuildCoin,490006,1009,Currency_GuildCoin_01,29,30,,,
NotEnoughPayDiamond,490004,1010,Icon_Asset_Diamond_01,15,,,,
NotEnoughFreeDiamond,490003,1011,Icon_Asset_Diamond_02,23,16,17,18,
NotEnoughGuildAdena,490062,1012,Currency_GuildAdena_01,29,,,,
NotEnoughGuildBloodCrystal,400003,1013,Icon_Asset_GuildBloodCrystal,29,,,,
NotEnoughCastleSiegeFestivalCoupon,490059,1014,Icon_Asset_FestivelTicket_01,1,,,,
NotEnoughPayRedStarStone,490065,1015,Currency_GuildRedStarStone_01,29,,,,
NotEnoughRedStarStone,490049,1016,Item_GemStoneRed_01,19,31,,,
NotEnoughHonorCoin,490073,561000490073,Icon_Asset_HonorCoin_01,32,,,,
NotEnoughBraveCoin,490074,0,Icon_Asset_Adena_01,33,,,,
NotEnoughAncientCoin,490075,561000490075,Icon_Asset_Adena_01,34,,,,
NotEnoughPayGreenDiamond,490079,1001,Icon_Asset_Diamond_01,10,15,,,
