GroundObjectId,Id,CollisionUnitType,CollisionUnitParam,EffectType,EffectTypeNameKey,EffectParam,EffectGrowth1,EffectGrowth2
11222,112221,,,DamagePhy,0,"1922, 103744, 17000, 26900",1.6,1
11222,112222,,,Buff,0,11222,,
11242,112421,,,DamagePhy,0,"532, 30940, 4000, 6900",1.6,1
11242,112422,,,DamagePhy,0,"424, 25705, 3000, 5900",1.6,1
11242,112423,,,Buff,0,11242,,
11251,112511,,,DamageMag,0,"741, 40041, 5400, 9500",1.6,1
11261,112611,,,DamageMag,0,"2967, 192200, 15400, 25300",1.6,1
11261,112612,,,Buff,0,11261,,
12212,122121,,,DamagePhy,0,"637, 38411, 3600, 8500",1.6,1
12212,122122,,,DamagePhy,0,"637, 38411, 3600, 8500",1.6,1
12212,122123,,,Buff,0,12212,,
12251,122511,,,DamageMag,0,"0,0,0,0",1,1
12261,122611,,,DamageMag,0,"494, 26694, 4400, 14300",1.6,1
13252,132521,,,DamageMag,0,"604, 32626, 4400, 12300",1.6,1
13252,132522,,,Buff,0,13252,,
14262,142621,,,DamageMag,0,"500, 21571, 3000, 12900",1.6,1
14262,142622,,,Buff,0,14262,,
14262,142623,,,DamageMag,0,"400, 17976, 2000, 11900",1.6,1
30005,300051,,,DamageMag,0,"0, 0, 30000, 60000",1,1
30007,300071,,,DamagePhy,0,"0, 0, 40000, 400000",1,1
30012,300121,,,DamagePhy,0,"0, 0, 15000, 42500",1,1
30012,300122,,,DamageMag,0,"0, 0, 15000, 42500",1,1
30012,300123,,,Buff,0,30004,,
30012,300124,,,Buff,0,1001,,
60096,600961,,,DamageMag,0,"0, 0, 9200, 9200",1,1
60097,600971,,,DamageMag,0,"0, 0, 36800, 36800",1,1
60100,601001,,,DamagePhy,0,"0, 0, 7600, 7600",1,1
60115,601151,,,DamageMag,0,"0, 0, 7300, 7300",1,1
60162,601621,,,DamageMag,0,"0, 0, 7300, 7300",1,1
60162,601622,,,Buff,0,601622,1,1
71032,710321,,,DamagePhy,0,"0, 0, 7600, 7600",1,1
71072,710721,,,DamageMag,0,"0, 0, 9200, 9200",1,1
71073,710731,,,DamageMag,0,"0, 0, 36800, 36800",1,1
71073,710732,,,Buff,0,1001,,
71472,714721,,,DamageMag,0,"0,0,15000,15000",1,1
73012,730121,,,DamageMag,0,"0, 0, 15000, 15000",,
73012,1730121,,,DamagePhy,0,"0, 0, 35000, 35000",1,1
73012,730122,,,DamagePhy,0,"0,0,35000,35000",1,1
73012,730123,,,DamagePhy,0,"0,0,15000,15000",1,1
73012,730124,,,Buff,0,122614,,
73032,730321,,,DamagePhy,0,"0, 0, 12000, 12000",1,1
73032,730322,,,DamagePhy,0,"0, 0, 9000, 9000",1,1
74031,740311,,,DamageMag,0,"0, 0, 33000, 33000",1,1
74032,740321,,,Buff,0,74032,,
74051,740511,,,Buff,0,74051,,
74062,740621,,,DamagePhy,0,"0, 0, 45000, 45000",1,1
74062,740622,,,Buff,0,74062,,
74071,740711,,,DamageMag,0,"0, 0, 35000, 35000",1,1
74132,741321,,,DamagePhy,0,"0, 0, 12000, 13000",1,1
1504021,15040211,,,DamageMag,0,"0, 0, 20000, 20000",,
720231,7202311,,,DamagePhy,0,"0, 0, 40000, 40000",,
720231,7202312,,,Buff,0,720232,,
720231,7202313,,,Buff,0,720233,,
720231,7202314,,,Buff,0,720234,,
1720231,17202311,,,DamagePhy,0,"0, 0, 40000, 40000",,
1720231,17202312,,,Buff,0,1720232,,
1720231,17202313,,,Buff,0,1720233,,
1720231,17202314,,,Buff,0,1720234,,
7204311,7204311,,,None,0,,,
7204321,7204321,,,None,0,,,
7204331,7204331,,,None,0,,,
601252,6012521,,,DamageMag,0,"0, 0, 6000, 6000",,
601451,6014511,,,DamageMag,0,"0, 0, 7500, 7500",,
741352,7413521,,,DamagePhy,0,"0, 0, 8500, 8500",,
741352,7413522,,,Buff,0,741352,,
8010441,8010441,,,DecreaseTargetHP,0,5000,,
805000,805000,,,DamagePhy,0,"0, 0, 10000, 10000",1,1
805000,1805000,,,DamageMag,0,"0, 0, 10000, 10000",1,1
805001,805001,,,DamagePhy,0,"0, 0, 10000, 10000",1,1
805001,1805001,,,DamageMag,0,"0, 0, 10000, 10000",1,1
805002,805002,,,DamagePhy,0,"0, 0, 10000, 10000",1,1
805002,1805002,,,DamageMag,0,"0, 0, 10000, 10000",1,1
805003,805003,,,DamagePhy,0,"0, 0, 10000, 10000",1,1
805003,1805003,,,DamageMag,0,"0, 0, 10000, 10000",1,1
72040,72040,,,DamagePhy,0,"0, 0, 10000, 10000",,
1720223,17202231,,,DamageMag,0,"0, 0, 16000, 16000",,
1720223,17202232,,,Buff,0,17200022,,
17203181,17203181,,,DamagePhy,0,"0, 0, 30000, 30000",,
411004,4110041,,,DamageMag,0,"0, 0, 5000, 5000",,
412004,4120041,,,DamageMag,0,"0, 0, 5000, 5000",,
413004,4130041,,,DamageMag,0,"0, 0, 5000, 5000",,
413012,4130121,,,DecreaseTargetHP,0,7000,,
413023,4130232,,,DamageMag,0,"0, 0, 25000, 25000",,
413023,4130233,,,Buff,0,413018,,
414004,4140041,,,DamageMag,0,"0, 0, 5000, 5000",,
414012,4140121,,,DecreaseTargetHP,0,15000,,
414023,4140232,,,DamageMag,0,"0, 0, 25000, 25000",,
414023,4140233,,,Buff,0,414018,,
30015,30015,,,Buff,0,300151,,
401023,4010231,,,DamageMag,0,"0, 0, 9000, 9000",,
401008,4010081,,,DecreaseTargetHPMul,0,"4000, 4000, 1",,
401008,4010082,,,Buff,0,1001,,
401016,4010161,,,DecreaseTargetHPMul,0,"7000, 7000, 1",,
4011021,40110211,,,DamageMag,0,"0, 0, 9000, 9000",,
2000001,2000001,,,None,0,,,
2000002,2000002,,,None,0,,,
2000003,2000003,,,None,0,,,
2000004,2000004,,,None,0,,,
2000005,2000005,,,None,0,,,
2000006,2000006,,,None,0,,,
2000007,2000007,,,None,0,,,
2000008,2000008,,,None,0,,,
100741352,1007413521,,,DecreaseTargetHPMul,0,"1800, 1800",,
100741352,1007413522,,,Buff,0,741352,,
4653,46531,,,DamageMag,0,"0, 0, 25000, 25000",1,1
4653,46532,,,Buff,0,1003,1,1
4654,46541,,,DamageMag,0,"0, 0, 15000, 15000",1,1
