Rank,StatType,StatValue
0,AttackPowerPhy,0
0,AttackPowerMag,0
0,DefensePowerPhy,0
0,DefensePowerMag,0
0,MaxHP,0
0,MaxMP,0
0,Resilience,0
1,AttackPowerPhy,40
1,AttackPowerMag,40
1,DefensePowerPhy,40
1,DefensePowerMag,40
1,MaxHP,60
1,MaxMP,60
1,Resilience,40
2,AttackPowerPhy,80
2,AttackPowerMag,80
2,DefensePowerPhy,100
2,DefensePowerMag,100
2,MaxHP,130
2,MaxMP,130
2,Resilience,100
3,AttackPowerPhy,170
3,AttackPowerMag,170
3,DefensePowerPhy,200
3,DefensePowerMag,200
3,MaxHP,260
3,MaxMP,260
3,Resilience,210
4,AttackPowerPhy,280
4,AttackPowerMag,280
4,DefensePowerPhy,330
4,DefensePowerMag,330
4,MaxHP,430
4,MaxMP,430
4,Resilience,350
5,AttackPowerPhy,410
5,AttackPowerMag,410
5,DefensePowerPhy,480
5,DefensePowerMag,480
5,MaxHP,620
5,MaxMP,620
5,Resilience,520
6,AttackPowerPhy,560
6,AttackPowerMag,560
6,DefensePowerPhy,650
6,DefensePowerMag,650
6,MaxHP,850
6,MaxMP,850
6,Resilience,720
7,AttackPowerPhy,730
7,AttackPowerMag,730
7,DefensePowerPhy,840
7,DefensePowerMag,840
7,MaxHP,1100
7,MaxMP,1100
7,Resilience,930
8,AttackPowerPhy,910
8,AttackPowerMag,910
8,DefensePowerPhy,1050
8,DefensePowerMag,1050
8,MaxHP,1360
8,MaxMP,1360
8,Resilience,1160
9,AttackPowerPhy,1100
9,AttackPowerMag,1100
9,DefensePowerPhy,1270
9,DefensePowerMag,1270
9,MaxHP,1650
9,MaxMP,1650
9,Resilience,1410
10,AttackPowerPhy,1300
10,AttackPowerMag,1300
10,DefensePowerPhy,1500
10,DefensePowerMag,1500
10,MaxHP,1960
10,MaxMP,1960
10,Resilience,1670
11,AttackPowerPhy,1520
11,AttackPowerMag,1520
11,DefensePowerPhy,1750
11,DefensePowerMag,1750
11,MaxHP,2290
11,MaxMP,2290
11,Resilience,1950
12,AttackPowerPhy,1750
12,AttackPowerMag,1750
12,DefensePowerPhy,2020
12,DefensePowerMag,2020
12,MaxHP,2630
12,MaxMP,2630
12,Resilience,2240
13,AttackPowerPhy,1990
13,AttackPowerMag,1990
13,DefensePowerPhy,2290
13,DefensePowerMag,2290
13,MaxHP,2990
13,MaxMP,2990
13,Resilience,2550
14,AttackPowerPhy,2240
14,AttackPowerMag,2240
14,DefensePowerPhy,2580
14,DefensePowerMag,2580
14,MaxHP,3360
14,MaxMP,3360
14,Resilience,2870
15,AttackPowerPhy,2500
15,AttackPowerMag,2500
15,DefensePowerPhy,2870
15,DefensePowerMag,2870
15,MaxHP,3750
15,MaxMP,3750
15,Resilience,3210
16,AttackPowerPhy,2760
16,AttackPowerMag,2760
16,DefensePowerPhy,3180
16,DefensePowerMag,3180
16,MaxHP,4150
16,MaxMP,4150
16,Resilience,3550
17,AttackPowerPhy,3040
17,AttackPowerMag,3040
17,DefensePowerPhy,3500
17,DefensePowerMag,3500
17,MaxHP,4570
17,MaxMP,4570
17,Resilience,3910
18,AttackPowerPhy,3330
18,AttackPowerMag,3330
18,DefensePowerPhy,3830
18,DefensePowerMag,3830
18,MaxHP,5000
18,MaxMP,5000
18,Resilience,4280
19,AttackPowerPhy,3620
19,AttackPowerMag,3620
19,DefensePowerPhy,4170
19,DefensePowerMag,4170
19,MaxHP,5440
19,MaxMP,5440
19,Resilience,4660
20,AttackPowerPhy,3920
20,AttackPowerMag,3920
20,DefensePowerPhy,4520
20,DefensePowerMag,4520
20,MaxHP,5900
20,MaxMP,5900
20,Resilience,5040
21,AttackPowerPhy,4240
21,AttackPowerMag,4240
21,DefensePowerPhy,4880
21,DefensePowerMag,4880
21,MaxHP,6370
21,MaxMP,6370
21,Resilience,5450
22,AttackPowerPhy,4550
22,AttackPowerMag,4550
22,DefensePowerPhy,5240
22,DefensePowerMag,5240
22,MaxHP,6840
22,MaxMP,6840
22,Resilience,5860
23,AttackPowerPhy,4880
23,AttackPowerMag,4880
23,DefensePowerPhy,5620
23,DefensePowerMag,5620
23,MaxHP,7330
23,MaxMP,7330
23,Resilience,6280
24,AttackPowerPhy,5210
24,AttackPowerMag,5210
24,DefensePowerPhy,6000
24,DefensePowerMag,6000
24,MaxHP,7840
24,MaxMP,7840
24,Resilience,6710
25,AttackPowerPhy,5560
25,AttackPowerMag,5560
25,DefensePowerPhy,6390
25,DefensePowerMag,6390
25,MaxHP,8350
25,MaxMP,8350
25,Resilience,7150
26,AttackPowerPhy,5900
26,AttackPowerMag,5900
26,DefensePowerPhy,6800
26,DefensePowerMag,6800
26,MaxHP,8870
26,MaxMP,8870
26,Resilience,7590
27,AttackPowerPhy,6260
27,AttackPowerMag,6260
27,DefensePowerPhy,7200
27,DefensePowerMag,7200
27,MaxHP,9410
27,MaxMP,9410
27,Resilience,8050
28,AttackPowerPhy,6620
28,AttackPowerMag,6620
28,DefensePowerPhy,7620
28,DefensePowerMag,7620
28,MaxHP,9950
28,MaxMP,9950
28,Resilience,8520
