UpgradeType,Id,NameKey,DescriptionKey,Lv,EffectValue,UIValue,EffectType
HolyArtifact,1001,761000001001,762000001001,1,1,1,HolyArtifactImprintTime
HolyArtifact,1002,761000001001,762000001002,2,2,2,HolyArtifactImprintTime
HolyArtifact,1003,761000001001,762000001003,3,3,3,HolyArtifactImprintTime
HolyArtifact,1004,761000001001,762000001004,4,4,4,HolyArtifactImprintTime
HolyArtifact,1005,761000001001,762000001005,5,5,5,HolyArtifactImprintTime
DefenseTower,2001,761000002001,762000002001,1,500,500,MaxHP
DefenseTower,2002,761000002001,762000002002,2,1000,1000,MaxHP
DefenseTower,2003,761000002001,762000002003,3,1500,1500,MaxHP
DefenseTower,2004,761000002001,762000002004,4,2000,2000,MaxHP
DefenseTower,2005,761000002001,762000002005,5,2500,2500,MaxHP
Trap,3001,761000003001,762000003001,1,80003,1,TrapAttack
Trap,3002,761000003001,762000003002,2,80004,2,TrapAttack
Trap,3003,761000003001,762000003003,3,80005,3,TrapAttack
Trap,3004,761000003001,762000003004,4,80006,4,TrapAttack
Trap,3005,761000003001,762000003005,5,80007,5,TrapAttack
