GroupId,TabId,TabNameKey,NameKey,DescKey,BGImage,ContentType,ButtonShow,ButtonTextKey,EventBuff
4,1,1231000000001,1232000000001,1233000000001,BG_TargetEvent_Benefit_Speed,,0,0,7701
4,2,1231000000002,1232000000002,1233000000002,BG_TargetEvent_Benefit_ExpNAdena,,0,0,
4,3,1231000000003,1232000000003,1233000000004,BG_TargetEvent_Benefit_BeautyShop,BeautyShop,1,1234000000001,
5,1,1231000000051,1232000000051,1233000000051,UI_BG_TargetEvent_Costume,Costume,1,1234000000001,
5,2,1231000000052,1232000000052,1233000000052,UI_BG_TargetEvent_Storage,,0,0,
5,3,1231000000053,1232000000053,1233000000053,UI_BG_TargetEvent_Freesiege,FreeFortressSiege,1,1234000000001,
5,4,1231000000054,1232000000054,1233000000054,UI_BG_TargetEvent_PartyDungeon,PartyDungeon,1,1234000000001,
6,1,1231000000001,1232000000001,1233000000001,BG_BACKImage1,,0,0,
6,2,1231000000002,1232000000002,1233000000002,BG_BACKImage1,,0,0,
7,1,1231000000051,1232000000051,1233000000051,UI_BG_TargetEvent_Costume,Costume,1,1234000000001,
7,2,1231000000052,1232000000052,1233000000052,UI_BG_TargetEvent_Storage,,0,0,
8,1,1231000000001,1232000000001,1233000000001,BG_BACKImage1,,0,0,
9,1,1231000000051,1232000000051,1233000000051,UI_BG_TargetEvent_Costume,Costume,1,1234000000001,
