Id,NameKey,DungeonMenuType,DungeonType,IntParam,DescriptionKey,BackgroundImage,ContentShow,ContentsLockKeyword
1,2001,Normal,Daily,0,682000000001,UI_Image_Dailydungeon,1,DAILY_DUNGEON
2,2006,Normal,Infinity,0,682000000002,UI_Image_Infinitydungeon,1,INFINITY_DUNGEON
3,2002,Normal,Regular,0,682000000003,UI_Btn_EliteDungeon,1,ELITE_DUNGEON_0
4,2003,Normal,Gathering,0,682000000004,UI_Image_CollectDungeon,1,COLLECT_DUNGEON
5,2004,Normal,Equipment,0,682000000005,UI_Image_ItemDungeon,1,EQUIP_DUNGEON
6,2005,Normal,Adena,0,682000000006,UI_Image_AdenaDungeon,1,ADENA_DUNGEON
7,191000000205,Normal,Exp,0,682000000007,UI_Image_EXPDungeon,1,EXP_DUNGEON
8,731000003912,Normal,SummonStone,0,682000000008,UI_Image_UpgradeStoneDungeon,1,SUMMON_STONE_DUNGEON
9,2008,Normal,Refinement,0,682000000009,UI_Image_UpgradeStoneDungeon,0,REFINEMENT_DUNGEON
10,681000000010,Guild,Guild,1,682000000010,UI_Image_GuildDungeon_01,1,GUILD_DUNGEON_1
11,681000000011,Guild,Guild,2,682000000011,UI_Image_GuildDungeon_02,1,GUILD_DUNGEON_2
12,691000090401,Guild,Guild,3,682000000012,UI_Image_GuildDungeon_03,1,GUILD_DUNGEON_3
13,10011229,Guild,Guild,4,682000000013,UI_Image_GuildDungeon_04,0,GUILD_DUNGEON_4
14,681000000014,Party,Party,1,682000000014,UI_Image_PartyDungeon_1,1,PARTY_DUNGEON_1
15,681000000015,Party,Party,2,682000000015,UI_Image_PartyDungeon_2,1,PARTY_DUNGEON_2
16,681000000016,Party,Party,3,682000000016,UI_Image_PartyDungeon_3,1,PARTY_DUNGEON_3
