Id,GroupId,RequiredId,NameKey,DescKey,TaskType,TaskCount,RewardBloodCrystal,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon,AchievementGroupType,PlayerRewardType1,PlayerRewardInfold1,PlayerRewardCount1,PlayerRewardType2,PlayerRewardInfold2,PlayerRewardCount2,GuildRewardType1,GuildRewardInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardInfold2,GuildRewardCount2
101011,1,,801000101011,802000101011,Count_KillMonster_Region,600,15,1000,911191,3,,Icon_SoulShot_01,,TalkingIsland,Adena,,1000,Item,490022,1,Item,911191,2,Item,1302001,2
101012,1,101011,801000101011,802000101011,Count_KillMonster_Region,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,TalkingIsland,Adena,,2000,Item,490022,1,Item,919220,2,Item,1302001,5
101013,1,101012,801000101011,802000101011,Count_KillMonster_Region,6000,50,3000,911191,5,,Icon_SoulShot_01,,TalkingIsland,Adena,,3000,Item,490022,1,Item,911191,3,Item,1302001,8
101014,1,101013,801000101011,802000101011,Count_KillMonster_Region,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,TalkingIsland,Adena,,4000,Item,490022,3,Item,919220,3,Item,1302001,10
101015,1,101014,801000101011,802000101011,Count_KillMonster_Region,20000,75,6000,911191,7,,Icon_SoulShot_01,,TalkingIsland,Adena,,6000,Item,490022,3,Item,911191,4,Item,1302001,15
101016,1,101015,801000101011,802000101011,Count_KillMonster_Region,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,TalkingIsland,Adena,,8000,Item,490022,3,Item,919220,4,Item,1302001,20
101017,1,101016,801000101011,802000101011,Count_KillMonster_Region,45000,110,10000,911191,10,,Icon_SoulShot_01,,TalkingIsland,Adena,,10000,Item,490022,5,Item,911191,5,Item,1302001,25
101018,1,101017,801000101011,802000101011,Count_KillMonster_Region,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,TalkingIsland,Adena,,12000,Item,490022,5,Item,919220,5,Item,1302001,30
101019,1,101018,801000101011,802000101011,Count_KillMonster_Region,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,TalkingIsland,Adena,,15000,Item,490022,5,Item,911191,6,Item,1302001,35
101021,2,,801000101021,802000101021,Count_KillMonster_Region,600,15,1000,911191,3,,Icon_SoulShot_01,,TalkingIsland,Adena,,1000,Item,490022,1,Item,911191,2,Item,1302001,2
101022,2,101021,801000101021,802000101021,Count_KillMonster_Region,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,TalkingIsland,Adena,,2000,Item,490022,1,Item,919220,2,Item,1302001,5
101023,2,101022,801000101021,802000101021,Count_KillMonster_Region,6000,50,3000,911191,5,,Icon_SoulShot_01,,TalkingIsland,Adena,,3000,Item,490022,1,Item,911191,3,Item,1302001,8
101024,2,101023,801000101021,802000101021,Count_KillMonster_Region,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,TalkingIsland,Adena,,4000,Item,490022,3,Item,919220,3,Item,1302001,10
101025,2,101024,801000101021,802000101021,Count_KillMonster_Region,20000,75,6000,911191,7,,Icon_SoulShot_01,,TalkingIsland,Adena,,6000,Item,490022,3,Item,911191,4,Item,1302001,15
101026,2,101025,801000101021,802000101021,Count_KillMonster_Region,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,TalkingIsland,Adena,,8000,Item,490022,3,Item,919220,4,Item,1302001,20
101027,2,101026,801000101021,802000101021,Count_KillMonster_Region,45000,110,10000,911191,10,,Icon_SoulShot_01,,TalkingIsland,Adena,,10000,Item,490022,5,Item,911191,5,Item,1302001,25
101028,2,101027,801000101021,802000101021,Count_KillMonster_Region,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,TalkingIsland,Adena,,12000,Item,490022,5,Item,919220,5,Item,1302001,30
101029,2,101028,801000101021,802000101021,Count_KillMonster_Region,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,TalkingIsland,Adena,,15000,Item,490022,5,Item,911191,6,Item,1302001,35
101031,3,,801000101031,802000101031,Count_KillMonster_Region,600,15,1000,911191,3,,Icon_SoulShot_01,,Gludio,Adena,,1000,Item,490022,1,Item,911191,2,Item,1302001,2
101032,3,101031,801000101031,802000101031,Count_KillMonster_Region,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,Gludio,Adena,,2000,Item,490022,1,Item,919220,2,Item,1302001,5
101033,3,101032,801000101031,802000101031,Count_KillMonster_Region,6000,50,3000,911191,5,,Icon_SoulShot_01,,Gludio,Adena,,3000,Item,490022,1,Item,911191,3,Item,1302001,8
101034,3,101033,801000101031,802000101031,Count_KillMonster_Region,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,4000,Item,490022,3,Item,919220,3,Item,1302001,10
101035,3,101034,801000101031,802000101031,Count_KillMonster_Region,20000,75,6000,911191,7,,Icon_SoulShot_01,,Gludio,Adena,,6000,Item,490022,3,Item,911191,4,Item,1302001,15
101036,3,101035,801000101031,802000101031,Count_KillMonster_Region,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,Gludio,Adena,,8000,Item,490022,3,Item,919220,4,Item,1302001,20
101037,3,101036,801000101031,802000101031,Count_KillMonster_Region,45000,110,10000,911191,10,,Icon_SoulShot_01,,Gludio,Adena,,10000,Item,490022,5,Item,911191,5,Item,1302001,25
101038,3,101037,801000101031,802000101031,Count_KillMonster_Region,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,12000,Item,490022,5,Item,919220,5,Item,1302001,30
101039,3,101038,801000101031,802000101031,Count_KillMonster_Region,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,15000,Item,490022,5,Item,911191,6,Item,1302001,35
101041,4,,801000101041,802000101041,Count_DonationAdena,262500,15,1000,911191,3,,Icon_SoulShot_01,,GuildGrowth,Adena,,1000,Item,490022,1,BloodCrystal,,15000,Item,1302001,2
101042,4,101041,801000101041,802000101041,Count_DonationAdena,980000,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,2000,Item,490022,1,Exp,,2500,Item,1302001,5
101043,4,101042,801000101041,802000101041,Count_DonationAdena,1925000,50,3000,911191,5,,Icon_SoulShot_01,,GuildGrowth,Adena,,3000,Item,490022,1,RedGemStone,,7000,Item,1302001,8
101044,4,101043,801000101041,802000101041,Count_DonationAdena,3675000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,4000,Item,490022,3,Item,900007,2,Item,1302001,10
101045,4,101044,801000101041,802000101041,Count_DonationAdena,5950000,75,6000,911191,7,,Icon_SoulShot_01,,GuildGrowth,Adena,,6000,Item,490022,3,BloodCrystal,,20000,Item,1302001,15
101046,4,101045,801000101041,802000101041,Count_DonationAdena,8750000,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,8000,Item,490022,3,Exp,,5000,Item,1302001,20
101047,4,101046,801000101041,802000101041,Count_DonationAdena,13125000,110,10000,911191,10,,Icon_SoulShot_01,,GuildGrowth,Adena,,10000,Item,490022,5,RedGemStone,,8000,Item,1302001,25
101048,4,101047,801000101041,802000101041,Count_DonationAdena,18375000,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,12000,Item,490022,5,Exp,,7000,Item,1302001,30
101049,4,101048,801000101041,802000101041,Count_DonationAdena,24500000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,15000,Item,490022,5,Item,900007,3,Item,1302001,35
102011,5,,801000102011,802000102011,Count_KillMonster_Region,600,15,1000,911191,3,,Icon_SoulShot_01,,Gludio,Adena,,1000,Item,490022,1,Item,911191,2,Item,1302001,2
102012,5,102011,801000102011,802000102011,Count_KillMonster_Region,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,Gludio,Adena,,2000,Item,490022,1,Item,919220,2,Item,1302001,5
102013,5,102012,801000102011,802000102011,Count_KillMonster_Region,6000,50,3000,911191,5,,Icon_SoulShot_01,,Gludio,Adena,,3000,Item,490022,1,Item,911191,3,Item,1302001,8
102014,5,102013,801000102011,802000102011,Count_KillMonster_Region,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,4000,Item,490022,3,Item,919220,3,Item,1302001,10
102015,5,102014,801000102011,802000102011,Count_KillMonster_Region,20000,75,6000,911191,7,,Icon_SoulShot_01,,Gludio,Adena,,6000,Item,490022,3,Item,911191,4,Item,1302001,15
102016,5,102015,801000102011,802000102011,Count_KillMonster_Region,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,Gludio,Adena,,8000,Item,490022,3,Item,919220,4,Item,1302001,20
102017,5,102016,801000102011,802000102011,Count_KillMonster_Region,45000,110,10000,911191,10,,Icon_SoulShot_01,,Gludio,Adena,,10000,Item,490022,5,Item,911191,5,Item,1302001,25
