Id,GroupId,Type,DialogTexture,NpcNameKey,MessageKey,Animation,PortraitDirectoryType,FlipPortrait
101,101,PopUp,Aimel,10010357,31100000101,,,0
102,102,PopUp,Aimel,10010357,31100000102,,,0
103,102,PopUp,ArmorMerchant_01,10010163,31100000103,,,0
104,103,PopUp,Aimel,10010357,31100000104,,,0
105,104,PopUp,Aimel,10010357,31100000105,,,0
106,104,PopUp,ArmorMerchant_01,10010163,31100000106,,,0
107,105,PopUp,Aimel,10010357,31100000107,,,0
108,105,PopUp,HardinsFollower,10010001,31100000108,,,0
109,106,PopUp,Aimel,10010357,31100000109,,,0
110,107,PopUp,Aimel,10010357,31100000110,,,0
111,108,PopUp,Aimel,10010357,31100000111,,,0
100011,10001,SpeechBubble,,0,31000100011,,,0
100021,10002,SpeechBubble,,0,31000100021,,,0
100041,10004,SpeechBubble,,0,31000100041,,,0
101171,10117,SpeechBubble,,0,31000101171,,,0
101181,10118,SpeechBubble,,0,31000101181,,,0
101191,10119,SpeechBubble,,0,31000101191,,,0
101201,10120,SpeechBubble,,0,31000101201,,,0
101211,10121,SpeechBubble,,0,31000101211,,,0
101231,10123,SpeechBubble,,0,31000101231,,,0
101241,10124,SpeechBubble,,0,31000101241,,,0
101261,10126,SpeechBubble,,0,31000101261,,,0
101301,10130,SpeechBubble,,0,31000101301,,,0
101311,10131,SpeechBubble,,0,31000101311,,,0
101331,10133,SpeechBubble,,0,31000101331,,,0
101341,10134,SpeechBubble,,0,31000101341,,,0
101381,10138,SpeechBubble,,0,31000101381,,,0
101391,10139,SpeechBubble,,0,31000101391,,,0
101441,10144,SpeechBubble,,0,31000101391,,,0
101451,10145,SpeechBubble,,0,31000101451,,,0
101461,10146,SpeechBubble,,0,31000101381,,,0
101471,10147,SpeechBubble,,0,31000101391,,,0
101501,10150,SpeechBubble,,0,31000101501,,,0
101541,10154,SpeechBubble,,0,31000101541,,,0
101542,10154,SpeechBubble,,0,31000101542,,,0
101543,10154,SpeechBubble,,0,31000101543,,,0
101544,10154,SpeechBubble,,0,31000101544,,,0
101545,10154,SpeechBubble,,0,31000101545,,,0
101551,10155,SpeechBubble,,0,31000101551,,,0
101571,10157,SpeechBubble,,0,31000101571,,,0
101611,10161,SpeechBubble,,0,31000101611,,,0
101621,10162,SpeechBubble,,0,31000101621,,,0
101771,10177,SpeechBubble,,0,31000101771,,,0
101811,10181,SpeechBubble,,0,31000101811,,,0
101821,10182,SpeechBubble,,0,31000101821,,,0
101831,10183,SpeechBubble,,0,31000101831,,,0
101841,10184,SpeechBubble,,0,31000101841,,,0
101911,10191,SpeechBubble,,0,31000101911,,,0
101921,10192,SpeechBubble,,0,31000101921,,,0
101931,10193,SpeechBubble,,0,31000101931,,,0
101941,10194,SpeechBubble,,0,31000101941,,,0
101961,10196,SpeechBubble,,0,31000101961,,,0
101971,10197,SpeechBubble,,0,31000101971,,,0
101981,10198,SpeechBubble,,0,31000101981,,,0
102011,10201,SpeechBubble,,0,31000102011,,,0
102221,10222,SpeechBubble,,0,31000102221,,,0
102501,10250,SpeechBubble,,0,31000102501,,,0
102511,10251,SpeechBubble,,0,31000102511,,,0
102551,10255,SpeechBubble,,0,31000102551,,,0
102561,10256,SpeechBubble,,0,31000102561,,,0
103001,10300,SpeechBubble,,0,31000103001,,,0
103011,10301,SpeechBubble,,0,31000103011,,,0
103021,10302,SpeechBubble,,0,31000103021,,,0
111671,11167,SpeechBubble,,0,31000111671,,,0
111691,11169,SpeechBubble,,0,31000111691,,,0
