Id,ItemNameKey,MarketId,HighendEffect,TableInfoldList,ConditionFortressGrade,ItemType,ItemId,ProductValue,UnBindType,CostType,CostPropertyType,Cost,RequiredGuildLevel,GradeLimit,PurchaseLimit,PurchaseLimitValue,PurchaseLimitAddValueType,PurchaseLimitAddValueStartLevel,PurchaseLimitAddValue,RewardGuildCoin,IconTexture,Desc1Key,Desc2Key,DisplayOrder
100001,141000000001,Normal,0,,,Item,910310,1,0,GuildCoin,Player,10,1,Knight,Daily,3,None,0,,0,Icon_PkPointReducer,142000000001,0,10
100002,141000000002,Normal,0,,,Item,911174,1,0,GuildCoin,Player,16,2,Knight,Daily,1,Guild,2,0.1,0,Icon_Box_EquipLevelMaterial,142000000002,143000000001,20
100003,141000000003,Normal,0,,,Item,910214,1,0,GuildCoin,Player,20,3,Knight,Daily,2,Guild,3,0.1,0,Icon_Gacha_HerbPotion,142000000003,143000000001,30
100004,141000000004,Normal,0,,,Item,490019,1,0,GuildCoin,Player,5,4,Knight,Daily,2,Guild,4,0.1,0,Icon_Box_Rune_01,142000000004,143000000001,40
100005,141000000005,Normal,0,,,Item,900012,1,0,GuildCoin,Player,30,5,Knight,Weekly,3,Guild,5,0.1,0,Icon_GachaItem_SoulCrystal,142000000005,143000000001,50
100006,141000000006,Normal,0,,,Item,900010,1,0,GuildCoin,Player,40,6,Knight,Weekly,3,Guild,6,0.1,0,Icon_GachaItem_EnchantScroll,142000000006,143000000001,60
100007,141000000007,Normal,0,,,Item,910316,1,0,GuildCoin,Player,60,7,Knight,Daily,1,None,0,,0,Icon_PkPointReducer_02_Shop,142000000007,143000000001,70
100008,141000000008,Normal,0,,,Item,900009,1,0,GuildCoin,Player,50,8,Knight,Weekly,2,Guild,8,0.1,0,Icon_GachaItem_Transcendence,142000000008,143000000001,80
100009,141000000009,Normal,0,,,Item,911005,1,0,GuildCoin,Player,32,9,Knight,Daily,1,Guild,9,0.1,0,Item_Box_SummonStone_01,142000000009,143000000001,90
100010,141000000010,Normal,0,,,Item,490066,5,0,GuildCoin,Player,60,10,Knight,Weekly,1,Guild,10,0.1,0,Icon_Asset_Protector_Piece01,142000000010,143000000001,100
100012,141000000012,Normal,0,,,Item,500100,5,0,GuildCoin,Player,50,12,Knight,Daily,1,Guild,12,0.1,0,Icon_Shop_Relic_Key_1001,142000000012,143000000001,120
100015,141000000015,Normal,0,,,Item,900008,1,0,GuildCoin,Player,64,15,Knight,Monthly,3,None,0,,0,Icon_Shop_Gacha_Equipment_01,142000000015,143000000001,150
100017,141000000017,Normal,1,,,Item,510103,1,0,GuildCoin,Player,50,15,Knight,Daily,1,None,0,,0,Icon_Combine_Unidentifiy_Material01_Shop,142000000017,143000000001,120
100020,141000000020,Normal,0,,,Item,900007,1,0,GuildCoin,Player,48,20,Knight,Monthly,3,None,0,,0,Icon_Shop_Gacha_Material_01,142000000020,143000000001,200
100101,141000000101,Normal,1,,C,Item,10910158,1,0,GuildCoin,Player,40,1,Knight,Daily,1,FortressGrade,0,0.35,0,Icon_SummonGem_101,142000000101,143000000101,1010
100102,141000000102,Normal,1,,S,Item,10910159,1,0,GuildCoin,Player,60,1,Knight,Daily,1,FortressGrade,0,0.2,0,Icon_SummonGem_101,142000000102,143000000102,1020
101001,141000001001,Gift,0,,,Item,900018,1,0,PayDiamond,Player,120,1,Knight,Daily,5,None,0,,3,Icon_Shop_Gacha_Equipment_01,142000001001,0,10010
101002,141000001002,Gift,0,,,Item,900018,11,0,PayDiamond,Player,1200,1,Knight,Daily,5,None,0,,30,Icon_Shop_Gacha_Equipment_01,142000001002,0,10020
101003,141000001003,Gift,0,,,Item,900010,1,0,PayDiamond,Player,70,1,Knight,Daily,10,None,0,,2,Icon_GachaItem_EnchantScroll,142000001003,0,10030
101004,141000001004,Gift,0,,,Item,449999,5,0,PayDiamond,Player,100,1,Knight,Daily,5,None,0,,2,UI_Icon_TeleportScroll,142000001004,0,10040
101005,141000001005,Gift,0,,,Item,440001,200,0,PayDiamond,Player,100,1,Knight,Daily,5,None,0,,1,Icon_Shop_HpPotion_01,142000001005,0,10050
101006,141000001006,Gift,0,,,Item,440011,200,0,PayDiamond,Player,100,1,Knight,Daily,5,None,0,,1,Icon_Shop_MpPotion_01,142000001006,0,10060
101007,141000001007,Gift,0,,,Item,400001,5000,0,PayDiamond,Player,200,1,Knight,Daily,5,None,0,,1,Icon_SoulShot_01,142000001007,0,10070
102001,141000002001,Fortress,0,,C,Item,10910154,1,0,GuildBloodCrystal,Guild,30000,1,Master,Weekly,1,FortressGrade,0,0.35,0,Icon_SummonGem_02_Shop,142000002001,143000000101,20010
102002,141000002002,Fortress,0,,S,Item,910208,1,0,GuildBloodCrystal,Guild,40000,1,Master,Weekly,1,FortressGrade,0,0.2,0,Icon_SummonGem_02_Shop,142000002002,143000000102,20020
102003,141000002003,Fortress,0,,C,Item,900011,1,1,GuildBloodCrystal,Guild,64000,1,Master,Weekly,3,FortressGrade,0,0.35,0,Icon_GachaItem_BlessEnchantScroll,142000002003,143000000101,20030
102004,141000002004,Fortress,0,,S,Item,910237,1,1,GuildBloodCrystal,Guild,64000,1,Master,Weekly,3,FortressGrade,0,0.2,0,Icon_GachaItem_BlessEnchantScroll,142000002004,143000000102,20040
102005,141000002005,Fortress,0,,C,Item,490027,1,1,GuildBloodCrystal,Guild,15000,1,Master,Weekly,3,FortressGrade,0,0.35,0,Icon_Transcendence_03,142000002005,143000000101,20050
102006,141000002006,Fortress,0,,S,Item,490037,1,1,GuildBloodCrystal,Guild,50000,1,Master,Weekly,3,FortressGrade,0,0.2,0,Icon_Transcendence_02,142000002006,143000000102,20060
102007,141000002007,Fortress,0,,C,Item,10914005,1,0,GuildBloodCrystal,Guild,7000,1,Master,Weekly,3,FortressGrade,0,0.35,0,Icon_Box_EquipLevelMaterial_101,142000002007,143000000101,20070
102008,141000002008,Fortress,0,,S,Item,10904005,1,0,GuildBloodCrystal,Guild,10000,1,Master,Weekly,3,FortressGrade,0,0.2,0,Icon_Box_EquipLevelMaterial_101,142000002008,143000000102,20080
102009,141000002009,Fortress,0,,C,Item,910214,1,0,GuildBloodCrystal,Guild,2500,1,Master,Weekly,10,FortressGrade,0,0.35,0,Icon_Gacha_HerbPotion,142000002009,143000000101,20090
102010,141000002010,Fortress,0,,S,Item,910008,1,0,GuildBloodCrystal,Guild,10000,1,Master,Weekly,5,FortressGrade,0,0.2,0,Icon_Gacha_HerbPotion,142000002010,143000000102,20100
102011,141000002011,Fortress,0,,C,Item,910204,1,0,GuildBloodCrystal,Guild,5000,1,Master,Weekly,10,FortressGrade,0,0.35,0,Icon_GachaItem_Soulcrystal,142000002011,143000000101,20110
102012,141000002012,Fortress,0,,S,Item,10910155,1,0,GuildBloodCrystal,Guild,20000,1,Master,Weekly,5,FortressGrade,0,0.2,0,Icon_GachaItem_Soulcrystal,142000002012,143000000102,20120
102179,141000102179,Fortress,0,,C,Item,1305001,1,0,GuildBloodCrystal,Guild,5000,1,Master,Weekly,3,FortressGrade,0,0.1,0,UI_Icon_CapeColorChange_01_Shop,142000102179,143000000101,20130
102180,141000102180,Fortress,0,,S,Item,1305002,1,0,GuildBloodCrystal,Guild,10000,1,Master,Weekly,3,FortressGrade,0,0.1,0,UI_Icon_CapeColorChange_02_Shop,142000102179,143000000102,20140
102181,141000102181,Fortress,0,,SR,Item,1305003,1,0,GuildBloodCrystal,Guild,20000,1,Master,Weekly,3,FortressGrade,0,0.1,0,UI_Icon_CapeColorChange_03_Shop,142000102179,143000000103,20150
102182,141000102182,Fortress,0,,C,Item,1305101,1,0,GuildBloodCrystal,Guild,5000,1,Master,Weekly,3,FortressGrade,0,0.1,0,UI_Icon_CapeEmblemColorChange_01_Shop,142000102182,143000000101,20160
102183,141000102183,Fortress,0,,S,Item,1305102,1,0,GuildBloodCrystal,Guild,10000,1,Master,Weekly,3,FortressGrade,0,0.1,0,UI_Icon_CapeEmblemColorChange_02_Shop,142000102182,143000000102,20170
102184,141000102184,Fortress,0,,SR,Item,1305103,1,0,GuildBloodCrystal,Guild,20000,1,Master,Weekly,3,FortressGrade,0,0.1,0,UI_Icon_CapeEmblemColorChange_03_Shop,142000102182,143000000103,20180
102185,141000102185,Fortress,0,,SR,Item,1302005,70,0,GuildBloodCrystal,Guild,10000,1,Master,Weekly,3,FortressGrade,0,0.1,0,UI_Icon_CapeExpMaterial_Guild_02_Shop,142000102185,143000000103,20180
104001,141000004001,GuildMasterBuff,0,,,GuildMasterBuff,302001,1,0,PayDiamond,Player,400,1,Master,Daily,1,None,0,,0,Icon_Shop_GuildMaster_01,142000004001,0,40010
