Id,GipType,ContentsLockKeyword,TipTextKey,Texture,Texture_zh_TW,Texture_th_TH,Texture_id_ID
1,TalkingIsland,,0,L10N/en/LoadingImage/01.jpg,L10N/zh-TW/LoadingImage/01_tw.jpg,L10N/th-TH/LoadingImage/01_th.jpg,L10N/id-ID/LoadingImage/1.jpg
2,TalkingIsland,,0,L10N/en/LoadingImage/02.jpg,L10N/zh-TW/LoadingImage/02_tw.jpg,L10N/th-TH/LoadingImage/02_th.jpg,L10N/id-ID/LoadingImage/2.jpg
3,TalkingIsland,AUTO_COMBAT,0,L10N/en/LoadingImage/03.jpg,L10N/zh-TW/LoadingImage/03_tw.jpg,L10N/th-TH/LoadingImage/03_th.jpg,L10N/id-ID/LoadingImage/3.jpg
4,TalkingIsland,,0,L10N/en/LoadingImage/04.jpg,L10N/zh-TW/LoadingImage/04_tw.jpg,L10N/th-TH/LoadingImage/04_th.jpg,L10N/id-ID/LoadingImage/4.jpg
5,TalkingIsland,,0,L10N/en/LoadingImage/05.jpg,L10N/zh-TW/LoadingImage/05_tw.jpg,L10N/th-TH/LoadingImage/05_th.jpg,L10N/id-ID/LoadingImage/5.jpg
6,Gludio,,0,L10N/en/LoadingImage/06.jpg,L10N/zh-TW/LoadingImage/06_tw.jpg,L10N/th-TH/LoadingImage/06_th.jpg,L10N/id-ID/LoadingImage/6.jpg
7,Gludio,,0,L10N/en/LoadingImage/07.jpg,L10N/zh-TW/LoadingImage/07_tw.jpg,L10N/th-TH/LoadingImage/07_th.jpg,L10N/id-ID/LoadingImage/7.jpg
8,Gludio,,0,L10N/en/LoadingImage/08.jpg,L10N/zh-TW/LoadingImage/08_tw.jpg,L10N/th-TH/LoadingImage/08_th.jpg,L10N/id-ID/LoadingImage/8.jpg
9,Gludio,,0,L10N/en/LoadingImage/09.jpg,L10N/zh-TW/LoadingImage/09_tw.jpg,L10N/th-TH/LoadingImage/09_th.jpg,L10N/id-ID/LoadingImage/9.jpg
10,Gludio,,0,L10N/en/LoadingImage/10.jpg,L10N/zh-TW/LoadingImage/10_tw.jpg,L10N/th-TH/LoadingImage/10_th.jpg,L10N/id-ID/LoadingImage/10.jpg
11,Gludio,,0,L10N/en/LoadingImage/11.jpg,L10N/zh-TW/LoadingImage/11_tw.jpg,L10N/th-TH/LoadingImage/11_th.jpg,L10N/id-ID/LoadingImage/11.jpg
12,Dion,,0,L10N/en/LoadingImage/12.jpg,L10N/zh-TW/LoadingImage/12_tw.jpg,L10N/th-TH/LoadingImage/12_th.jpg,L10N/id-ID/LoadingImage/12.jpg
13,Dion,,0,L10N/en/LoadingImage/13.jpg,L10N/zh-TW/LoadingImage/13_tw.jpg,L10N/th-TH/LoadingImage/13_th.jpg,L10N/id-ID/LoadingImage/13.jpg
14,Dion,,0,L10N/en/LoadingImage/14.jpg,L10N/zh-TW/LoadingImage/14_tw.jpg,L10N/th-TH/LoadingImage/14_th.jpg,L10N/id-ID/LoadingImage/14.jpg
15,Dion,,0,L10N/en/LoadingImage/15.jpg,L10N/zh-TW/LoadingImage/15_tw.jpg,L10N/th-TH/LoadingImage/15_th.jpg,L10N/id-ID/LoadingImage/15.jpg
16,Dion,,0,L10N/en/LoadingImage/16.jpg,L10N/zh-TW/LoadingImage/16_tw.jpg,L10N/th-TH/LoadingImage/16_th.jpg,L10N/id-ID/LoadingImage/16.jpg
17,Dion,,0,L10N/en/LoadingImage/17.jpg,L10N/zh-TW/LoadingImage/17_tw.jpg,L10N/th-TH/LoadingImage/17_th.jpg,L10N/id-ID/LoadingImage/17.jpg
18,DailyDungeon,,0,L10N/en/LoadingImage/35.jpg,L10N/zh-TW/LoadingImage/35_tw.jpg,L10N/th-TH/LoadingImage/35_th.jpg,L10N/id-ID/LoadingImage/35.jpg
19,Pvp,,0,L10N/en/LoadingImage/36.jpg,L10N/zh-TW/LoadingImage/36_tw.jpg,L10N/th-TH/LoadingImage/36_th.jpg,L10N/id-ID/LoadingImage/36.jpg
20,Pvp,,0,L10N/en/LoadingImage/37.jpg,L10N/zh-TW/LoadingImage/37_tw.jpg,L10N/th-TH/LoadingImage/37_th.jpg,L10N/id-ID/LoadingImage/37.jpg
21,CollectDungeon,,0,L10N/en/LoadingImage/38.jpg,L10N/zh-TW/LoadingImage/38_tw.jpg,L10N/th-TH/LoadingImage/38_th.jpg,L10N/id-ID/LoadingImage/38.jpg
22,CollectDungeon,,0,L10N/en/LoadingImage/39.jpg,L10N/zh-TW/LoadingImage/39_tw.jpg,L10N/th-TH/LoadingImage/39_th.jpg,L10N/id-ID/LoadingImage/39.jpg
23,CollectDungeon,,0,L10N/en/LoadingImage/40.jpg,L10N/zh-TW/LoadingImage/40_tw.jpg,L10N/th-TH/LoadingImage/40_th.jpg,L10N/id-ID/LoadingImage/40.jpg
24,InfinityDungeon,,0,L10N/en/LoadingImage/41.jpg,L10N/zh-TW/LoadingImage/41_tw.jpg,L10N/th-TH/LoadingImage/41_th.jpg,L10N/id-ID/LoadingImage/41.jpg
25,InfinityDungeon,,0,L10N/en/LoadingImage/42.jpg,L10N/zh-TW/LoadingImage/42_tw.jpg,L10N/th-TH/LoadingImage/42_th.jpg,L10N/id-ID/LoadingImage/42.jpg
26,InfinityDungeon,,0,L10N/en/LoadingImage/43.jpg,L10N/zh-TW/LoadingImage/43_tw.jpg,L10N/th-TH/LoadingImage/43_th.jpg,L10N/id-ID/LoadingImage/43.jpg
27,EliteDungeon,,0,L10N/en/LoadingImage/44.jpg,L10N/zh-TW/LoadingImage/44_tw.jpg,L10N/th-TH/LoadingImage/44_th.jpg,L10N/id-ID/LoadingImage/44.jpg
28,EliteDungeon,,0,L10N/en/LoadingImage/45.jpg,L10N/zh-TW/LoadingImage/45_tw.jpg,L10N/th-TH/LoadingImage/45_th.jpg,L10N/id-ID/LoadingImage/45.jpg
31,Manager1,,0,L10N/en/LoadingImage/18.jpg,L10N/zh-TW/LoadingImage/18_tw.jpg,L10N/th-TH/LoadingImage/18_th.jpg,L10N/id-ID/LoadingImage/18.jpg
32,Manager1,,0,L10N/en/LoadingImage/19.jpg,L10N/zh-TW/LoadingImage/19_tw.jpg,L10N/th-TH/LoadingImage/19_th.jpg,L10N/id-ID/LoadingImage/19.jpg
33,Manager1,,0,L10N/en/LoadingImage/20.jpg,L10N/zh-TW/LoadingImage/20_tw.jpg,L10N/th-TH/LoadingImage/20_th.jpg,L10N/id-ID/LoadingImage/20.jpg
34,Manager1,,0,L10N/en/LoadingImage/21.jpg,L10N/zh-TW/LoadingImage/21_tw.jpg,L10N/th-TH/LoadingImage/21_th.jpg,L10N/id-ID/LoadingImage/21.jpg
