Id,Type,TitleKey,Desc,Image
10001,Month,0,,
103,Weekly,851000000002,,UI_BG_EquipmentEnhancementLoginEvent
104,Weekly,861000000008,,UI_BG_BigUpdateCelebrationFestival_7daylogin
105,Weekly,1151000000105,,UI_Image_Weekly
106,Weekly,1151000000106,,UI_BG_BigUpdateCelebrationFestival
107,Weekly,1151000000106,,UI_BG_BigUpdateCelebrationFestival
108,Weekly,1151000000110,,UI_Weekly_Event_Village
109,Weekly,1151000000109,,UI_Weekly_Event_Village
110,Weekly,1151000000110,,UI_BG_UpdateChristmas
111,Weekly,1151000000110,,UI_BG_UpdateChristmas
112,Weekly,1151000000111,,UI_BG_NewYearEvent
113,Weekly,1151000000111,,UI_Weekly_Event_Village
114,Weekly,1151000000111,,UI_BG_NewYearEvent
115,Weekly,1151000000111,,UI_BG_BigUpdateCelebrationFestival_7daylogin
116,Weekly,1151000000111,,UI_BG_BigUpdateCelebrationFestival_7daylogin
