PetInfoId,Grade,Level,ExpForNextLevel,Resource,EffectSpeed,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,EffectType4,EffectParam4,EffectType5,EffectParam5,EffectType6,EffectParam6,EffectType7,EffectParam7,EffectType8,EffectParam8,SpawnEffect,DespawnEffect
1,C,1,2,BlackBear,640,AttackPowerPhy,20,AttackPowerMag,20,MaxMP,26,MPRecovery,15,Resilience,9,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,2,2,BlackBear,640,AttackPowerPhy,24,AttackPowerMag,24,MaxMP,31,MPRecovery,18,Resilience,10,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,3,2,BlackBear,640,AttackPowerPhy,28,AttackPowerMag,28,MaxMP,36,MPRecovery,21,Resilience,12,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,4,2,BlackBear,640,AttackPowerPhy,32,AttackPowerMag,32,MaxMP,41,MPRecovery,24,Resilience,14,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,5,3,BlackBear,640,AttackPowerPhy,36,AttackPowerMag,36,MaxMP,46,MPRecovery,27,Resilience,16,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,6,3,BlackBear,640,AttackPowerPhy,40,AttackPowerMag,40,MaxMP,52,MPRecovery,30,Resilience,18,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,7,3,BlackBear,640,AttackPowerPhy,44,AttackPowerMag,44,MaxMP,57,MPRecovery,33,Resilience,19,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,8,3,BlackBear,640,AttackPowerPhy,48,AttackPowerMag,48,MaxMP,62,MPRecovery,36,Resilience,21,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,9,4,BlackBear,640,AttackPowerPhy,52,AttackPowerMag,52,MaxMP,67,MPRecovery,39,Resilience,23,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,10,4,BlackBear,640,AttackPowerPhy,56,AttackPowerMag,56,MaxMP,72,MPRecovery,42,Resilience,25,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,11,4,BlackBear,640,AttackPowerPhy,60,AttackPowerMag,60,MaxMP,78,MPRecovery,45,Resilience,27,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,12,4,BlackBear,640,AttackPowerPhy,64,AttackPowerMag,64,MaxMP,83,MPRecovery,48,Resilience,28,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,13,5,BlackBear,640,AttackPowerPhy,68,AttackPowerMag,68,MaxMP,88,MPRecovery,51,Resilience,30,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,14,5,BlackBear,640,AttackPowerPhy,72,AttackPowerMag,72,MaxMP,93,MPRecovery,54,Resilience,32,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,15,5,BlackBear,640,AttackPowerPhy,76,AttackPowerMag,76,MaxMP,98,MPRecovery,57,Resilience,34,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,16,5,BlackBear,640,AttackPowerPhy,80,AttackPowerMag,80,MaxMP,104,MPRecovery,60,Resilience,36,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,17,6,BlackBear,640,AttackPowerPhy,84,AttackPowerMag,84,MaxMP,109,MPRecovery,63,Resilience,37,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,18,6,BlackBear,640,AttackPowerPhy,88,AttackPowerMag,88,MaxMP,114,MPRecovery,66,Resilience,39,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,19,6,BlackBear,640,AttackPowerPhy,92,AttackPowerMag,92,MaxMP,119,MPRecovery,69,Resilience,41,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,C,20,6,BlackBear,640,AttackPowerPhy,96,AttackPowerMag,96,MaxMP,124,MPRecovery,72,Resilience,43,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,B,1,8,BlackBear,640,AttackPowerPhy,102,AttackPowerMag,102,MaxMP,132,MPRecovery,77,Resilience,46,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,B,2,8,BlackBear,640,AttackPowerPhy,112,AttackPowerMag,112,MaxMP,145,MPRecovery,84,Resilience,50,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,B,3,8,BlackBear,640,AttackPowerPhy,122,AttackPowerMag,122,MaxMP,158,MPRecovery,92,Resilience,55,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,B,4,8,BlackBear,640,AttackPowerPhy,132,AttackPowerMag,132,MaxMP,171,MPRecovery,100,Resilience,59,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,B,5,9,BlackBear,640,AttackPowerPhy,142,AttackPowerMag,142,MaxMP,184,MPRecovery,107,Resilience,64,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,B,6,9,BlackBear,640,AttackPowerPhy,153,AttackPowerMag,153,MaxMP,198,MPRecovery,115,Resilience,69,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
1,B,7,9,BlackBear,640,AttackPowerPhy,163,AttackPowerMag,163,MaxMP,211,MPRecovery,123,Resilience,73,,,,,,,Common/VehicleSpawn,Common/VehicleSpawn
