ItemType,ItemID,MovableContents
BloodCrystal,0,GuildAttendance
WeaponEnchantMaterial,0,BlackSmithEnchant
ArmorEnchantMaterial,0,BlackSmithEnchant
AccessoryEnchantMaterial,0,BlackSmithEnchant
BlessedWeaponEnchantMaterial,0,BlackSmithEnchant
BlessedArmorEnchantMaterial,0,BlackSmithEnchant
BlessedAccessoryEnchantMaterial,0,BlackSmithEnchant
WeaponUpgradeMaterial,0,BlackSmithUpgrade
ArmorUpgradeMaterial,0,BlackSmithUpgrade
AccessoryUpgradeMaterial,0,BlackSmithUpgrade
SoulCrystal,0,SoulCrystal
Herb,0,Elixir
Recipe,0,Elixir
PetItem,0,RidingPet
PetSoulStone,0,RidingPet
PetEquipment,0,RidingPet
RunePiece,0,RuneCarve
MonsterCore,0,MonsterBook
RedStarStone,0,GuildAttendance
CapeActiveMaterial,0,Cape
CapeExpMaterial,0,Cape
CapeOptionChangeMaterial,0,Cape
CapeOptionLockMaterial,0,Cape
Talisman,0,Cape
SkillBookPage,0,SkillBook
VehicleEnchantMaterial,0,RidingPet
StoneForLimitBreak,0,BlackSmithLimitBreak
StoneForAbility,0,BlackSmithAbilityEnchant
FestivalTicket,0,CastleSiegeFestivalLotterty
WeaponMaterial,0,BlackSmithLevelUp
ArmorMaterial,0,BlackSmithLevelUp
AccessoryMaterial,0,BlackSmithLevelUp
PetHelmetLevelMaterial,0,RidingPet
PetArmorLevelMaterial,0,RidingPet
PetHoofLevelMaterial,0,RidingPet
PetSaddleLevelMaterial,0,RidingPet
SoulCrystalMaterial,0,SoulCrystal
CapeColorChangeMaterial,0,Cape
SoulPowder,0,CoreShop
SpecificStoneForAbility,0,BlackSmithAbilityEnchant
SkillLevelUpMaterial,0,Skill
Etc,0,None
Etc,10046,NormalEvent
Etc,420011,BlackSmithCraft
Etc,420012,BlackSmithCraft
Etc,420013,BlackSmithCraft
Etc,711101,BlackSmithCraft
Etc,711102,BlackSmithCraft
Etc,712101,BlackSmithCraft
Etc,712102,BlackSmithCraft
Etc,713101,BlackSmithCraft
Etc,713102,BlackSmithCraft
Etc,711201,BlackSmithCraft
Etc,711202,BlackSmithCraft
Etc,712201,BlackSmithCraft
Etc,712202,BlackSmithCraft
Etc,713201,BlackSmithCraft
Etc,713202,BlackSmithCraft
Etc,710001,BlackSmithCraft
Etc,10032,EventGacha
Etc,700901,BlackSmithCraft
Etc,700902,BlackSmithCraft
Etc,700903,BlackSmithCraft
Etc,700904,BlackSmithCraft
Etc,700905,BlackSmithCraft
Etc,700906,BlackSmithCraft
Etc,700907,BlackSmithCraft
