Id,TransformActorType,RaceType,Resource,EquipmentEnchantLevel,WeaponInfoId,HelmetInfoId,ArmorInfoId,GlovesInfoId,BootsInfoId,Level,ReferencePcSkill,BasicAttackSkillInfoId,SkillLevelTier0,SkillLevelTier1,SkillLevelTier2,SkillLevelTier3,SkillInfoId1,SkillInfoId2,SkillInfoId3,SkillInfoId4,SkillInfoId5,SkillInfoId6,PresetSkillGroupInfoId
5,Player,Human,BP_CharacterHuman,30,110045,210075,220075,230075,240075,260,0,1,3,52,46,,11211,11212,11213,30006,30001,,1001
6,Player,Human,BP_CharacterHuman,30,130045,210075,220075,230075,240075,260,0,3,3,52,46,,11221,11222,11223,30014,30011,,1002
7,Player,Human,BP_CharacterHuman,30,140045,210085,220085,230085,240085,260,0,4,3,52,46,,11231,11232,11233,30006,30011,,1003
8,Player,Human,BP_CharacterHuman,30,150045,210085,220085,230085,240085,260,0,5,3,52,46,,11241,11242,11243,30006,30015,,1004
9,Player,Human,BP_CharacterHuman,30,160045,210095,220095,230095,240095,260,0,6,3,52,46,,11251,11252,11253,30012,30001,,1005
10,Player,Human,BP_CharacterHuman,30,160045,210095,220095,230095,240095,260,0,6,3,52,46,,11131,11261,11262,30012,30015,,1006
35,Player,Elf,BP_CharacterElf,30,110045,210075,220075,230075,240075,260,0,1,3,52,46,,12211,12212,12213,30006,30001,,2001
36,Player,Elf,BP_CharacterElf,30,130045,210075,220075,230075,240075,260,0,3,3,52,46,,12221,12222,12223,30014,30011,,2002
37,Player,Elf,BP_CharacterElf,30,140045,210085,220085,230085,240085,260,0,4,3,52,46,,12231,12232,12233,30006,30011,,2003
38,Player,Elf,BP_CharacterElf,30,150045,210085,220085,230085,240085,260,0,5,3,52,46,,12241,12242,12243,30006,30015,,2004
39,Player,Elf,BP_CharacterElf,30,160045,210095,220095,230095,240095,260,0,6,3,52,46,,12132,12251,12252,30012,30001,,2005
40,Player,Elf,BP_CharacterElf,30,160045,210095,220095,230095,240095,260,0,6,3,52,46,,12261,12262,12263,30012,30015,,2006
65,Player,DarkElf,BP_CharacterDarkElf,30,110045,210075,220075,230075,240075,260,0,1,3,52,46,,13211,13212,13213,30006,30001,,3001
66,Player,DarkElf,BP_CharacterDarkElf,30,130045,210075,220075,230075,240075,260,0,3,3,52,46,,13221,13222,13223,30014,30011,,3002
67,Player,DarkElf,BP_CharacterDarkElf,30,140045,210085,220085,230085,240085,260,0,4,3,52,46,,13231,13232,13233,30006,30011,,3003
68,Player,DarkElf,BP_CharacterDarkElf,30,150045,210085,220085,230085,240085,260,0,5,3,52,46,,13241,13242,13243,30006,30015,,3004
69,Player,DarkElf,BP_CharacterDarkElf,30,160045,210095,220095,230095,240095,260,0,6,3,52,46,,13251,13252,13253,30012,30001,,3005
70,Player,DarkElf,BP_CharacterDarkElf,30,160045,210095,220095,230095,240095,260,0,6,3,52,46,,13261,13262,13263,30012,30015,,3006
95,Player,Dwarf,BP_CharacterDwarf,30,110045,210075,220075,230075,240075,260,0,1,3,52,46,,14113,14211,14212,30006,30001,,4001
96,Player,Dwarf,BP_CharacterDwarf,30,130045,210075,220075,230075,240075,260,0,3,3,52,46,,14221,14222,14223,30014,30011,,4002
97,Player,Dwarf,BP_CharacterDwarf,30,140045,210085,220085,230085,240085,260,0,4,3,52,46,,14231,14232,14233,30006,30011,,4003
98,Player,Dwarf,BP_CharacterDwarf,30,150045,210085,220085,230085,240085,260,0,5,3,52,46,,14124,14241,14242,30006,30015,,4004
99,Player,Dwarf,BP_CharacterDwarf,30,160045,210095,220095,230095,240095,260,0,6,3,52,46,,14251,14252,14253,30012,30001,,4005
100,Player,Dwarf,BP_CharacterDwarf,30,160045,210095,220095,230095,240095,260,0,6,3,52,46,,14261,14262,14263,30012,30015,,4006
11,Player,Human,BP_CharacterHuman,30,110045,210075,220075,230075,240075,320,0,1,3,52,46,1,11211,11212,11213,30006,30001,11214,11001
12,Player,Human,BP_CharacterHuman,30,130045,210075,220075,230075,240075,320,0,3,3,52,46,1,11221,11222,11223,30014,30011,11224,11002
13,Player,Human,BP_CharacterHuman,30,140045,210085,220085,230085,240085,320,0,4,3,52,46,1,11231,11232,11233,30006,30011,11234,11003
14,Player,Human,BP_CharacterHuman,30,150045,210085,220085,230085,240085,320,0,5,3,52,46,1,11241,11242,11243,30006,30015,11245,11004
15,Player,Human,BP_CharacterHuman,30,160045,210095,220095,230095,240095,320,0,6,3,52,46,1,11251,11252,11253,30012,30001,11254,11005
16,Player,Human,BP_CharacterHuman,30,160045,210095,220095,230095,240095,320,0,6,3,52,46,1,11131,11261,11262,30012,30015,11263,11006
41,Player,Elf,BP_CharacterElf,30,110045,210075,220075,230075,240075,320,0,1,3,52,46,1,12211,12212,12213,30006,30001,12214,12001
42,Player,Elf,BP_CharacterElf,30,130045,210075,220075,230075,240075,320,0,3,3,52,46,1,12221,12222,12223,30014,30011,12225,12002
