Id,Moveable,MoveContentType,IconTexture,TextKey
1,1,Hunting,UI_Btn_Pet,4001
2,1,Quest,UI_Btn_Mission,4002
3,1,Elixir,UI_Btn_MiscCraft,4003
4,1,SkillBook,UI_Btn_Skill,4004
5,1,Heroic,UI_Btn_Achievement,731000000002
6,1,RestReward,UI_Btn_RestReward,4006
7,1,ActivityInstantComplete,UI_Btn_Reward,4007
8,1,NormalShopRecommend,UI_Btn_Shop,51000000008
9,1,NormalShopEquipment,UI_Btn_Shop,3002
10,1,NormalShopConsumable,UI_Btn_Shop,3003
11,1,NormalShopAdena,UI_Btn_Shop,3004
12,1,NormalShopTopaz,UI_Btn_Shop,3005
13,1,NormalShopPackage,UI_Btn_Shop,3006
14,1,NormalShopMileage,UI_Btn_Shop,3007
15,1,DiamondShopCharge,UI_Btn_Shop,3008
16,1,DiamondShopDaily,UI_Btn_Shop,3012
17,1,DiamondShopAttend,UI_Btn_Shop,51000000017
18,1,DiamondShopPromote,UI_Btn_Shop,51000000018
19,1,EliteDungeon,UI_Btn_Dungeon,2002
20,1,DailyDungeon,UI_Btn_Dungeon,2001
21,1,InfinityDungeon,UI_Btn_Dungeon,2006
22,1,CollectDungeon,UI_Btn_Dungeon,2003
23,1,Pvp,UI_Btn_PVP,2011
24,1,Friend,UI_Btn_Friend,4013
25,1,GuildShop,UI_Btn_Guild,3010
26,1,GuildGiftShop,UI_Btn_Guild,51000000026
27,1,GuildQuest,UI_Btn_Guild,251000000091
28,1,NormalShopUnbindEquipment,UI_Btn_Shop,3009
29,1,GuildAttendance,UI_Btn_Guild,4009
30,1,Guild,UI_Btn_Guild,4010
31,1,Activity,UI_Btn_Mission,731000000398
32,1,PvpBattlefield3vs3,UI_Btn_BattleField,731000003716
33,1,PvpBattlefield5vs5,UI_Btn_BattleField,2014
34,1,PvpBattlefield20vs20,UI_Btn_BattleField,2013
35,1,GuildAgitQuest,UI_Btn_AgitQuest,51000000035
36,1,Hunting,UI_Btn_Pet,51000000036
37,1,BossStatusWorldBoss,Icon_BossStatusBoard,51000000037
38,1,BossStatusFieldBoss,Icon_BossStatusBoard,51000000038
39,1,DailyDungeon,UI_Btn_Dungeon,2001
40,1,ItemCraftingItemMix,UI_Btn_Atelier,731000003185
41,1,ItemCraftingDisassemble,UI_Btn_Atelier,731000001719
42,1,EquipDungeon,UI_Btn_Dungeon,2004
43,1,AdenaDungeon,UI_Btn_Dungeon,2005
44,1,SummonStoneDungeon,UI_Btn_Dungeon,731000003912
45,1,GuildAgit,UI_Btn_AgitQuest,51000000045
46,0,Hunting,UI_Btn_TreasureBox,101001030301
47,1,GuildCastleShop,UI_Btn_Guild,51000000047
48,1,CastleSiegeFestivalLotterty,UI_Btn_CastleSiegeFestival,731000000263
49,1,NormalShopScroll,UI_Btn_Shop,51000000050
50,1,NormalEvent,UI_Btn_Event,731000000770
53,1,AttendanceEvent,UI_Btn_ButtonConnectReward,51000000053
54,1,HelpList,UI_Btn_Guild_Dungeon,51000000054
55,1,CastleSiege,UI_Btn_Guild,731000000254
56,1,FortressSiege,UI_Btn_Guild,731000000773
57,1,CoreDisassemble,UI_Btn_MonsterBook,731000005307
58,1,SoulCrystal,UI_Btn_JewelCraft,4016
59,1,ItemCraftingSwap,UI_Btn_Atelier,731000000380
60,1,FreeFortressSiege,UI_Btn_BattleField,731000005734
61,1,PartyDungeon,UI_Btn_Party_Dungeon,2015
62,1,MasteryShop,UI_Btn_Shop,21000004000
63,1,GuildDungeon,UI_Btn_Guild_Dungeon,2010
64,1,Costume,UI_Btn_Costume,731000005960
66,1,ExpDungeon,UI_Btn_Dungeon,191000000205
67,1,AuctionHouse,UI_Btn_AuctionHouse,191000000104
68,0,Hunting,UI_Btn_TreasureHunter,731000006708
69,1,PartyDungeon,UI_Btn_AbyssMode_Dungeon,51000000069
1001,1,ChargeEventShopChargeTotal,UI_Btn_Event,1201000000008
