Id,Vlue
1,10새
2,10색
3,10섹
4,10쉑
5,10알
6,10창
7,10챵
8,10팍
9,10팔
10,10펄
11,10할
12,18넘
13,18뇬
14,18늠
15,18새
16,18색
17,18색끼
18,18샹놈
19,18샹늠
20,18쉐키
21,1o새
22,1o새끼
23,1o세
24,1o세끼
25,4kkasi
26,4까시
27,bitch
28,byuntae
29,c8
30,ccibal
31,ccipal
32,ccival
33,cibal
34,cipal
35,cival
36,Cybercrime
37,c발
38,c부랄
39,c팔
40,fuck
41,fucker
42,Fucking
43,fuckyou
44,gotdamn
45,gotohell
46,g랄
47,ho로쉐끼
48,jamji
49,ja위
50,jiral
51,ji랄
52,kissmyass
53,motherfucker
54,nigimi
55,penis
56,pennis
57,pervert
58,phonesex
59,playbog
60,playbozi
61,pleybog
62,pleyboy
63,porner
64,porno
65,pthc
66,sex
67,sibal
68,sipal
69,siutty
70,sival
71,si팔
72,slutty
73,ssibal
74,ssibbal
75,ssival
76,suck
77,sucks
78,yamad
79,zasal
80,ㄱㅅㄷ
81,갈보
82,강간
83,개가튼
84,개갈보
85,개같은
86,개걸레
87,개넘
88,개년
89,개논
90,개놈
91,개뇬
92,개뇽
93,개눔
94,개늠
95,개늠아
96,개병신
97,개보쥐
98,개보지
99,개뵹신
100,개부랄
101,개불랄
102,개불알
103,개붕알
104,개새
105,개새끼
106,개색
107,개생퀴
108,개샠
109,개샤끼
110,개세
111,개세이
112,개섹
113,개쇄
114,개쇅
115,개쉐
116,개쉑
117,개쉬바
118,개쉬발
119,개쉬벌
120,개시끼
121,개시바
122,개시발
123,개시키
124,개십
125,개십새
126,개십세
127,개쌍넘
128,개쌍년
129,개쌍놈
130,개쌍뇬
131,개쌔
132,개쌕기
133,개썌끼
134,개쎄끼야
135,개쒜리
136,개쓉
137,개쓰래기
138,개쓰레기
139,개쓰레기잡놈
140,개씁
141,개씨바
142,개씨발
143,개씨블
144,개씨뻘
145,개씨펄
146,개씹
147,개씹세
148,개자석
149,개자쉭
150,개자슥
151,개자식
152,개자씩
153,개자쥐
154,개자지
155,개잡년
156,개잡놈
157,개잡지랄
158,개젓가튼넘
159,개젗
160,개졋
161,개졎
162,개조옷
163,개좃
164,개좆
165,개좇
166,개죷
167,개지랄
168,개호러
169,걔잡년
170,걔잡지랄
171,거기나빨아랑
172,걸래가튼뇬
173,걸래같은년
174,걸래년
175,게가튼
176,게같은
177,게넘
178,게년
179,게뇬
180,게눔
181,게늠
182,게늠아
183,게보쥐
184,게보지
185,게부럴
186,게새기
187,게새끼
188,게색
189,게세
190,게섹
191,게쉐리
192,게쉐이
193,게쉑
194,게쉬키
195,게시끼
196,게쎄기
197,게쎄끼
198,게자쉭
199,게자슥
200,게자식
201,게자쥐
202,게자지
203,게젓
204,게좆
205,게지뢀
206,경상도
207,계색갸
208,계세키
209,고무현
210,굿보지
211,궤색
212,궤섹
213,궤시끼
214,궤자지
215,근친상간
216,깨쌔끼
217,꼴리다
218,ㄴㅁ
219,남창
220,내꺼빨아
221,내꺼핧아
222,내미랄
223,내버지
224,내씨발
225,내자지
226,내잠지
227,내조지
228,너거애비
229,너거어마이
230,너그어미
231,노무
232,노알라
233,뉘귀미
234,뉘긔미
235,뉘기뮈
236,뉘기미
237,뉘김
238,뉘뮈
239,뉘미
240,뉘미랄
241,뉘미럴
242,뉘미룰
243,뉘미쉬벌
244,뉘이미
245,뉭기리
246,뉭기미
247,느그애미
248,느그애비
249,느그엄마
250,느그에미
251,느그에비
252,늬귀미
253,늬긔믜
254,늬긔미
255,늬기뮈
256,늬기미
257,늬믜
258,늬미
259,늬음마
260,닁기미
261,닁김
