Id,TitleKey,NameKey,NameEN,Grade,Type,InteractionType,ScaleFactor,VisibleLevel,Level,BaseMaxHp,BaseAttackPowerPhy,BaseAttackPowerMag,BaseDefensePowerPhy,BaseDefensePowerMag,BaseCriticalRate,BaseCriticalDamageMul,BaseAntiCriticalValue,BaseHit,BaseDodge,BaseHpRecovery,BaseDefenseIgnoreDamage,BaseFinalDamageDecrease,ImmuneToAbnormalState,Exp,AdenaDropRate,AdenaMin,AdenaMax,FestivalTicketDropRate,FestivalTicketMin,FestivalTicketMax,NoReward,ItemDropRate,ItemDropGroupId,FixItemDropRate,FixItemDropGroupId,ItemDropMethod,AddRewardItemDropId,FinishRewardItemDropId,WorldItemDropRate,WorldItemDropGroupId,RewardPost,WalkSpeed,RunSpeed,SightRange,IgnoreLevelGapSightRange,BasicAttackSkillInfoIdList,AiInfoGroupId,CreateSkillInfoId,BodyRadius,IgnoreHitAnim,Aggressive,Movable,Rotatable,Countattackable,MaxChaseDistance,IsMonster,SpawnInvincibleTime,SpawnAnim,SpawnVFX,BP_Name,IconTexture,IconTexture_discovered,QuestOnly,AppearanceScenePlay,IsBoss,MonsterCoreItemInfoId,MonsterCoreDropRate,MonsterCoreDropMethod,MonsterCoreUnbindRate,RaceType,RaceIconPath,JobType,JobIconPath,CutSceneType,UseMatineeActor,MonsterType,MonsterGrade,SpawnNotifyType,CollisionUnitType,CollisionUnitParam,InteractionVoiceID,QuestFinishVoiceID,HitFX,HitSocket,HitSound,MonsterSpecificType,IconTexture2,IconTitleKey,DisableSpawnVFX,MinimapMark
19,0,10000019,HealingFountain,Structure,HealingFountain,,1,0,70,1460280,135,135,89991,89991,0,15000,900000,7959,6804,0,0,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,,,401,10,0,0,0,0,0,1000,0,0,,,BP_HealingFountain, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
31,0,10000031,CastleSiege_DefenseTower,Structure,DefenseTower,,1,0,70,5400,2000,2000,200000,200000,0,15000,900000,60000,0,0,800,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,80008,,,80,0,1,0,0,1,720,1,0,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
32,0,10000032,CastleSiege_DefenseTower,Structure,DefenseTower,,1,0,70,5400,2000,2000,200000,200000,0,15000,900000,60000,0,0,800,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,80008,,,80,0,1,0,0,1,720,1,0,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
33,0,10000033,CastleSiege_DefenseTower,Structure,DefenseTower,,1,0,70,5400,2000,2000,200000,200000,0,15000,900000,60000,0,0,800,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,80008,,,80,0,1,0,0,1,720,1,0,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
34,0,10000034,CastleSiege_DefenseTower,Structure,DefenseTower,,1,0,70,5400,2000,2000,200000,200000,0,15000,900000,60000,0,0,800,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,80008,,,80,0,1,0,0,1,720,1,0,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
35,0,10000035,CastleSiege_DefenseTower,Structure,DefenseTower,,1,0,70,5400,2000,2000,200000,200000,0,15000,900000,60000,0,0,800,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,80008,,,80,0,1,0,0,1,720,1,0,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
36,0,10000036,CastleSiege_DefenseTower,Structure,DefenseTower,,1,0,70,5400,2000,2000,200000,200000,0,15000,900000,60000,0,0,800,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,80008,,,80,0,1,0,0,1,720,1,0,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
20,0,10000019,HealingFountain,Structure,HealingFountain,,1,0,70,1460280,135,135,89991,89991,0,15000,900000,7959,6804,0,0,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,,,401,10,0,0,0,0,0,1000,0,0,,,BP_HealingFountain, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
37,0,10000031,CastleSiege_DefenseTower,Structure,DefenseTower,,1,0,70,10000,8500,8500,800000,800000,0,15000,900000,60000,0,0,1000,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,80008,,,80,0,1,0,0,1,720,1,0,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
38,0,10000032,CastleSiege_DefenseTower,Structure,DefenseTower,,1,0,70,10000,8500,8500,800000,800000,0,15000,900000,60000,0,0,1000,,10000,0,0,0,0,0,0,0,1,,,,,,,,,,0,200,450,720,0,80008,,,80,0,1,0,0,1,720,1,0,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,Icon_MonsterCore_Sample_Undiscover,0,0,0,,,,,,Icon_Ability_None,,,,1,,,,,,0,0,,,,,,0,0,0
