Id,ReplaceString1,EquipEffectDescriptionKey,ConditionRoomTypeList,ConditionType,ConditionLevelGap,ConditionFireRate,EffectType,EffectParam1,EffectParam2,EquipEffectBuffIcon,EquipEffectBuffNameKey,EquipEffectBuffDescriptionKey
7000101,,1121000000001,,,,,,,,,0,0
7000201,,1121000000001,,,,,,,,,0,0
7000301,,1121000000001,,,,,,,,,0,0
7100101,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,500,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100102,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,550,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100103,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,600,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100104,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,650,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100105,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,700,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100106,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,750,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100107,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,800,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100108,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,850,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100109,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,900,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100110,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1000,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100111,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1100,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100112,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1200,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100113,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1300,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100114,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1400,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100115,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1500,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100116,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1600,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100117,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1700,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100118,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1800,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100119,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,1900,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100120,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2000,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100121,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2100,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100122,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2200,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100123,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2300,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100124,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2400,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100125,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2500,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100126,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2600,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100127,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2700,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100128,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2800,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100129,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,2900,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100130,,1121007100101,"World,GatheringDungeonWorld",ItemEquip,,10000,ExpGainRate,3000,,Icon_Buff_CapeEquipEffect_01,1122000000004,1123007100101
7100201,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,200,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100202,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,250,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100203,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,300,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100204,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,350,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100205,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,400,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100206,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,450,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100207,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,500,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100208,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,550,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100209,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,600,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100210,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,650,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100211,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,700,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100212,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,750,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100213,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,800,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100214,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,850,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100215,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,900,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100216,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,950,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100217,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1000,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100218,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1050,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100219,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1100,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100220,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1150,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100221,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1200,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100222,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1250,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100223,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1300,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100224,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1350,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100225,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1400,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100226,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1450,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100227,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1500,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100228,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1550,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100229,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1600,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100230,,1121007100201,RegularDungeonWorld,BloodSpiritMonsterKill,7,1650,ItemDrop,9900025,,Icon_Buff_CapeEquipEffect_01,1122000000034,1123007100201
7100301,,1121007100301,GatheringDungeonWorld,Gathering,,1200,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100302,,1121007100301,GatheringDungeonWorld,Gathering,,1350,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100303,,1121007100301,GatheringDungeonWorld,Gathering,,1500,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100304,,1121007100301,GatheringDungeonWorld,Gathering,,1650,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100305,,1121007100301,GatheringDungeonWorld,Gathering,,1800,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100306,,1121007100301,GatheringDungeonWorld,Gathering,,1950,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100307,,1121007100301,GatheringDungeonWorld,Gathering,,2100,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100308,,1121007100301,GatheringDungeonWorld,Gathering,,2250,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100309,,1121007100301,GatheringDungeonWorld,Gathering,,2400,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100310,,1121007100301,GatheringDungeonWorld,Gathering,,2550,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100311,,1121007100301,GatheringDungeonWorld,Gathering,,2700,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100312,,1121007100301,GatheringDungeonWorld,Gathering,,2850,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100313,,1121007100301,GatheringDungeonWorld,Gathering,,3000,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100314,,1121007100301,GatheringDungeonWorld,Gathering,,3150,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100315,,1121007100301,GatheringDungeonWorld,Gathering,,3300,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100316,,1121007100301,GatheringDungeonWorld,Gathering,,3450,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100317,,1121007100301,GatheringDungeonWorld,Gathering,,3600,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100318,,1121007100301,GatheringDungeonWorld,Gathering,,3750,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100319,,1121007100301,GatheringDungeonWorld,Gathering,,3900,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100320,,1121007100301,GatheringDungeonWorld,Gathering,,4050,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100321,,1121007100301,GatheringDungeonWorld,Gathering,,4200,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100322,,1121007100301,GatheringDungeonWorld,Gathering,,4350,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100323,,1121007100301,GatheringDungeonWorld,Gathering,,4500,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100324,,1121007100301,GatheringDungeonWorld,Gathering,,4650,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100325,,1121007100301,GatheringDungeonWorld,Gathering,,4800,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100326,,1121007100301,GatheringDungeonWorld,Gathering,,4950,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100327,,1121007100301,GatheringDungeonWorld,Gathering,,5100,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100328,,1121007100301,GatheringDungeonWorld,Gathering,,5250,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100329,,1121007100301,GatheringDungeonWorld,Gathering,,5400,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100330,,1121007100301,GatheringDungeonWorld,Gathering,,5550,ItemDrop,9900031,,Icon_Buff_CapeEquipEffect_01,1122000000064,1123007100301
7100401,150,1121007100401,,UseNormalSkill,,1600,SkillInfoId,1,990001,Icon_Buff_CapeEquipEffect_01,1122000000094,1123007100401
7100402,148,1121007100401,,UseNormalSkill,,1670,SkillInfoId,1,990002,Icon_Buff_CapeEquipEffect_01,1122000000094,1123007100401
7100403,146,1121007100401,,UseNormalSkill,,1740,SkillInfoId,1,990003,Icon_Buff_CapeEquipEffect_01,1122000000094,1123007100401
7100404,144,1121007100401,,UseNormalSkill,,1810,SkillInfoId,1,990004,Icon_Buff_CapeEquipEffect_01,1122000000094,1123007100401
7100405,142,1121007100401,,UseNormalSkill,,1880,SkillInfoId,1,990005,Icon_Buff_CapeEquipEffect_01,1122000000094,1123007100401
