Id,SkillInfoId,SkillLevel,Cost
1,100001,1,8
2,100001,2,8
3,100001,3,8
4,100001,4,8
5,100001,5,8
6,100001,6,8
7,100001,7,8
8,100001,8,8
9,100001,9,8
10,100001,10,8
11,100002,1,8
12,100002,2,8
13,100002,3,8
14,100002,4,8
15,100002,5,8
16,100002,6,8
17,100002,7,8
18,100002,8,8
19,100002,9,8
20,100002,10,8
21,100003,1,8
22,100003,2,8
23,100003,3,8
24,100003,4,8
25,100003,5,8
26,100003,6,8
27,100003,7,8
28,100003,8,8
29,100003,9,8
30,100003,10,8
31,100004,1,8
32,100004,2,8
33,100004,3,8
34,100004,4,8
35,100004,5,8
36,100004,6,8
37,100004,7,8
38,100004,8,8
39,100004,9,8
40,100004,10,8
41,100005,1,8
42,100005,2,8
43,100005,3,8
44,100005,4,8
45,100005,5,8
46,100005,6,8
47,100005,7,8
48,100005,8,8
49,100005,9,8
50,100005,10,8
51,100006,1,8
52,100006,2,8
53,100006,3,8
54,100006,4,8
55,100006,5,8
56,100006,6,8
57,100006,7,8
58,100006,8,8
59,100006,9,8
60,100006,10,8
61,100007,1,8
62,100007,2,8
63,100007,3,8
64,100007,4,8
65,100007,5,8
66,100007,6,8
67,100007,7,8
68,100007,8,8
69,100007,9,8
70,100007,10,8
71,100008,1,8
72,100008,2,8
73,100008,3,8
74,100008,4,8
75,100008,5,8
76,100008,6,8
77,100008,7,8
78,100008,8,8
79,100008,9,8
80,100008,10,8
81,100009,1,8
82,100009,2,8
83,100009,3,8
84,100009,4,8
85,100009,5,8
86,100009,6,8
87,100009,7,8
88,100009,8,8
89,100009,9,8
90,100009,10,8
