SortId,Id,BossStatusType,SpawnTime,RegenTime,IconTexture,ImageTexture,RecommendedNumber,RecommendedPower,WorldSpotId,TeleportDisable,SpawnWorldNameKey,RewardItem1,RewardItem2,RewardItem3,RewardItem4,RewardItem5
3,21099,RaidBoss,39600,43200,Icon_MonsterCore_Guillotine,Icon_MonsterCore_Guillotine,100,579500,21099,0,731000000186,911173,910222,470108,510103,
4,21399,RaidBoss,79200,86400,Icon_MonsterCore_Zaken,Icon_MonsterCore_Zaken,100,1359000,21399,0,161000000013,911171,460016,470135,510103,
6,20298,PartyBoss,7200,14400,Icon_MonsterCore_RottenFungus,Icon_MonsterCore_RottenFungus,5,14900,20298,0,731000000194,911158,460008,470025,,
7,20398,PartyBoss,7200,14400,Icon_MonsterCore_PurgatoryZombie,Icon_MonsterCore_PurgatoryZombie,5,33500,20398,0,731000000157,911159,460008,470037,,
8,20498,PartyBoss,7200,14400,Icon_MonsterCore_AmdenOrcShaman,Icon_MonsterCore_AmdenOrcShaman,5,79500,20498,0,731000000158,911160,460003,470047,,
9,20598,PartyBoss,7200,14400,Icon_MonsterCore_DeathFire,Icon_MonsterCore_DeathFire,5,118400,20598,0,731000000199,911161,460013,470057,,
10,20698,PartyBoss,7200,14400,Icon_MonsterCore_Shelob,Icon_MonsterCore_Shelob,5,145300,20698,0,731000000196,911162,460003,470068,,
11,20798,PartyBoss,7200,14400,Icon_MonsterCore_Drake,Icon_MonsterCore_Drake,20,241200,20798,0,731000000174,911163,460013,470078,,
12,20898,PartyBoss,7200,14400,Icon_MonsterCore_SerpentSlave,Icon_MonsterCore_SerpentSlave,20,290200,20898,0,731000000140,911164,460003,470086,,
13,20998,PartyBoss,7200,14400,Icon_MonsterCore_Lorca,Icon_MonsterCore_Lorca,20,348400,20998,0,731000000175,911165,460013,470096,,
14,21198,PartyBoss,7200,14400,Icon_MonsterCore_CaveMaiden,Icon_MonsterCore_CaveMaiden,20,573900,21198,0,731000000155,911166,460003,470118,,
15,21298,PartyBoss,7200,14400,Icon_MonsterCore_Banshee,Icon_MonsterCore_Banshee,5,702100,21298,0,731000000144,911167,460013,470127,,
16,21498,PartyBoss,7200,14400,Icon_MonsterCore_Marax,Icon_MonsterCore_Marax,20,1037500,21498,0,731000000184,911168,460016,470148,,
19,301001,GuildBoss,,,Icon_MonsterCore_DeathKnight,Icon_MonsterCore_DeathKnight,,,,0,251000000092,490034,911230,,,
20,300001,GuildBoss,,,Icon_MonsterCore_QueenAnt,Icon_MonsterCore_QueenAnt,,,,0,251000000093,490034,911232,,,
21,302001,GuildBoss,,,Icon_MonsterCore_CrumaCore,Icon_MonsterCore_CrumaCore,,,,0,691000090401,490034,910241,,,
