Id,PvpResultType,RewardType,RewardItemInfoId,RewardCount,RewardIcon
400,Win,HonorCoin,,4,
400,Draw,HonorCoin,,0,
400,Lose,HonorCoin,,2,
401,Win,HonorCoin,,4,
401,Draw,HonorCoin,,0,
401,Lose,HonorCoin,,2,
402,Win,HonorCoin,,4,
402,Draw,HonorCoin,,0,
402,Lose,HonorCoin,,2,
403,Win,HonorCoin,,4,
403,Draw,HonorCoin,,0,
403,Lose,HonorCoin,,2,
404,Win,HonorCoin,,7,
404,Draw,HonorCoin,,0,
404,Lose,HonorCoin,,3,
405,Win,HonorCoin,,7,
405,Draw,HonorCoin,,0,
405,Lose,HonorCoin,,3,
406,Win,HonorCoin,,7,
406,Draw,HonorCoin,,0,
406,Lose,HonorCoin,,3,
407,Win,HonorCoin,,10,
407,Draw,HonorCoin,,0,
407,Lose,HonorCoin,,5,
408,Win,HonorCoin,,10,
408,Draw,HonorCoin,,0,
408,Lose,HonorCoin,,5,
409,Win,HonorCoin,,10,
409,Draw,HonorCoin,,0,
409,Lose,HonorCoin,,5,
410,Win,HonorCoin,,12,
410,Draw,HonorCoin,,0,
410,Lose,HonorCoin,,6,
411,Win,HonorCoin,,12,
411,Draw,HonorCoin,,0,
411,Lose,HonorCoin,,6,
412,Win,HonorCoin,,12,
412,Draw,HonorCoin,,0,
412,Lose,HonorCoin,,6,
413,Win,HonorCoin,,15,
413,Draw,HonorCoin,,0,
413,Lose,HonorCoin,,7,
414,Win,HonorCoin,,15,
414,Draw,HonorCoin,,0,
414,Lose,HonorCoin,,7,
415,Win,HonorCoin,,15,
415,Draw,HonorCoin,,0,
415,Lose,HonorCoin,,7,
416,Win,HonorCoin,,16,
416,Draw,HonorCoin,,0,
416,Lose,HonorCoin,,8,
417,Win,HonorCoin,,18,
417,Draw,HonorCoin,,0,
417,Lose,HonorCoin,,9,
418,Win,HonorCoin,,20,
418,Draw,HonorCoin,,0,
418,Lose,HonorCoin,,10,
500,Win,BraveCoin,,4,
500,Draw,BraveCoin,,0,
500,Lose,BraveCoin,,2,
501,Win,BraveCoin,,4,
501,Draw,BraveCoin,,0,
501,Lose,BraveCoin,,2,
502,Win,BraveCoin,,4,
502,Draw,BraveCoin,,0,
502,Lose,BraveCoin,,2,
503,Win,BraveCoin,,4,
503,Draw,BraveCoin,,0,
503,Lose,BraveCoin,,2,
504,Win,BraveCoin,,7,
504,Draw,BraveCoin,,0,
504,Lose,BraveCoin,,3,
505,Win,BraveCoin,,7,
505,Draw,BraveCoin,,0,
505,Lose,BraveCoin,,3,
506,Win,BraveCoin,,7,
506,Draw,BraveCoin,,0,
506,Lose,BraveCoin,,3,
507,Win,BraveCoin,,10,
507,Draw,BraveCoin,,0,
507,Lose,BraveCoin,,5,
508,Win,BraveCoin,,10,
508,Draw,BraveCoin,,0,
508,Lose,BraveCoin,,5,
509,Win,BraveCoin,,10,
509,Draw,BraveCoin,,0,
509,Lose,BraveCoin,,5,
510,Win,BraveCoin,,12,
510,Draw,BraveCoin,,0,
510,Lose,BraveCoin,,6,
511,Win,BraveCoin,,12,
511,Draw,BraveCoin,,0,
511,Lose,BraveCoin,,6,
512,Win,BraveCoin,,12,
512,Draw,BraveCoin,,0,
512,Lose,BraveCoin,,6,
513,Win,BraveCoin,,16,
513,Draw,BraveCoin,,0,
513,Lose,BraveCoin,,8,
514,Win,BraveCoin,,16,
514,Draw,BraveCoin,,0,
514,Lose,BraveCoin,,8,
515,Win,BraveCoin,,16,
515,Draw,BraveCoin,,0,
515,Lose,BraveCoin,,8,
516,Win,BraveCoin,,21,
516,Draw,BraveCoin,,0,
516,Lose,BraveCoin,,10,
517,Win,BraveCoin,,21,
517,Draw,BraveCoin,,0,
517,Lose,BraveCoin,,10,
518,Win,BraveCoin,,21,
518,Draw,BraveCoin,,0,
518,Lose,BraveCoin,,10,
519,Win,BraveCoin,,25,
519,Draw,BraveCoin,,0,
519,Lose,BraveCoin,,12,
520,Win,BraveCoin,,25,
520,Draw,BraveCoin,,0,
520,Lose,BraveCoin,,12,
521,Win,BraveCoin,,25,
521,Draw,BraveCoin,,0,
521,Lose,BraveCoin,,12,
522,Win,BraveCoin,,30,
522,Draw,BraveCoin,,0,
522,Lose,BraveCoin,,15,
