EnchantLevel,NameKey,ItemOptionInfoGroupId
8,241000000008,400081
9,241000000008,400091
10,241000000008,400101
11,241000000008,400111
12,241000000008,400121
13,241000000008,400131
14,241000000008,400141
15,241000000008,400151
16,241000000008,400161
17,241000000008,400171
18,241000000008,400181
19,241000000008,400191
20,241000000008,400201
21,241000000008,400211
22,241000000008,400221
23,241000000008,400231
24,241000000008,400241
25,241000000008,400251
26,241000000008,400261
27,241000000008,400271
28,241000000008,400281
29,241000000008,400291
30,241000000008,400301
