EquipType,Grade,Socket1Type,Socket2Type,Socket3Type,Socket4Type,Socket5Type,Socket6Type
Weapon,C,AttackPowerPhy,,,,,
Weapon,B,AttackPowerPhy,CriticalValue,,,,
Weapon,A,AttackPowerPhy,CriticalValue,AttackPowerPhy,,,
Weapon,S,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue,,
Weapon,R,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue,AttackPowerPhy,
Weapon,SR,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue
Helmet,C,DefensePowerPhy,,,,,
Helmet,B,DefensePowerPhy,MaxHP,,,,
Helmet,A,DefensePowerPhy,MaxHP,DefensePowerPhy,,,
Helmet,S,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP,,
Helmet,R,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP,DefensePowerPhy,
Helmet,SR,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP
Armor,C,DefensePowerPhy,,,,,
Armor,B,DefensePowerPhy,MaxHP,,,,
Armor,A,DefensePowerPhy,MaxHP,DefensePowerPhy,,,
Armor,S,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP,,
Armor,R,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP,DefensePowerPhy,
Armor,SR,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP
Gloves,C,AttackPowerPhy,,,,,
Gloves,B,AttackPowerPhy,CriticalValue,,,,
Gloves,A,AttackPowerPhy,CriticalValue,AttackPowerPhy,,,
Gloves,S,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue,,
Gloves,R,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue,AttackPowerPhy,
Gloves,SR,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue
Boots,C,HitValue,,,,,
Boots,B,HitValue,DodgeValue,,,,
Boots,A,HitValue,DodgeValue,HitValue,,,
Boots,S,HitValue,DodgeValue,HitValue,DodgeValue,,
Boots,R,HitValue,DodgeValue,HitValue,DodgeValue,HitValue,
Boots,SR,HitValue,DodgeValue,HitValue,DodgeValue,HitValue,DodgeValue
Earring1,C,AntiCriticalValue,,,,,
Earring1,B,AntiCriticalValue,Resilience,,,,
Earring1,A,AntiCriticalValue,Resilience,AntiCriticalValue,,,
Earring1,S,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience,,
Earring1,R,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience,AntiCriticalValue,
Earring1,SR,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience
Earring2,C,AntiCriticalValue,,,,,
Earring2,B,AntiCriticalValue,Resilience,,,,
Earring2,A,AntiCriticalValue,Resilience,AntiCriticalValue,,,
Earring2,S,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience,,
Earring2,R,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience,AntiCriticalValue,
Earring2,SR,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience
Necklace,C,HitValue,,,,,
Necklace,B,HitValue,DodgeValue,,,,
Necklace,A,HitValue,DodgeValue,HitValue,,,
Necklace,S,HitValue,DodgeValue,HitValue,DodgeValue,,
Necklace,R,HitValue,DodgeValue,HitValue,DodgeValue,HitValue,
Necklace,SR,HitValue,DodgeValue,HitValue,DodgeValue,HitValue,DodgeValue
Ring1,C,Penetration,,,,,
Ring1,B,Penetration,Penetration,,,,
Ring1,A,Penetration,Penetration,Penetration,,,
Ring1,S,Penetration,Penetration,Penetration,Penetration,,
Ring1,R,Penetration,Penetration,Penetration,Penetration,Penetration,
Ring1,SR,Penetration,Penetration,Penetration,Penetration,Penetration,Penetration
Ring2,C,Penetration,,,,,
Ring2,B,Penetration,Penetration,,,,
Ring2,A,Penetration,Penetration,Penetration,,,
Ring2,S,Penetration,Penetration,Penetration,Penetration,,
Ring2,R,Penetration,Penetration,Penetration,Penetration,Penetration,
Ring2,SR,Penetration,Penetration,Penetration,Penetration,Penetration,Penetration
Weapon,UR,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue
Helmet,UR,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP
Armor,UR,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP,DefensePowerPhy,MaxHP
Gloves,UR,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue,AttackPowerPhy,CriticalValue
Boots,UR,HitValue,DodgeValue,HitValue,DodgeValue,HitValue,DodgeValue
Earring1,UR,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience
Earring2,UR,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience,AntiCriticalValue,Resilience
Necklace,UR,HitValue,DodgeValue,HitValue,DodgeValue,HitValue,DodgeValue
Ring1,UR,Penetration,Penetration,Penetration,Penetration,Penetration,Penetration
Ring2,UR,Penetration,Penetration,Penetration,Penetration,Penetration,Penetration
