Id,WorldId,NpcId,GroupId,AlertType,AlertParam,DialogKey,Summon
1,300203,300301,10001,NpcSpawn,300306,DUNGEON_ALERT_NPCSPAWN,300306
2,300203,300301,10002,NpcGetBuff,"300301, 17200091",DUNGEON_ALERT_QUEENANT_BERSERKER,0
3,300,40074,3001101,PartyGetBuff,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
4,300,40074,3001102,PcGetBuff,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
5,300,40074,3001103,PcGetBuff,4011042,DUNGEON_ALERT_ALTEROFMADNESS_FIRESEED_SELF,0
6,300,40075,3001201,NpcSpawn,40073,DUNGEON_ALERT_NPCSPAWN,40073
7,300,40075,3001202,NpcSpawn,40081,DUNGEON_ALERT_NPCSPAWN,40081
8,300,40074,3002101,PartyGetBuff,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
9,300,40014,3002102,PcGetBuff,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
10,300,40014,3002103,PcGetBuff,4011042,DUNGEON_ALERT_ALTEROFMADNESS_FIRESEED_SELF,0
11,300,40015,3002201,NpcSpawn,40013,DUNGEON_ALERT_NPCSPAWN,40013
12,300,40015,3002202,NpcSpawn,40084,DUNGEON_ALERT_NPCSPAWN,40084
13,300,40034,3003101,PartyGetBuff,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
14,300,40034,3003102,PcGetBuff,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
15,300,40034,3003103,PcGetBuff,4011042,DUNGEON_ALERT_ALTEROFMADNESS_FIRESEED_SELF,0
16,300,40035,3003201,NpcSpawn,40033,DUNGEON_ALERT_NPCSPAWN,40033
17,300,40035,3003202,NpcSpawn,40083,DUNGEON_ALERT_NPCSPAWN,40083
18,300,40054,3004101,PartyGetBuff,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
19,300,40054,3004102,PcGetBuff,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
20,300,40054,3004103,PcGetBuff,4011042,DUNGEON_ALERT_ALTEROFMADNESS_FIRESEED_SELF,0
21,300,40055,3004201,NpcSpawn,40053,DUNGEON_ALERT_NPCSPAWN,40053
22,300,40055,3004202,NpcSpawn,40082,DUNGEON_ALERT_NPCSPAWN,40082
23,301,40183,3011101,NpcGetBuff,"40183,411010",DUNGEON_ALERT_BEDROOMOFCONTESSA_LEONARD_ANEMIA,0
24,301,40184,3011201,NpcSpawn,40180,DUNGEON_ALERT_NPCSPAWN,40180
25,301,40184,3011202,BattleTime,240,DUNGEON_ALERT_BEDROOMOFCONTESSA_ZAKEN_WARNING,0
26,301,40184,3011203,PcGetBuff,411019,DUNGEON_ALERT_BEDROOMOFCONTESSA_VAMPIRETRANS_SELF,0
27,301,40112,3012101,NpcGetBuff,"40112,412010",DUNGEON_ALERT_BEDROOMOFCONTESSA_LEONARD_ANEMIA,0
28,301,40113,3012201,NpcSpawn,40109,DUNGEON_ALERT_NPCSPAWN,40109
29,301,40113,3012202,BattleTime,240,DUNGEON_ALERT_BEDROOMOFCONTESSA_ZAKEN_WARNING,0
30,301,40113,3012203,PcGetBuff,412019,DUNGEON_ALERT_BEDROOMOFCONTESSA_VAMPIRETRANS_SELF,0
31,301,40134,3013101,NpcGetBuff,"40134,413010",DUNGEON_ALERT_BEDROOMOFCONTESSA_LEONARD_ANEMIA,0
