GroupId,NextMission,MissionInfoId,Grade,TaskNameKey,TaskDescriptionKey,TaskId,TaskCount,CompleteConditionValue,CompleteConditionSubValue,RewardItemType,RewardItemInfoId,RewardItemCount
1,1201,1101,1,1011000001101,1012000001101,101,50,,,Item,900006,1
1,1202,1102,1,1011000001102,1012000001102,102,1,,,Item,900010,1
1,1203,1103,1,1011000001103,1012000001103,103,3,,,Adena,,10000
1,1204,1104,1,1011000001104,1012000001104,105,1,,,Item,911178,1
1,1205,1105,1,1011000001105,1012000001105,108,1,,,FreeDiamond,,50
1,1301,1201,2,1011000001101,1012000001101,101,150,,,Item,900006,2
1,1302,1202,2,1011000001102,1012000001102,102,3,,,Item,900010,2
1,1303,1203,2,1011000001103,1012000001103,103,5,,,Adena,,20000
1,1304,1204,2,1011000001104,1012000001104,105,3,,,Item,911178,2
1,1305,1205,2,1011000001105,1012000001205,109,1,,,FreeDiamond,,100
1,1401,1301,3,1011000001101,1012000001101,101,300,,,Item,900006,3
1,1402,1302,3,1011000001102,1012000001102,102,6,,,Item,900010,3
1,1403,1303,3,1011000001103,1012000001103,103,10,,,Adena,,30000
1,1404,1304,3,1011000001104,1012000001304,106,1,,,Item,911178,3
1,1405,1305,3,1011000001105,1012000001305,110,1,,,FreeDiamond,,150
1,1501,1401,4,1011000001101,1012000001101,101,500,,,Item,900006,4
1,1502,1402,4,1011000001102,1012000001102,102,10,,,Item,900010,4
1,1503,1403,4,1011000001103,1012000001103,103,15,,,Adena,,40000
1,1504,1404,4,1011000001104,1012000001304,106,3,,,Item,911179,1
1,1505,1405,4,1011000001105,1012000001405,111,1,,,FreeDiamond,,200
1,1601,1501,5,1011000001101,1012000001101,101,800,,,Item,900006,5
1,1602,1502,5,1011000001102,1012000001102,102,15,,,Item,900010,5
1,1603,1503,5,1011000001103,1012000001103,103,20,,,Adena,,50000
1,1604,1504,5,1011000001104,1012000001504,107,1,,,Item,911179,2
1,1605,1505,5,1011000001105,1012000001505,112,1,,,FreeDiamond,,250
1,,1601,6,1011000001101,1012000001101,101,1200,,,Item,900006,6
1,,1602,6,1011000001102,1012000001102,102,30,,,Item,900011,2
1,,1603,6,1011000001103,1012000001103,103,30,,,Adena,,100000
1,,1604,6,1011000001104,1012000001504,107,3,,,Item,911180,2
1,,1605,6,1011000001105,1012000001605,113,1,,,FreeDiamond,,300
2,2201,2101,1,1011000001101,1012000001101,301,50,,,Item,900006,1
2,2202,2102,1,1011000002102,1012000002102,302,1,,,Item,900010,1
2,2203,2103,1,712000000006,1012000002103,303,1,,,Adena,,10000
2,2204,2104,1,611000001007,1012000002104,304,3,,,Item,911178,1
2,2205,2105,1,9420000000311,1012000002105,305,5,,,Item,910224,1
2,2301,2201,2,1011000001101,1012000001101,301,100,,,Item,900006,2
2,2302,2202,2,1011000002102,1012000002102,302,1,,,Item,900010,2
2,2303,2203,2,712000000006,1012000002103,303,1,,,Adena,,20000
2,2304,2204,2,611000001007,1012000002104,304,3,,,Item,911178,2
2,2305,2205,2,9420000000311,1012000002105,305,5,,,Item,911121,1
2,2401,2301,3,1011000001101,1012000001101,301,150,,,Item,900006,3
2,2402,2302,3,1011000002102,1012000002102,302,1,,,Item,900010,3
2,2403,2303,3,712000000006,1012000002103,303,1,,,Adena,,30000
2,2404,2304,3,611000001007,1012000002104,334,5,,,Item,911178,3
2,2405,2305,3,9420000000311,1012000002105,305,5,,,Item,910210,1
2,2501,2401,4,1011000001101,1012000001101,301,200,,,Item,900006,4
2,2502,2402,4,1011000002102,1012000002102,302,1,,,Item,900010,4
2,2503,2403,4,712000000006,1012000002103,303,1,,,Adena,,40000
2,2504,2404,4,611000001007,1012000002104,334,7,,,Item,911179,1
2,2505,2405,4,9420000000311,1012000002105,305,5,,,Item,910229,1
2,2601,2501,5,1011000001101,1012000001101,301,300,,,Item,900006,5
2,2602,2502,5,1011000002102,1012000002102,302,1,,,Item,900010,5
2,2603,2503,5,712000000006,1012000002103,303,1,,,Adena,,50000
2,2604,2504,5,611000001007,1012000002104,354,10,,,Item,911179,2
2,2605,2505,5,9420000000311,1012000002105,305,5,,,FreeDiamond,,200
2,,2601,6,1011000001101,1012000001101,301,400,,,Item,900006,7
2,,2602,6,1011000002102,1012000002102,302,2,,,Item,900010,6
2,,2603,6,712000000006,1012000002103,303,2,,,Adena,,100000
2,,2604,6,611000001007,1012000002104,354,15,,,Item,911179,3
2,,2605,6,9420000000311,1012000002105,305,8,,,FreeDiamond,,200
3,10002,10001,3,1011000010001,1012000010001,0,1,120,,Item,900006,1
3,10003,10002,4,1011000010001,1012000010001,0,1,150,,Item,900010,1
3,0,10003,5,1011000010001,1012000010001,0,1,180,,Adena,,10000
3,10102,10101,3,1011000010101,1012000010101,0,1,58,,Item,911178,1
3,10103,10102,4,1011000010101,1012000010102,0,1,93,,FreeDiamond,,50
3,0,10103,5,1011000010101,1012000010103,0,1,133,,Item,900006,2
3,10202,10201,3,1011000010201,1012000010201,0,1,50,,Item,900010,2
