Id,EmoticonTabType,ShortcutKey,EmoticonPath
1,Emotion,(Wink),Emoticon_Emotion_01
2,Emotion,(Smile),Emoticon_Emotion_02
3,Emotion,(TongueOut),Emoticon_Emotion_03
4,Emotion,(Laugh),Emoticon_Emotion_04
5,Emotion,(Smug),Emoticon_Emotion_05
6,Emotion,(Gloomy),Emoticon_Emotion_06
7,Emotion,(Hmph),Emoticon_Emotion_07
8,Emotion,(Kiss),Emoticon_Emotion_08
9,Emotion,(Surprise),Emoticon_Emotion_09
10,Emotion,(Bewilderment),Emoticon_Emotion_10
11,Emotion,(Teary),Emoticon_Emotion_11
12,Emotion,(Discouraged),Emoticon_Emotion_12
13,Emotion,(Nosebleed),Emoticon_Emotion_13
14,Emotion,(Sigh),Emoticon_Emotion_14
15,Emotion,(Tear),Emoticon_Emotion_15
16,Emotion,(Love),Emoticon_Emotion_16
17,Emotion,(Painful),Emoticon_Emotion_17
18,Emotion,(Angry),Emoticon_Emotion_18
19,Emotion,(Dizzy),Emoticon_Emotion_19
20,Emotion,(MentalBreakdown),Emoticon_Emotion_20
21,Emotion,(RiledUp),Emoticon_Emotion_21
22,Emotion,(Taunting),Emoticon_Emotion_22
23,Emotion,(Silence),Emoticon_Emotion_23
101,Object,(Snowman),Emoticon_Etc_01
102,Object,(Rain),Emoticon_Etc_02
103,Object,(Cloud),Emoticon_Etc_03
104,Object,(Sun),Emoticon_Etc_04
105,Object,(Heart),Emoticon_Etc_05
106,Object,(Farewell),Emoticon_Etc_06
107,Object,(Gift),Emoticon_Etc_07
108,Object,(Cake),Emoticon_Etc_08
109,Object,(Poop),Emoticon_Etc_09
110,Object,(Scissor),Emoticon_Etc_10
111,Object,(Paper),Emoticon_Etc_11
112,Object,(ThumbUp),Emoticon_Etc_12
113,Object,(Ooh),Emoticon_Etc_13
114,Object,(Prayer),Emoticon_Etc_14
115,Object,(One),Emoticon_Etc_15
116,Object,(Money),Emoticon_Etc_16
117,Object,(Clover),Emoticon_Etc_17
118,Object,(Tree),Emoticon_Etc_18
119,Object,(Fireworks),Emoticon_Etc_19
120,Object,(Bouquet),Emoticon_Etc_20
1001,,(SystemDice1),UI_Icon_Chat_Dice_01
1002,,(SystemDice2),UI_Icon_Chat_Dice_02
1003,,(SystemDice3),UI_Icon_Chat_Dice_03
1004,,(SystemDice4),UI_Icon_Chat_Dice_04
1005,,(SystemDice5),UI_Icon_Chat_Dice_05
1006,,(SystemDice6),UI_Icon_Chat_Dice_06
