Id,GroupId,EffectType,EffectParamMin,EffectParamMax,EffectParamGrowth,EffectSkillInfoId,DescriptionKey,EffectParam1,EffectParam2,EffectParam3,EffectParam4,EffectParam5,EffectParam6,EffectParam7,EffectParam8,EffectParam9,EffectParam10,EffectParam11,EffectParam12,EffectParam13,EffectParam14,EffectParam15,EffectParam16,EffectParam17,EffectParam18,EffectParam19,EffectParam20,Param1CP,Param2CP,Param3CP,Param4CP,Param5CP,Param6CP,Param7CP,Param8CP,Param9CP,Param10CP
1,1001,IncreaseDamageMul,4000,11200,1,,541000000001,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,,,,,,,,,,
2,1002,IncreaseDamageMul,4000,11200,1,,541000000002,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,,,,,,,,,,
3,1003,IncreaseDamageMul,4000,11200,1,,541000000003,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,,,,,,,,,,
4,1004,IncreaseDamageMul,1200,3500,1,,541000000004,1200,1450,1710,1960,2220,2470,2730,2980,3240,3500,,,,,,,,,,,,,,,,,,,,
5,1005,DecreaseDamageMul,500,1400,1,,541000000005,500,600,700,800,900,1000,1100,1200,1300,1400,,,,,,,,,,,,,,,,,,,,
6,1006,DecreaseDamageMul,500,1400,1,,541000000006,500,600,700,800,900,1000,1100,1200,1300,1400,,,,,,,,,,,,,,,,,,,,
7,1007,DecreaseDamageMul,500,1400,1,,541000000007,500,600,700,800,900,1000,1100,1200,1300,1400,,,,,,,,,,,,,,,,,,,,
8,1008,DecreaseDamageMul,250,700,1,,541000000008,250,300,350,400,450,500,550,600,650,700,,,,,,,,,,,,,,,,,,,,
9,1009,StunResistRate,50,500,1,,541000000009,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,,,,,,,,,
10,1010,DefensePowerMag,50,500,1,,541000000010,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,,,,,,,,,
11,1011,SlowResistRate,50,500,1,,541000000011,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,,,,,,,,,
12,1012,AntiCriticalRate,50,500,1,,541000000012,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,,,,,,,,,
13,1013,MoveSpeedMul,50,500,1,,541000000013,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,,,,,,,,,
14,1014,IncreaseComboExpireTime,50,500,1,,541000000014,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,,,,,,,,,
15,1015,NormalSkillDamageMul,1000,4500,1,,541000000015,1000,1390,1770,2160,2550,2940,3330,3720,4110,4500,,,,,,,,,,,,,,,,,,,,
16,1016,IncreaseDamageMul,10000,32500,1,,541000000016,10000,12500,15000,17500,20000,22500,25000,27500,30000,32500,,,,,,,,,,,,,,,,,,,,
17,1017,DecreaseDamageMul,1000,3250,1,,541000000017,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,,,,,,,,,,,,,,,,,,,,
101,1101,IncreaseDamageMul,500,5000,1,,541000000001,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,,,,,,,,,
102,1102,IncreaseDamageMul,1000,5000,1,,541000000001,1000,1444,1888,2333,2777,3222,3666,4111,4555,5000,,,,,,,,,,,,,,,,,,,,
103,1103,IncreaseDamageMul,500,5000,1,,541000000001,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,,,,,,,,,
104,1104,IncreaseDamageMul,500,5000,1,,541000000003,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,,,,,,,,,
105,1105,IncreaseDamageMul,1000,5000,1,,541000000003,1000,1444,1888,2333,2777,3222,3666,4111,4555,5000,,,,,,,,,,,,,,,,,,,,
106,1106,IncreaseDamageMul,500,5000,1,,541000000003,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,,,,,,,,,
107,1107,DecreaseDamageMul,200,5000,1,,541000000008,200,733,1266,1800,2333,2866,3400,3933,4466,5000,,,,,,,,,,,,,,,,,,,,
108,1108,DecreaseDamageMul,400,5000,1,,541000000008,400,911,1422,1933,2444,2955,3466,3977,4488,5000,,,,,,,,,,,,,,,,,,,,
109,1109,IncreaseDamageMul,200,5000,1,,541000000004,200,733,1266,1800,2333,2866,3400,3933,4466,5000,,,,,,,,,,,,,,,,,,,,
110,1110,IncreaseDamageMul,400,5000,1,,541000000004,400,911,1422,1933,2444,2955,3466,3977,4488,5000,,,,,,,,,,,,,,,,,,,,
111,1111,DecreaseDamageMul,200,500,1,,541000000005,200,233,266,300,333,366,400,433,466,500,,,,,,,,,,,,,,,,,,,,
112,1112,DecreaseDamageMul,400,500,1,,541000000005,400,411,422,433,444,455,466,477,488,500,,,,,,,,,,,,,,,,,,,,
113,1113,IncreaseDamageMul,500,5000,1,,541000000002,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,,,,,,,,,
114,1114,IncreaseDamageMul,1000,5000,1,,541000000002,1000,1444,1888,2333,2777,3222,3666,4111,4555,5000,,,,,,,,,,,,,,,,,,,,
115,1115,DecreaseDamageMul,200,500,1,,541000000006,200,233,266,300,333,366,400,433,466,500,,,,,,,,,,,,,,,,,,,,
116,1116,DecreaseDamageMul,400,500,1,,541000000006,400,411,422,433,444,455,466,477,488,500,,,,,,,,,,,,,,,,,,,,
117,1117,DecreaseDamageMul,200,500,1,,541000000007,200,233,266,300,333,366,400,433,466,500,,,,,,,,,,,,,,,,,,,,
118,1118,DecreaseDamageMul,400,500,1,,541000000007,400,411,422,433,444,455,466,477,488,500,,,,,,,,,,,,,,,,,,,,
201,1201,IncreaseDamageMul,1500,1500,1,,541000000003,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,
202,1202,DecreaseDamageMul,500,500,1,,541000000007,500,500,500,500,500,500,500,500,500,500,,,,,,,,,,,,,,,,,,,,
203,1203,IncreaseFinalDamageMul,5000,5000,1,,541000000203,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,,,,
301,1301,AttackSpeedMul,200,600,1,,541000000301,200,244,288,333,377,422,466,511,555,600,,,,,,,,,,,,,,,,,,,,
19,1015,NormalSkillMonsterDamageMtMul,500,2500,1,,541000000019,500,722,944,1166,1388,1611,1833,2055,2277,2500,,,,,,,,,,,,,,,,,,,,
20,1015,NormalSkillIncreaseHealMul,500,1000,1,,541000000020,500,555,611,666,722,777,833,888,944,1000,,,,,,,,,,,,,,,,,,,,
204,1204,IncreaseDamageMtMul,1500,1500,1,,541000000002,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,
205,1205,IncreaseDamageMtMul,1500,1500,1,,541000000003,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,
206,1206,IncreaseDamageMtMul,3000,3000,1,,541000000016,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,,,,,,,,,,,,,,,,,,
302,1302,IncreaseDamageMul,2000,2000,1,,541000000302,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,,,,,,,,,,,,,,,,,,
303,1302,DecreaseDamageMul,2000,2000,1,,541000000303,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,,,,,,,,,,,,,,,,,
1000001,11000001,AttackSpeedMul,120,300,1,,541011000001,175,200,225,250,275,300,325,350,375,400,,,,,,,,,,,,,,,,,,,,
1000002,11000002,AdenaGainRate,10000,10000,1,,541001000002,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,,,
1000101,1000101,IncreaseDamageMul,235,392,1,,541001000101,235,250,268,286,303,321,339,356,374,392,,,,,,,,,,,284,302,324,346,366,388,410,430,452,474
1000201,1000201,IncreaseDamageMul,276,509,1,,541001000101,276,299,325,351,377,404,430,456,482,509,,,,,,,,,,,333,361,393,424,456,488,520,551,583,615
1000301,1000301,IncreaseDamageMul,317,627,1,,541001000101,317,348,382,417,452,487,522,557,592,627,,,,,,,,,,,383,421,462,504,546,589,631,673,716,758
1000401,1000401,IncreaseDamageMul,358,784,1,,541001000101,358,400,448,496,544,592,640,688,736,784,,,,,,,,,,,433,484,542,600,658,716,774,832,890,948
1000501,1000501,IncreaseDamageMul,235,392,1,,541001000501,235,250,268,286,303,321,339,356,374,392,,,,,,,,,,,284,302,324,346,366,388,410,430,452,474
1000601,1000601,IncreaseDamageMul,276,509,1,,541001000501,276,299,325,351,377,404,430,456,482,509,,,,,,,,,,,333,361,393,424,456,488,520,551,583,615
1000701,1000701,IncreaseDamageMul,317,627,1,,541001000501,317,348,382,417,452,487,522,557,592,627,,,,,,,,,,,383,421,462,504,546,589,631,673,716,758
1000801,1000801,IncreaseDamageMul,358,784,1,,541001000501,358,400,448,496,544,592,640,688,736,784,,,,,,,,,,,433,484,542,600,658,716,774,832,890,948
1000901,1000901,IncreaseDamageMul,235,392,1,,541001000901,235,250,268,286,303,321,339,356,374,392,,,,,,,,,,,284,302,324,346,366,388,410,430,452,474
1001001,1001001,IncreaseDamageMul,276,509,1,,541001000901,276,299,325,351,377,404,430,456,482,509,,,,,,,,,,,333,361,393,424,456,488,520,551,583,615
1001101,1001101,IncreaseDamageMul,317,627,1,,541001000901,317,348,382,417,452,487,522,557,592,627,,,,,,,,,,,383,421,462,504,546,589,631,673,716,758
1001201,1001201,IncreaseDamageMul,358,784,1,,541001000901,358,400,448,496,544,592,640,688,736,784,,,,,,,,,,,433,484,542,600,658,716,774,832,890,948
1001301,1001301,IncreaseDamageMul,630,1050,1,,541001001301,630,672,719,766,813,861,908,955,1002,1050,,,,,,,,,,,264,282,301,321,341,361,381,401,420,441
1001401,1001401,IncreaseDamageMul,740,1365,1,,541001001301,740,802,872,943,1013,1083,1154,1224,1294,1365,,,,,,,,,,,310,336,366,396,425,454,484,514,543,573
1001501,1001501,IncreaseDamageMul,850,1680,1,,541001001301,850,933,1026,1119,1213,1306,1399,1493,1586,1680,,,,,,,,,,,357,391,430,469,509,548,587,627,666,705
1001601,1001601,IncreaseDamageMul,960,2100,1,,541001001301,960,1074,1202,1330,1458,1587,1715,1843,1971,2100,,,,,,,,,,,403,451,504,558,612,666,720,774,827,882
2000101,2000101,IncreaseDamageMul,184,700,1,,541001000101,184,235,293,351,409,467,525,583,641,700,,,,,,,,,,,222,284,354,424,494,565,635,705,775,847
2000201,2000201,IncreaseDamageMul,211,862,1,,541001000101,211,276,349,422,495,569,642,715,788,862,,,,,,,,,,,255,333,422,510,598,688,776,865,953,1043
2000301,2000301,IncreaseDamageMul,239,1078,1,,541001000101,239,322,417,511,606,700,794,889,983,1078,,,,,,,,,,,289,389,504,618,733,847,960,1075,1189,1304
2000401,2000401,IncreaseDamageMul,184,700,1,,541001000501,184,235,293,351,409,467,525,583,641,700,,,,,,,,,,,222,284,354,424,494,565,635,705,775,847
2000501,2000501,IncreaseDamageMul,211,862,1,,541001000501,211,276,349,422,495,569,642,715,788,862,,,,,,,,,,,255,333,422,510,598,688,776,865,953,1043
2000601,2000601,IncreaseDamageMul,239,1078,1,,541001000501,239,322,417,511,606,700,794,889,983,1078,,,,,,,,,,,289,389,504,618,733,847,960,1075,1189,1304
2000701,2000701,IncreaseDamageMul,184,700,1,,541001000901,184,235,293,351,409,467,525,583,641,700,,,,,,,,,,,222,284,354,424,494,565,635,705,775,847
2000801,2000801,IncreaseDamageMul,211,862,1,,541001000901,211,276,349,422,495,569,642,715,788,862,,,,,,,,,,,255,333,422,510,598,688,776,865,953,1043
2000901,2000901,IncreaseDamageMul,239,1078,1,,541001000901,239,322,417,511,606,700,794,889,983,1078,,,,,,,,,,,289,389,504,618,733,847,960,1075,1189,1304
2001001,2001001,IncreaseDamageMul,493,1876,1,,541001001301,493,631,786,942,1098,1253,1409,1564,1720,1876,,,,,,,,,,,207,265,330,395,461,526,591,656,722,787
2001101,2001101,IncreaseDamageMul,567,2310,1,,541001001301,567,741,937,1133,1329,1525,1721,1917,2113,2310,,,,,,,,,,,238,311,393,475,558,640,722,805,887,970
2001201,2001201,IncreaseDamageMul,640,2887,1,,541001001301,640,864,1117,1370,1623,1875,2128,2381,2634,2887,,,,,,,,,,,268,362,469,575,681,787,893,1000,1106,1212
2001301,2001301,MoveSpeedMul,35,133,1,,782000030002,35,44,55,66,77,88,99,110,121,133,,,,,,,,,,,157,198,247,297,346,396,445,495,544,598
2001401,2001401,MoveSpeedMul,40,164,1,,782000030002,40,52,66,80,94,108,122,136,150,164,,,,,,,,,,,180,234,297,360,423,486,549,612,675,738
2001501,2001501,MoveSpeedMul,45,205,1,,782000030002,45,61,79,97,115,133,151,169,187,205,,,,,,,,,,,202,274,355,436,517,598,679,760,841,922
