UID,GroupID,RewardItemID,RewardItemAmount,RewardRatio,WishitemUI
101,10003,911013,1,21,1
102,10003,420011,1,21,
103,10003,420012,1,21,
104,10003,420012,1,21,
105,10003,911031,1,168,
106,10003,911031,1,168,
107,10003,911031,1,168,
108,10003,911031,1,21,
109,10003,911031,1,21,
110,10003,510103,1,168,
111,10003,510103,1,168,
112,10003,510103,1,168,
113,10003,510103,1,21,
114,10003,510103,1,21,
115,10003,910221,1,168,
116,10003,910221,1,168,
117,10003,910221,1,168,
118,10003,910221,1,168,
119,10003,910221,1,168,
120,10003,910221,1,168,
121,10003,910221,1,168,
122,10003,910221,1,168,
123,10003,910221,1,168,
124,10003,910221,1,168,
125,10003,910221,1,21,
126,10003,910221,1,21,
127,10003,910221,1,21,
128,10003,910221,1,21,
129,10003,910221,1,21,
130,10003,911024,20,168,
131,10003,911024,20,168,
132,10003,911024,20,168,
133,10003,911024,20,168,
134,10003,911024,20,168,
135,10003,911024,20,168,
136,10003,911024,20,168,
137,10003,911024,20,168,
138,10003,911024,20,168,
139,10003,911024,20,168,
140,10003,911024,20,168,
141,10003,911024,20,168,
142,10003,911024,20,168,
143,10003,911024,20,168,
144,10003,911024,20,21,
145,10003,911024,20,21,
146,10003,911024,20,21,
147,10003,911024,20,21,
148,10003,911024,20,21,
149,10003,911024,20,21,
150,10003,911024,20,21,
