Id,NameKey,BGTexture,BGTextureSmall,BPName,ContentType,Promote,NoticeType,ActivateType,NoticeCoolTime,NoticeRandomCoolTime,NoticeMinLevel,NoticeMaxLevel,NoticeMaxBagSlot
9008,1071000009008,Image_SmartPopup_Junior,small_package_08,,,,FirstBuy,PlayerLevel,10080,,16,43,
9009,1071000009009,Image_SmartPopup_Senior,small_package_09,,,,FirstBuy,PlayerLevel,10080,,44,72,
9010,1071000009010,Image_SmartPopup_Veteran,small_package_10,,,,FirstBuy,PlayerLevel,10080,,73,120,
9053,1071000009053,Image_SmartPopup_Elite,small_package_10,,,,FirstBuy,PlayerLevel,10080,,121,150,
9611,1071000009611,Image_Smartpopup_Noblesse,small_package_10,,,,FirstBuy,PlayerLevel,10080,4320,151,180,
9011,1071000009011,Image_Smartpopup_Platinum,small_package_10,,,,FirstBuy,PlayerLevel,10080,,181,220,
9012,1071000009012,Image_Smartpopup_Master,small_package_10,,,,FirstBuy,PlayerLevel,10080,,221,260,
10010079,331010010079,Image_SmartPopup_Ultimate,small_package_10,,,,FirstBuy,PlayerLevel,10080,,261,300,
10010080,331010010080,Image_SmartPopup_Legendary,small_package_10,,,,FirstBuy,PlayerLevel,10080,,301,400,
9501,1071000009501,Image_SmartPopup_9501,small_package_10,BP_EquipmentEnhancementUI,BlackSmithLevelUp,,UI,PlayerLevel,1440,5760,20,,
9502,1071000009502,Image_SmartPopup_9502,small_package_11,BP_EquipmentEnhancementUI,BlackSmithEnchant,,UI,PlayerLevel,1440,4320,40,,
9503,1071000009503,Image_SmartPopup_9503,small_package_12,BP_InventoryUI,BagAccessory,,UI,ClassTransfer,1440,5760,,,
10010030,331010010030,Image_Smartpopup_10010030,small_package_10,BP_EquipmentEnhancementUI,BlackSmithEnchant,,UI,PlayerLevel,10010,3600,,,
