Id,Type,RequiredValue,DescKey,RewardGem,RewardItemInfoId,RewardCount,RewardItemInfoId2,RewardCount2
1,Rank,1,401000000001,300,,,,
2,Rank,2,401000000002,200,,,,
3,Rank,3,401000000003,100,,,,
4,Rank,4,401000000004,80,,,,
5,Rank,5,401000000005,60,,,,
6,Rank,10,401000000006,45,,,,
7,Rank,50,401000000007,35,,,,
8,Rank,100,401000000008,30,,,,
9,Rank,100,401000000018,25,,,,
10,Rank,1000,401000000019,20,,,,
11,Rank,2000,401000000009,15,,,,
12,Rank,5000,401000000010,10,,,,
13,Rank,7500,401000000011,5,,,,
14,Rank,10000,401000000012,3,,,,
15,HonorPoint,50,401000000013,,900016,2,490002,25000
16,HonorPoint,40,401000000014,,900016,1,490002,10000
17,HonorPoint,30,401000000015,,900015,2,490002,7000
18,HonorPoint,15,401000000016,,900015,1,490002,5000
19,HonorPoint,5,401000000017,,900015,1,490002,3000
20,FirstRank,1,401000000001,700,,,,
21,FirstRank,2,401000000002,500,,,,
22,FirstRank,3,401000000003,400,,,,
23,FirstRank,4,401000000004,350,,,,
24,FirstRank,5,401000000005,300,,,,
25,FirstRank,10,401000000006,280,,,,
26,FirstRank,50,401000000007,230,,,,
27,FirstRank,100,401000000008,200,,,,
28,FirstRank,1000,401000000020,150,,,,
29,FirstRank,3000,401000000021,80,,,,
30,FirstRank,5000,401000000022,50,,,,
31,FirstRank,10000,401000000023,30,,,,
32,FirstRank,15000,401000000024,20,,,,
33,FirstRank,30000,401000000025,10,,,,
34,FirstRank,17,0,5,,,,
35,FirstRank,18,0,5,,,,
36,FirstRank,19,0,5,,,,
37,FirstRank,20,0,30,,,,
38,FirstRank,21,0,3,,,,
39,FirstRank,22,0,3,,,,
40,FirstRank,23,0,3,,,,
41,FirstRank,24,0,3,,,,
42,FirstRank,25,0,3,,,,
43,FirstRank,26,0,3,,,,
44,FirstRank,27,0,3,,,,
45,FirstRank,28,0,3,,,,
46,FirstRank,29,0,3,,,,
47,FirstRank,30,0,30,,,,
48,FirstRank,31,0,1,,,,
49,FirstRank,32,0,1,,,,
50,FirstRank,33,0,1,,,,
51,FirstRank,34,0,1,,,,
52,FirstRank,35,0,1,,,,
53,FirstRank,36,0,1,,,,
54,FirstRank,37,0,1,,,,
55,FirstRank,38,0,1,,,,
56,FirstRank,39,0,1,,,,
57,FirstRank,40,0,30,,,,
58,FirstRank,41,0,1,,,,
59,FirstRank,42,0,1,,,,
60,FirstRank,43,0,1,,,,
61,FirstRank,44,0,1,,,,
62,FirstRank,45,0,1,,,,
63,FirstRank,46,0,1,,,,
64,FirstRank,47,0,1,,,,
65,FirstRank,48,0,1,,,,
66,FirstRank,49,0,1,,,,
67,FirstRank,50,0,30,,,,
68,FirstRank,51,0,1,,,,
69,FirstRank,52,0,1,,,,
70,FirstRank,53,0,1,,,,
71,FirstRank,54,0,1,,,,
72,FirstRank,55,0,1,,,,
73,FirstRank,56,0,1,,,,
74,FirstRank,57,0,1,,,,
75,FirstRank,58,0,1,,,,
76,FirstRank,59,0,1,,,,
77,FirstRank,60,0,30,,,,
78,FirstRank,61,0,1,,,,
79,FirstRank,62,0,1,,,,
80,FirstRank,63,0,1,,,,
81,FirstRank,64,0,1,,,,
82,FirstRank,65,0,1,,,,
83,FirstRank,66,0,1,,,,
84,FirstRank,67,0,1,,,,
85,FirstRank,68,0,1,,,,
86,FirstRank,69,0,1,,,,
87,FirstRank,70,0,30,,,,
88,FirstRank,71,0,1,,,,
89,FirstRank,72,0,1,,,,
90,FirstRank,73,0,1,,,,
91,FirstRank,74,0,1,,,,
92,FirstRank,75,0,1,,,,
93,FirstRank,76,0,1,,,,
94,FirstRank,77,0,1,,,,
95,FirstRank,78,0,1,,,,
96,FirstRank,79,0,1,,,,
97,FirstRank,80,0,30,,,,
98,FirstRank,81,0,1,,,,
99,FirstRank,82,0,1,,,,
100,FirstRank,83,0,1,,,,
101,FirstRank,84,0,1,,,,
102,FirstRank,85,0,1,,,,
103,FirstRank,86,0,1,,,,
104,FirstRank,87,0,1,,,,
105,FirstRank,88,0,1,,,,
106,FirstRank,89,0,1,,,,
107,FirstRank,90,0,30,,,,
108,FirstRank,91,0,1,,,,
109,FirstRank,92,0,1,,,,
110,FirstRank,93,0,1,,,,
111,FirstRank,94,0,1,,,,
112,FirstRank,95,0,1,,,,
113,FirstRank,96,0,1,,,,
114,FirstRank,97,0,1,,,,
115,FirstRank,98,0,1,,,,
116,FirstRank,99,0,1,,,,
117,FirstRank,100,0,25,,,,
118,FirstRank,101,0,1,,,,
119,FirstRank,102,0,1,,,,
120,FirstRank,103,0,1,,,,
121,FirstRank,104,0,1,,,,
122,FirstRank,105,0,1,,,,
123,FirstRank,106,0,1,,,,
124,FirstRank,107,0,1,,,,
125,FirstRank,108,0,1,,,,
126,FirstRank,109,0,1,,,,
127,FirstRank,110,0,25,,,,
128,FirstRank,111,0,1,,,,
129,FirstRank,112,0,1,,,,
130,FirstRank,113,0,1,,,,
131,FirstRank,114,0,1,,,,
132,FirstRank,115,0,1,,,,
133,FirstRank,116,0,1,,,,
134,FirstRank,117,0,1,,,,
135,FirstRank,118,0,1,,,,
136,FirstRank,119,0,1,,,,
137,FirstRank,120,0,25,,,,
138,FirstRank,121,0,1,,,,
139,FirstRank,122,0,1,,,,
140,FirstRank,123,0,1,,,,
141,FirstRank,124,0,1,,,,
142,FirstRank,125,0,1,,,,
143,FirstRank,126,0,1,,,,
144,FirstRank,127,0,1,,,,
145,FirstRank,128,0,1,,,,
146,FirstRank,129,0,1,,,,
147,FirstRank,130,0,25,,,,
148,FirstRank,131,0,1,,,,
149,FirstRank,132,0,1,,,,
150,FirstRank,133,0,1,,,,
151,FirstRank,134,0,1,,,,
152,FirstRank,135,0,1,,,,
153,FirstRank,136,0,1,,,,
154,FirstRank,137,0,1,,,,
155,FirstRank,138,0,1,,,,
156,FirstRank,139,0,1,,,,
157,FirstRank,140,0,25,,,,
158,FirstRank,141,0,1,,,,
159,FirstRank,142,0,1,,,,
160,FirstRank,143,0,1,,,,
161,FirstRank,144,0,1,,,,
162,FirstRank,145,0,1,,,,
163,FirstRank,146,0,1,,,,
164,FirstRank,147,0,1,,,,
165,FirstRank,148,0,1,,,,
166,FirstRank,149,0,1,,,,
167,FirstRank,150,0,25,,,,
168,FirstRank,151,0,1,,,,
169,FirstRank,152,0,1,,,,
170,FirstRank,153,0,1,,,,
171,FirstRank,154,0,1,,,,
172,FirstRank,155,0,1,,,,
173,FirstRank,156,0,1,,,,
174,FirstRank,157,0,1,,,,
