Id,WorldInfoId,PlaceNameKey,GroupId,Type
1,1,451000000001,1,Protect
2,1,451000000002,2,Protect
3,1,151000000197,3,AllProtect
4,1,151000000102,4,Protect
5,1,451000000005,5,Protect
6,1,451000000006,6,Protect
7,1,451000000007,7,Protect
8,2,451000000008,1,Protect
9,2,151000000202,2,Protect
10,2,151000000201,3,Protect
11,2,451000000011,4,Protect
12,3,201000000301,1,Protect
13,3,151000000397,2,Protect
14,3,151000000301,3,Protect
15,3,151000000302,4,Protect
16,3,451000000016,5,Protect
17,4,151000000497,1,Protect
18,4,451000000018,2,Protect
19,4,151000000401,3,Protect
20,4,151000000403,4,Protect
21,4,151000000404,5,Protect
22,4,451000000022,6,Protect
23,4,451000000023,7,Protect
24,4,151000000499,8,Protect
25,5,151000000501,1,Normal
26,5,151000000502,2,Normal
27,5,151000000503,3,Normal
28,5,151000000504,4,Normal
29,6,151000000601,1,Normal
30,6,151000000602,2,Normal
31,6,151000000697,3,Protect
32,6,152000000603,4,Normal
33,7,451000000033,0,Normal
34,7,151000000797,1,Protect
35,7,151000000701,2,Normal
36,7,451000000036,3,Normal
37,7,451000000037,4,Normal
38,7,161000000007,5,Normal
39,8,151000000801,0,Normal
40,8,151000000897,1,Protect
41,8,451000000041,2,Normal
42,8,451000000042,3,Normal
43,8,451000000043,4,Normal
44,9,451000000044,0,Normal
45,9,151000000901,1,Normal
46,9,151000000904,2,Normal
47,9,451000000047,3,Normal
48,9,451000000048,4,Normal
49,10,151000001001,0,Normal
50,10,151000001002,1,Normal
51,10,451000000051,2,Normal
52,10,451000000052,3,Normal
53,10,451000000053,4,Normal
54,11,151000001197,1,Protect
55,11,151000001102,2,Normal
56,11,451000000056,3,Normal
57,11,151000001103,4,Normal
58,11,151000001104,5,Normal
59,11,451000000059,6,Normal
60,11,151000001199,7,Normal
61,12,151000001201,1,Normal
62,12,451000000062,2,Normal
63,12,451000000063,3,Normal
64,12,151000001203,4,Normal
65,12,451000000065,5,Normal
66,12,451000000066,6,Normal
67,13,451000000067,1,Normal
68,13,451000000068,2,Normal
69,13,451000000069,3,Normal
70,14,451000000070,1,Normal
71,14,151000001405,2,Normal
72,14,451000000072,3,Normal
73,15,151000001501,1,Normal
74,15,151000001597,2,Protect
75,15,451000000075,3,Normal
76,15,451000000076,4,Normal
77,15,151000001503,5,Normal
78,15,451000000078,6,Normal
79,16,451000000079,1,Normal
80,16,151000001602,2,Normal
81,16,151000001603,3,Normal
82,17,151000001701,1,Normal
83,17,451000000083,2,Normal
84,17,151000001702,3,Normal
85,17,451000000085,4,Normal
86,17,451000000086,5,Normal
87,17,151000001703,6,Normal
88,17,451000000088,7,Protect
89,17,451000000089,8,Normal
95,200,151000020001,1,Normal
96,201,151000020101,2,Normal
97,202,151000020201,1,Normal
98,203,151000020301,2,Normal
99,204,151000020401,1,Normal
100,205,151000020501,2,Normal
101,206,151000020601,1,Normal
102,207,151000020701,2,Normal
103,100200,161000100200,1,Protect
104,100200,161000100200,2,Protect
105,100204,151000020401,1,Normal
106,100204,151000020401,2,Normal
107,100018,161000100018,1,Normal
108,100018,161000100018,2,Normal
109,100018,161000100018,3,Normal
110,100018,161000100018,4,Normal
111,100018,161000100018,5,Normal
112,100003,161000100003,1,Normal
113,100003,161000100003,2,Normal
114,100003,161000100003,3,Normal
115,100003,161000100003,4,Normal
116,100003,161000100003,5,Normal
117,200001,161000200001,1,Normal
118,200001,161000200001,2,Normal
119,200001,161000200001,3,Normal
120,200001,161000200001,4,Normal
121,200001,161000200001,5,Normal
122,200001,161000200001,6,Normal
123,200001,161000200001,7,Normal
124,200002,161000200002,1,Normal
125,200002,161000200002,2,Normal
126,200002,161000200002,3,Normal
127,200002,161000200002,4,Normal
