Id,GroupId,NameKey,ConditionType,ConditionNpcRaceType,ConditionNpcGradeList,ConditionParam,EffectGroupId,ConditionRoomTypeList,AbilityIcon,AbilityAdvantageIcon,DisplayUnused
1,1,551000000001,TargetNpcGrade,,"Small,Middle,Large",,1001,,,,0
2,2,551000000002,TargetNpcGrade,,Elite,,1002,,,,0
3,3,551000000003,TargetNpcGrade,,Hero,,1003,,,,0
4,4,731000002888,TargetPlayer,,,,1004,,,,0
5,5,551000000005,TargetNpcGrade,,"Small,Middle,Large",,1005,,,,0
6,6,551000000006,TargetNpcGrade,,Elite,,1006,,,,0
7,7,551000000007,TargetNpcGrade,,Hero,,1007,,,,0
8,8,551000000008,TargetPlayer,,,10000,1008,,,,0
9,9,551000000009,ItemEquip,,,10000,1009,,,,0
10,10,551000000010,ItemEquip,,,10000,1010,,,,0
11,11,551000000011,ItemEquip,,,10000,1011,,,,0
12,12,551000000012,ItemEquip,,,10000,1012,,,,0
13,13,551000000013,ItemEquip,,,10000,1013,,,,0
14,14,551000000014,ItemEquip,,,10000,1014,,,,0
15,15,551000000015,ItemEquip,,,,1015,,,,0
16,16,551000000016,TargetRace,MagicalCreature,,,1016,,,,0
17,17,551000000017,TargetRace,MagicalCreature,,,1017,,,,0
101,101,781000301002,TargetNpcGrade,,"Small,Middle,Large",,1101,,,,0
102,102,781000301004,TargetNpcGrade,,"Small,Middle,Large",,1102,,,,0
103,103,731000000169,TargetNpcGrade,,"Small,Middle,Large",,1103,,,,0
104,104,781000301010,TargetNpcGrade,,Hero,,1104,,,,0
105,105,781000301014,TargetNpcGrade,,Hero,,1105,,,,0
106,106,731000000168,TargetNpcGrade,,Hero,,1106,,,,0
107,107,781000301015,TargetPlayer,,,10000,1107,,,,0
108,108,781000301017,TargetPlayer,,,10000,1108,,,,0
109,109,781000301013,TargetPlayer,,,,1109,,,,0
110,110,781000301016,TargetPlayer,,,,1110,,,,0
111,111,781000301003,TargetNpcGrade,,"Small,Middle,Large",,1111,,,,0
112,112,781000301005,TargetNpcGrade,,"Small,Middle,Large",,1112,,,,0
113,113,781000301006,TargetNpcGrade,,Elite,,1113,,,,0
114,114,781000301008,TargetNpcGrade,,Elite,,1114,,,,0
115,115,781000301007,TargetNpcGrade,,Elite,,1115,,,,0
116,116,781000301009,TargetNpcGrade,,Elite,,1116,,,,0
117,117,781000301011,TargetNpcGrade,,Hero,,1117,,,,0
118,118,781000301012,TargetNpcGrade,,Hero,,1118,,,,0
201,201,551000000201,TargetNpcGrade,,Hero,,1201,,,,0
202,202,551000000201,TargetNpcGrade,,Hero,,1202,,,,0
203,203,551000000201,TargetNpcGrade,,Structure,,1203,,,,0
301,301,551000000301,InRoom,,,10000,1301,"SiegeWorld,PvpWorld,PvpLeagueWorld,MeleeWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld",,,0
9001,9001,551000000008,TargetPlayer,,,,1109,,,,0
9002,9001,551000000013,ItemEquip,,,10000,1013,,,,0
9003,9001,551000000015,ItemEquip,,,,1015,,,,0
1000001,1000001,551001000001,ItemEquip,,,10000,11000001,,,,0
1000002,1000002,551001000002,ItemEquip,,,10000,11000002,,,,0
