Id,Text
1,Caçada
2,Missão
3,Fabricar elixir
4,Fabricar Pergaminho Esquecido
5,Conquista
6,Recompensa de recesso
7,Concluir agora
8,Loja de pontos de amizade
9,Evocação
10,Consumíveis
11,Loja de Adenas
12,Loja de Topázio
13,Loja de Conjuntos
14,Loja de Pontos de Lealdade
15,Recarregar diamantes
16,Diamantes diários
17,Conjunto de conexão
18,Conjunto de fortalecimento
19,Masmorra Elite
20,Masmorra diária
21,Torre da Insolência
22,Masmorra de extração
23,Arena
24,Amigo
25,Loja do Clã
26,Presentes do Clã
27,Conquista do clã
28,Loja de Diamante Azul
29,Doação de clã
30,Saudar membros de clã
31,Atividades diárias
32,Campo de batalha honorável
33,Campo de Batalha da Coragem
34,Campo de batalha antigo
35,Missão da Sede do Clã
36,"Normal, Escolhido"
37,Chefe Mundial
38,Chefe de Campo
39,@20
40,Vincular
41,Reciclar
42,Guardião do Templo
43,Masmorra de adena
44,Círculo de Invocação
45,Relíquia da Sede do Clã
46,Baú de Tesouro
47,Loja de Conquista
48,Festival de Cerco ao Castelo
49,Loja de Pergaminho
50,Eventos
51,Evento da jornada
52,Evento da web
53,Recompensa de login
54,Braço amigo
55,Cerco ao Castelo
56,Cerco à Fortaleza
57,Reciclar Núcleo
58,Cristal Anímico
59,Trocar
60,Cerco aberto
61,Fenda Temporal
62,정복자의 전당
63,Masmorra de clã
