Key,Value
ACCOUNT_CONFINE,Essa conta foi bloqueada.
ACHIEVEMENT,Conquista
ACHIEVEMENT_CLEAR_ASSETS,Conquista de recurso concluída!
ACHIEVEMENT_CLEAR_BATTLE,Conquista de batalha concluída!
ACHIEVEMENT_CLEAR_DAILY,Conquista diária concluída!
ACHIEVEMENT_CLEAR_GROWTH,Conquista de fortalecimento concluída!
ACHIEVEMENT_CLEAR_ITEM,Conquista de equipamento concluída!
ACHIEVEMENT_CLEAR_MONTHLY,Conquista mensal concluída!
ACHIEVEMENT_CLEAR_SOCIAL,Conquista social concluída!
ACHIEVEMENT_CLEAR_WEEKLY,Conquista semanal concluída!
ACHIEVEMENT_LEVELREWARD_ERROR,Você já coletou a recompensa para essa categoria de conquista.
ACHIEVEMENT_POINT,Pontos de Conquista
ADENA_LOOTED,Adquiriu [Adena] adena.
SIEGE_FESTIVAL_TICKET_LOOTED,Adquiriu [Value] bilhete(s) para o Festival do Cerco.
ADENA_NOT_ENOUGH,Adena insuficiente.
AHIEVEMENT_HEROIC_WAY,Caminho do Herói
APP_VERSION_UNDER_MIN,Versão do aplicativo desatualizada.
APP_VERSION_UNDER_LATEST,"Há uma nova versão disponível.
Atualizar?"
ARMOR_TYPE_HEAVY,Armadura pesada
ARMOR_TYPE_LIGHT,Armadura leve
ARMOR_TYPE_ROBE,Manto
ASSETS_ACQUIRE_FROM_GUILD_GREETING,Cumprimentou [MemberCount] membros do clã e adquiriu <FontYellow>[AssetCount] moedas do clã</>.
ASSETS_ACQUIRE_FROM_RECEIVE_GUILD_GREET,Confirmou [MemberCount] saudações de membros de clã e adquiriu <FontYellow>[AssetCount] adena</>.
ATTENDANCE_NO_MORE_REWARD,Não há recompensas para resgatar.
ATTENDANCE_REWARD_SENT_TO_MAILBOX,As recompensas pelo [Param1] dia estão na caixa de Correio.
AUCTION_COST,Custo
AUCTION_ESTIMATED_TIME,Estará na lista em [Time]
AUCTION_GROUP_ACCESSORY,Acessório
AUCTION_GROUP_ARMOR,Armadura
AUCTION_GROUP_ELIXIR,Materiais para elixir/poção
AUCTION_GROUP_ENCHANT,Materiais de aprimoramento
AUCTION_GROUP_EquipmentCraft,Materiais de Fabricação
AUCTION_GROUP_ETC,Outros
AUCTION_GROUP_MONSTERCORE,Núcleo de Monstro
AUCTION_GROUP_SKILLBOOK,Pág./Perg. Esquec.
AUCTION_GROUP_SOULSTONE,Cristal Anímico
AUCTION_GROUP_USEITEM,Consumíveis
AUCTION_GROUP_WEAPON,Arma
AUCTION_GROUP_PET,Montaria
AUCTION_HOUSE,Entre. Com.
AUCTION_HOUSE_CATEGORY,Categoria
AUCTION_HOUSE_EQ_ITEM_SELL,Colocar [Name] na lista por [Cost] diamantes?
AUCTION_HOUSE_FAVORITE_SELLCANCEL,Cancelar venda
AUCTION_HOUSE_FAVORITE_SELLCOMPLETE,Vendido
AUCTION_HOUSE_FAVORITE_SELLFAILED,Expirou
AUCTION_HOUSE_FAVORITE_SELLING,Listagem em andamento
AUCTION_HOUSE_FAVORITE_WAITING,Aguardando para colocar na lista
AUCTION_HOUSE_GRADE,Grau
AUCTION_HOUSE_GRADE_C,C
AUCTION_HOUSE_GRADE_A,A
AUCTION_HOUSE_GRADE_B,B
AUCTION_HOUSE_GRADE_R,R
AUCTION_HOUSE_GRADE_S,S
AUCTION_HOUSE_GRADE_SR,SR
AUCTION_HOUSE_ITEM_BUY,Comprar [Name] por [Cost] diamantes?
AUCTION_HOUSE_ITEM_FAVORITE,Marcar item como favorito?
AUCTION_HOUSE_ITEM_FAVORITE_CANCEL,Remover item da lista de favoritos?
