Name,TaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
Um fim à tirania,À espera de Lucien,,,,
Um fim à tirania,Siga Lucien,,,,
Um fim à tirania,Derrote os Soldados Legalistas,,,,
Um fim à tirania,Destrua o Portal,,,,
Um fim à tirania,Entre na praça,,,,
Um fim à tirania,Derrote os reforços legalistas,,,,
Um fim à tirania,Aborde a Torre de Controle,,,,
Um fim à tirania,Derrote o Ancião Marlow,,,,
Um fim à tirania,Derrote o Ancião Marlow,,,,
Um fim à tirania,Torre de controle destruída,,,,
Um fim à tirania,Vá para o Portal,,,,
O começo da jornada,Encontre o capitão mercenário,Capitã do Porto,"Aqui é um bom lugar para aventureiros ganharem exp.
<p>Faça alguns serviços para se familiarizar com a área.
<p>Douglas, o capitão mercenário, precisa de ajuda. Vá falar com ele.",,
Prova de habilidade,Caçada ao lobo negro,Capitão mercenário Douglas,"Parece que você tem experiência em aventuras. Ótimo!
<P>Então, tá procurando trabalho, hein? Bom, se quiser pôr a mão na massa, você tá dentro.
<p>Uns lobos estão causando problemas aqui perto. Dê um jeito neles para mim.",,
Um emprego adequado,Caçada aos ursos-vermelhos,Capitão mercenário Douglas,"Você cuidou rápido daqueles lobos! Acho que você vai servir.
<p>Vamos ver como se sai com um trabalho de verdade. Viu algum urso-vermelho perto dos lobos? Parece que os ursos daqui perderam o medo das pessoas.
<p>Preciso que alguém reduza a população de ursos-vermelhos antes que eles comecem a atacar as pessoas. Acha que consegue?",Capitão mercenário Douglas,Temos problemas! Um orc do grupo de invasões está atacando o porto!
Um emprego adequado,Encontre o capitão mercenário,,,,
Um emprego adequado,Emboscada,,,,
Um emprego adequado,Emboscada,,,,
Emergência!,Encontre o capitão da guarda,Capitão mercenário Douglas,"Protegerei os habitantes com meus homens. Você tem que ir até o porto!
<p>Quando encontrar o capitão da guarda lá, diga que fui eu quem te mandou! Se fizer isso, fico te devendo uma!",,
Emboscada,Derrote os lutadores orcs,Capitão da guarda Harold,"Os orcs estão se juntando perto da balsa! Eles surgiram do nada! Como deixamos eles passarem?
<p>Precisamos proteger a balsa de qualquer jeito! Lute com a gente!",,
Emboscada,Derrote a escolta orc,,,,
Emboscada,Encontre o capitão da tropa órquica,,,,
Emboscada,Encontre o capitão da tropa órquica,Capitão da guarda Harold,"Droga! O capitão das tropas sumiu!
<P>Ele deve ter ido para o portão do porto! Vamos depressa!",,
Emboscada,Vá ao portão do porto,,,,
Emboscada,Derrote os orcs fugindo do porto,,,,
Emboscada,Impeça o capitão da tropa e sua escolta,,,,
Preparação para o combate,Aprenda a equipar automaticamente,Capitão da guarda Harold,"Agradeço. Te devemos uma. Não pensei que você se virasse tão bem usando essa armadura velha.
<P>Posso te ajudar com isso. Vou te ensinar a gerenciar rapidamente seus equipamentos usando o <YellowBold>Equipar automaticamente</>.",,
Os arqueólogos perdidos,Fale com Codellia,Capitão da guarda Harold,"Desculpe ficar pedindo favores, mas... Preciso de sua ajuda com uma coisinha.
<p>Parece que alguns arqueólogos desapareceram aqui perto.
<p>Eu poderia investigar, mas é melhor eu estar aqui se os orcs decidirem atacar o porto de novo...
<p>Pode investigar no meu lugar?",Codellia,"Quem? Ah! O capitão da guarda provavelmente enviou você.
<p>Agradeço por vir até aqui."
À procura de pistas,Busca pelo equipamento de escavação,Codellia,"Já devem ter falado para você, mas vários colegas meus estão desaparecidos.
<p>Tentei procurar aqui por conta própria, mas não achei nenhuma pista de que eles saíram da área do dólmen. Eles devem estar por perto...
<p>Acredito que os monstros perto daqui estão por trás disso... 
<p>Talvez você descubra alguma coisa se matar alguns deles.",Codellia,"Você conseguiu esse equipamento dos morcegos? Não deveria ter nenhum morcego aqui!
<p>Hmmm, por que será que os morcegos saíram de seu habitat natural...?"
Os sequestradores misteriosos,Obtenha a chave do sequestrador orc,Codellia,"Não confio nesses orcs que chegaram. Acho que eles estão tramando alguma coisa...
<p>Vá até o acampamento deles, nocauteie alguns e quem sabe eles não desembuchem!",Codellia,"Então foram os orcs! E eles aprisionaram meus colegas?! Ah, você conseguiu a chave!"
O resgate do arqueólogo,Solte o 1º arqueólogo preso,Codellia,"Ótimo, você encontrou a chave! Agora, resgate meus colegas!
<p>Por favor, vá rápido antes que seja tarde!","Ferron, o ferreiro",Agradeço por me libertar! Meu trabalho me trouxe até aqui. Eu não esperava quase morrer por esses orcs malditos!
O resgate do arqueólogo,Solte o 2º arqueólogo preso,,,,
O resgate do arqueólogo,Solte o 3º arqueólogo preso,,,,
O resgate do arqueólogo,"Siga Ferron, o ferreiro",,,,
O resgate do arqueólogo,"Falei com Ferron, o ferreiro",,,,
A vingança do ferreiro,Aprenda a evoluir equipamentos,"Ferron, o ferreiro","Achei que era meu fim! Ha ha!
<P>Deve ter algum jeito de eu te recompensar...
<P>Já sei! Posso te ensinar a aprimorar seus equipamentos.",,
A vingança do ferreiro,Aprenda a evoluir equipamentos,,,,
Chamado de Codellia,Fale com Codellia,"Ferron, o ferreiro","Vou voltar para minha cidade. Até te convidaria para vir junto, mas acho que aquela mulher ali quer falar com você.",,
A queda do véu,Aproxime-se do bruxo sinistro,Codellia,"Agradeço! Muitos dos meus colegas já voltaram.
<p>Enquanto os resgatava, vi mais orcs!
<p>Acho que eles estão planejando em sequestrar mais pessoas!
<p>Vou chamar os guardas. Mas, até lá, preciso da sua ajuda!",,
A queda do véu,Um bruxo sinistro chega,,,,
A queda do véu,Aproxime-se do bruxo sinistro,,,,
A queda do véu,Derrote os monstros evocados,Bruxo Sinistro,"Um intruso! Você não vale meu esforço!
<p>Se não se afastar, vai ter uma morte dolorosa!",,
A queda do véu,Derrote os monstros evocados,,,,
A queda do véu,Derrote os monstros evocados,,,,
A queda do véu,Confronte o bruxo sinistro,,,,
Retirada sinistra,Notifique Codellia,Bruxo Sinistro,"Vejo que te subestimei. Nunca te vi antes, então por que está interferindo em nossas ações?
<p>Recuarei agora, mas aviso que sua coragem patética selará seu destino.",Codellia,"Os guardas estão prestes a terminar o trabalho.
<p>Você salvou meus camaradas e essa escavação! Agradeço!"
Para Feldheim,"Conheça Feldheim, o arqueólogo chefe",Codellia,Quase me esqueci! O Arqueólogo Chefe que você resgatou quer agradecer pessoalmente. Por que não vai falar com ele?,,
A obstrução,Abata os lobisomens,Feldheim,"Foi você quem salvou meus arqueólogos? Agradeço! Já ouviu falar da nossa exploração nas Ruínas Élficas?
<p>Sei que estou abusando, mas poderia me ajudar mais uma vez? Darei uma bela recompensa.
<p>Sua ajuda será essencial para a escavação. 
<p>Não se preocupe, não deve ser uma tarefa difícil para você. Só quero que expulse os lobisomens da área.",,
O poder dos disparos anímicos,Aprenda a usar o Disparo Anímico,Feldheim,"Agradeço! Os arqueólogos agora podem trabalhar tranquilos graças a você. Sobre a recompensa...
<p>Ah, já sei! Você sabe o que é o <YellowBold>Disparo Anímico</>? É um item que permite canalizar o poder dos elementos!",,
O poder dos disparos anímicos,Aprenda a usar o Disparo Anímico,,,,
O poder dos disparos anímicos,Aprenda a usar o Disparo Anímico,Feldheim,"O que acha? Que tal experimentarmos?
<p>Abra aquele barril de carne. Ele atrairá lobisomens nos quais você poderá usar o <YellowBold>Disparo Anímico</>!",,
O poder dos disparos anímicos,Abra o barril de carne,,,,
O poder dos disparos anímicos,Teste o Disparo Anímico,,,,
