Id,Desc
1,Classificação 1
2,Classificação 2
3,Classificação 3
4,Classificação 4
5,Classificação 5
6,Até classificação 10
7,Até classificação 50
8,Até classificação 100
9,Primeiro 1%
10,Primeiros 10%
11,Primeiros 20%
12,Primeiros 50%
13,Primeiros 75%
14,Primeiros 100%
15,50 pts. ou +
16,40 pts. ou +
17,30 pts. ou +
18,15 pts. ou +
19,5 pts. ou +
20,@1
21,@2
22,@3
23,@4
24,@5
25,@6
26,@7
27,@8
28,Class. 1.000 ou +
29,Class. 3.000 ou +
30,Class. 5.000 ou +
31,Class. 10.000 ou +
32,Class. 15.000 ou +
33,Class. 30.000 ou +
