Id,Name,Description
1,Masmorra diária,Consiga o material necessário para se fortalecer todos os dias.
2,Torre da Insolência,Mais e mais alto! Teste seus limites!
3,Masmorra Elite,Derrote monstros poderosos e ganhe barris de experiência!
4,Masmorra de extração,Colha ervas mágicas para fabricar elixires!
5,Guardião do Templo,Proteja os Artefatos Sagrados para ter suprimentos!
6,Masmorra de adena,Roube adena do covil de um dragão avarento!
7,Masmorra de experiência,"Venham até mim, irmãos, se procuram vasta experiência!"
8,Masmorra da Pedra de Evocação,"Abra o selo do Artefato Sagrado e
ganhe Pedras de Evocação!"
9,Masmorra de Pedra de Refino,Destrua o protegido portão dimensional e ganhe recompensas!
10,Vestígio de Varkaron,As lâminas afiadas de Varkaron causarão grande sangramento.
11,Caverna da Formiga Rainha,"A Formiga Rainha, nas profundezas de sua caverna, é a mestra dos venenos."
12,Sala do Núcleo de Cruma,"O Vigia da Torre de Cruma
que contra a mente dos outros."
13,Maliss,"Maliss, a sedutora"
14,Altar da Loucura,"Vá para a
aldeia dos orcs loucos!"
15,Quarto da Condessa de Sangue,"Encontre os soldados de Giran desaparecidos e
a condessa!"
