MissionInfoId,TaskName,TaskDescription
3101,Entre ou crie um Clã,Entre ou crie um Clã {0} vez. ({1}/{2})
3102,Presença no clã,Marque presença no Clã {0} vez(es). ({1}/{2})
3103,Loja,Faça {0} compras na Loja do Clã. ({1}/{2})
3104,Doação de clã,Doe  {0} de Adena ao clã. ({1}/{2})
3105,Saudando o clã,Cumprimente um membro do CLã {0} vez(es). ({1}/{2})
3201,Conquista do clã,Obtenha Recompensa(s) de Conquistas do Clã {0} vez(es). ({1}/{2})
3202,@3102,@3102
3203,@3103,@3103
3204,@3104,Doe {0} Prova(s) de Sangue para o clã. ({1} / {2})
3205,@3105,@3105
3301,@3201,@3201
3302,@3102,@3102
3303,@3103,@3103
3304,@3104,Doe {0}  Pedra(s) Estelar(es) Vermelha(s) ao clã. ({1}/{2})
3305,@3105,@3105
3401,@3201,@3201
3402,@3102,@3102
3403,@3103,@3103
3404,@3104,@3104
3405,@3105,@3105
3501,@3201,@3201
3502,@3102,@3102
3503,@3103,@3103
3504,@3104,@3204
3505,@3105,@3105
3601,@3201,@3201
3602,@3102,@3102
3603,@3103,@3103
3604,@3104,@3304
3605,@3105,@3105
2101,Evoluir equipamento,Tente evoluir o equipamento {0} vez(es) ({1}/{2})
2102,Tentativa de aprimorar,Tente aprimorar equipamento {0} vez(es). ({1}/{2})
2103,Melhorar Cristais Anímicos,Melhore Cristais Anímicos {0} vez(es) ({1}/{2})
2104,Conclua o Templo do Guardião,Conclua o Templo do Guardião {0} vez(es) ({1}/{2})
2105,Retirada de equipamento,Tente retirar equipamento {0} vez(es) ({1}/{2})
2201,@2101,@2101
2202,@2102,@2102
2203,@2103,@2103
2204,@2104,@2104
2205,@2105,@2105
2301,@2101,@2101
2302,@2102,@2102
2303,@2103,@2103
2304,@2104,@2104
2305,@2105,@2105
2401,@2101,@2101
2402,@2102,@2102
2403,Combinar equipamentos,Tente combinar equipamentos {0} vez(es) ({1}/{2})
2404,@2104,@2104
2405,Tente alterar subatributos,Troque os subatributos de equipamento {0} vez(es) ({1}/{2})
2501,@2101,@2101
2502,@2102,@2102
2503,@2403,@2403
2504,@2104,@2104
2505,@2405,@2405
2601,@2101,@2101
2602,@2102,@2102
2603,@2403,@2403
2604,@2104,@2104
2605,@2405,@2405
