Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,Ruínas Élficas 1,,,"Um lugar repleto de energia mágica. Aqui é a academia onde o elfos ensinaram magia aos humanos, que construíram suas fundações e se tornaram os governantes."
201,Ruínas Élficas 2,,,"Quando os elfos comandavam o continente, este andar só era aberto para os humanos com talento excepcional."
202,Formigueiro 1,,,"Uma caverna cheia de formigas gigantes que se adaptaram e sobreviveram ao Deserto, criado pela gigantesca explosão de magia negra."
203,Formigueiro 2,,,As formigas criaram um labirinto complicadíssimo para proteger seus bens precioso. Só as formigas conseguem andar nele.
204,Torre de Cruma 2,,,Uma instalação científica e fortaleza ambulante usada pelos antigos gigantes para seus experimentos biológicos.
205,Torre de Cruma 3,,,"Permanecendo fiel à função original da torre, este andar tem muitos laboratórios de pesquisa biológica. Ela é cheia de energia mágica dos gigantes."
206,Torre de Marfim 1,,,"Formada quando o meteorito Nebulita caiu na terra. Era um laboratório com biblioteca, mas foi fechado depois do Incidente dos Bruxos furiosos."
207,Torre de Marfim 2,,,"Havia um laboratório de alquimia aqui, mas agora está coberto de fungos duros como pedra que cresceram do chão."
208,Complete Torre de Marfim 3,,,"Onde Nebulita, o meteorito, se encontra. Os monstros, fortalecidos pelo efeito da Nebulita, correm soltos."
209,Laboratório da Catacumba da Torre de Marfim,,,Esse é tanto o laboratório de um bruxo louco por Nebulita da Torre de Marfim quanto o lugar onde ele foi selado. Muitos súditos vagam por aqui.
210,Cobertura da Floresta dos Segredos,,,Era aqui que as fadas moravam. Os monstros tomaram esta área depois que as fadas emigraram fugindo das batalhas.
211,Sub-bosque da Floresta dos Segredos,,,"A Floresta dos Segredos cresceu muito, impedindo a luz do sol de entrar, e foi profanada pelos monstros."
212,Matadouro da Floresta dos Segredos,,,O local do descanso final das fadas que resistiram à Maldição Feérica. Paira uma névoa lúgubre e vermelho sangue eterna.
4000,Jardim da Escama Iridescente (Boneco),,,
9000,Masmorra de experiência I,Pedra de melhoria,Use para obter 1 Retirada de Pedra de melhoria.,Há muitas Pedras de Evocação Malignas inst. pela Irman. Sombria que ainda estão por serem descobertas. Você deve entrar no Mundo ext. e derrotar os monstros para removê-las.
9001,Masmorra de Experiência II,@9000,Use para obter 2 Retiradas de Pedra de melhoria.,@9000
9002,Masmorra de Experiência III,@9000,Use para obter 3 Retiradas de Pedra de melhoria.,@9000
9003,Masmorra de Experiência IV,@9000,Use para obter 5 Retiradas de Pedra de melhoria.,@9000
9100,Masmorra de exp. V,@9000,@9003,@9000
9004,Masmorra de Adena I,@9000,@9000,"Shunaiman, o Imp. de Elmoreden, usou este lugar para construir a Torre da Insolência. Agora Kresous, o dragão do ouro, a ocupa."
9005,Masmorra de Adena II,@9000,@9001,@9004
9006,Masmorra de Adena III,@9000,@9002,@9004
