Id,LeagueName
400,Não posicionado
401,{LeagueStep} Bronze
402,@401
403,@401
404,Prata {LeagueStep}
405,@404
406,@404
407,Ouro {LeagueStep}
408,@407
409,@407
410,{LeagueStep} Platina
411,@410
412,@410
413,{LeagueStep} Diamante
414,@413
415,@413
416,Mestre
417, Grão-mestre
418,Lenda
500,@400
501,@401
502,@401
503,@401
504,@404
505,@404
506,@404
507,@407
508,@407
509,@407
510,@410
511,@410
512,@410
513,@413
514,@413
515,@413
516,{LeagueStep} Mestre
517,@516
518,@516
519,{LeagueStep} Grão-mestre
520,@519
521,@519
522,@418
