ID,SkillName,SkillDesc
1,Alvo identificado,"Seleciona um <YellowBold>alvo</> dentre os jogadores
próximos. Como sua habilidade é muito
rápida, não pode ser desviada se estiver
dentro do alcance.

O alvo será <YellowBold>atordoado</> e
não conseguirá se mover."
2,Arremesso de machado,"Arremessa um machado no alvo e causa <YellowBold>dano </>
<YellowBold>fixo. O dano causado será distribuído</>
por todos os alvos atingidos pelo machado.
Os alvos atingidos pelo machado serão
afetados por <YellowBold>Brasas</>.

As <YellowBold>brasas</> explodirão após um tempo
e causarão <YellowBold>Derrubada</> nos alvos afetados.
Aparecerão <YellowBold>Chamas</> embaixo dos alvos
que causarão dano extra."
3,Ruptura,"Causa dano a todos os alvos
em um <YellowBold>alcance frontal</>."
4,Lâmina lunática,"Causa dano em forma de leque a todos os
alvos frontais.
A <YellowBold>Ignição</> afetará todos os alvos atacados.

Os alvos afetados por <YellowBold>Ignição</> receberão 
<YellowBold>dano adicional a cada 1 Ignição acumulada</>
quando a <RedBold>Brasa de Paagrio</> <YellowBold>explodir</>.
A Ignição acumula-se até 5 vezes."
5,Perdição,"<RedBold>Ramog</> move-se para o centro
e causa DA por <YellowBold>270 graus à sua volta</>.
Quando usada, esta habilidade
<YellowBold>ativa-se 4 vezes consecutivamente</>.
Cada vez que é ativada, a direção muda.
Perdição causa <YellowBold>Ignição</> aos alvos afetados.

Os alvos afetados por <YellowBold>Ignição</>
receberão <YellowBold>dano adicional a cada 1 Ignição</>
<YellowBold>acumulada</> quando a <RedBold>Brasa de Paagrio</> <YellowBold>explodir</>.
A Ignição acumula-se até 5 vezes."
6,Preparar explosão,"<RedBold>Ramog</> move-se para o centro
e evoca <RedBold>Brasa de Paagrio</>.

A <RedBold>Brasa de Paagrio</> move-se em direção a
<RedBold>Ramog</>  e explode assim que entra em
contato com <RedBold>Ramog</>,
causando dano devastador em tudo que
estiver na tela.

Os alvos afetados por <YellowBold>Ignição</>
<YellowBold>sofrerão dano proporcional à Ignição</>
<YellowBold>acumulada aplicada a eles.</>"
7,@1,@1
8,@2,@2
9,@3,@3
10,@4,@4
11,@5,@5
12,@6,@6
13,@1,@1
14,@2,"Arremessa um machado no alvo e causa <YellowBold>dano fixo</>.
<YellowBold>O dano causado será distribuído</>
por todos os alvos atingidos pelo machado.
Os alvos atingidos pelo machado serão afetados por <YellowBold>Brasas</>.

As <YellowBold>brasas</> explodirão após um tempo
e causarão <YellowBold>Derrubada</> nos alvos afetados.
Aparecerão <YellowBold>Chamas</> embaixo dos alvos
que causarão dano extra.

<YellowBold>- Há uma pequena chance</>
de ele arremessar o machado <YellowBold>2 vezes consecutivas</>."
15,@3,@3
16,@4,@4
17,@5,"<RedBold>Ramog</> move-se para o centro
e causa DA por <YellowBold>270 graus à sua volta</>.
Quando usada, esta habilidade <YellowBold>ativa-se 4 vezes consecutivamente</>.
Cada vez que é ativada, a direção muda.
Perdição causa <YellowBold>Ignição</> aos alvos afetados.

Os alvos afetados por <YellowBold>Ignição</>
receberão <YellowBold>dano adicional a cada 1 Ignição acumulada</>
quando a <RedBold>Brasa de Paagrio</> <YellowBold>explodir</>.
A Ignição acumula-se até 5 vezes.

<YellowBold>- Dependendo da vida de Ramog</>,
<YellowBold>seu ataque será em vários ângulos.</>"
18,@6,"<RedBold>Ramog</> move-se para o centro
e evoca <RedBold>Brasa de Paagrio</>.

A <RedBold>Brasa de Paagrio</> move-se em direção a <RedBold>Ramog</> 
e explode assim que entra em contato com <RedBold>ele</>,
causando dano devastador em tudo que estiver na tela.

Além disso, os alvos afetados por <YellowBold>Ignição</>
<YellowBold>sofrerão dano proporcional à Ignição acumulada aplicada a eles.</>

<YellowBold>Evoca-se 2 Brasas de Paagrio.</>"
19,@1,@1
20,@2,@14
21,@3,@3
22,@4,@4
23,@5,@17
24,@6,@18
25,Ferida de perfuração,"Rasga a carne do inimigo com a
espada e <YellowBold>diminui sua defesa</>.
Acumula-se até 3 vezes."
