Id,TitleName
1001,Governante de Gludio
1002,Governante de Dion
1003,Governante de Giran
1004,Governante de Oren
2001,Mestre da Estrada de Gludin
2002,Mestre da Planície de Gludio
2003,Mestre da Mansão Windawood
2004,Mestre do Deserto
2005,Mestre da Planície de Dion
2006,Mestre do Pantanal de Cruma
2007,Mestre do Pico da Dissonância
2008,Mestre dos Sacrários Uivantes
2009,Mestre do Domínio de Giran
2010,Mestre das Praias da Névoa Mortal
2011,Mestre da Ilha do Demônio
2012,Mestre da Necrópole Assombrada
2013,Mestre do Vale do Dragão
2014,Mestre do Platô do Vento Norte
2015,Mestre das Terras Eternas
2016,Mestre da Torre de Marfim
2017,Mestre das Ruínas de Dolmen
2018,Mestre as Terras Esparsas
2019,Mestre do Obelisco da Vitória
2020,Mestre do Acampamento fortificado
2021,Mestre do Bosque Sussurrante
2022,Mestre da Floresta amaldiçoada
2023,Mestre do Posto de observação Oeste
2024,Mestre das Ruínas Élficas
