Name,AlarmDesc
Em breve,
Evento,E. Lim. Dis.
Em breve,
Fortalecimento I,Confira os itens à venda.
Em breve,
Conjunto de Montaria,E. Lim. Dis.
Em breve,
Fortalecimento II,Confira os itens à venda.
Recomendado,
Caixas de evocação,
Consumíveis,
Pergaminho,
Diamantes,
Adena,
Pontos de amizade,
Topázio,
Pontos de lealdade,
Diamante de Fortalecimento I,
Diamante de Fortalecimento II,
Diamante de Fortalecimento III,
História I,
História II,
Diamantes I,
Diamante de login,
Adena I,
Adena II,
Comemoração de Atualização,
Aventureiro,
Equipamento,
Personagem,
Clã,
Montaria,
Souvenir,
