Id,GipText
1,No total há <FontBlue>6 graus de equipamento</>.
2,Você pode abrir <FontBlue>1 caixa de evocação de equipamento normal 3 vezes por dia gratuitamente.</>
3,Toque na função <FontBlue>Missão automática</> para <FontBlue>caçar monstros automaticamente</>.
4,Toque no mapa-múndi para <FontBlue>mover-se</> para o <FontBlue>local desejado</>.
5,Toque num <FontBlue>PNJ ou monstro</> no mapa-múndi para ir ao local desejado.
6,Você pode ajustar a <FontBlue>frequência de uso de poções</> em <FontBlue>Configurações > Batalha</>.
7,<FontBlue>Personalize suas habilidades</> baseando-se na <FontBlue>arma</>.
8,A quantidade de <FontBlue>espaços para habilidade</> aumenta <FontBlue>até 5</> quando se aprende uma <FontBlue>habilidade rara</>.
9,"Ao <FontBlue>combinar</> equipamentos, todos os <FontBlue>tipos e classes</> são <FontBlue>herdados</>."
10,A missão de <FontBlue>transferência</> de classe ficará disponível quando você chegar ao <FontBlue>nível 31</>.
11,<FontBlue>Aumente drasticamente os atributos </> com <FontBlue>marcações de runa</>.
12,Você pode <FontBlue>marcar runas</> com base na <FontBlue>ordem da página de runas</>.
13,"Se as <FontBlue>runas próximas</> forem melhoradas para o <FontBlue>mesmo nível</>, você pode aumentar o <FontBlue>nível das runas centrais</>."
14,Você pode obter atributos bônus com base no <FontBlue>nível total dos personagens</>.
15,Só é possível equipar <FontBlue>cristais anímicos</> em <FontBlue>espaços da mesma cor</>.
16,É possível expandir o <FontBlue>equipamento de espaço</> de acordo com o <FontBlue>grau do item</>
17,Use o <FontBlue>Códice de Monstros</> para aumentar vários <FontBlue>níveis de habilidade de personagem</>.
18,Você pode entrar em <FontBlue>1 masmorra diária grátis</> <FontBlue>todos os dias</>.
19,Aumente seu <FontBlue>grau de honra</> na <FontBlue>arena</> para obter <FontBlue>atributos extras</>.
20,Receba <FontBlue>pontos de honra diários</> e <FontBlue>recompensas de classificação</> na <FontBlue>Arena</>.
21,Apanhe um <FontBlue>ratel robusto</> que aparece no <FontBlue>Poço de Extração</> para receber uma <FontBlue>bênção</> e aumentar sua <FontBlue>velocidade de extração</>.
22,Apanhe uma <FontBlue>mandrágora</> na Masmorra de Extração para conseguir <FontBlue>essências de elixir</>.
23,<FontBlue>Use os elixires</> feitos de ervas e essências para <FontBlue>aumentar permanentemente</> seus <FontBlue>atributos</>.
24,<FontBlue>Suba</> a Torre da Insolência para conseguir mais <FontBlue>fragmentos de runa</>.
25,Receba uma <FontBlue>recompensa especial</> a cada <FontBlue>5 pisos</> da <FontBlue>Torre da Insolência</>.
26,<FontBlue>Entre</> na Torre da Insolência gratuitamente <FontBlue>3 vezes ao dia</>.
27,"Durante o <FontBlue>tempo de bônus</> da Masmorra Elite, você ganha <FontBlue>Exp. e uma taxa aumentada de caída de itens</>."
28,As Masmorras Elite são <FontBlue>áreas que recebem penalidades de PK</>.
29,Conquiste fortalezas nos Cercos à Fortaleza para receber recompensas.
31,Cace chefes de campo para conseguir recompensas especiais.
35,Somente <FontBlue>clãs de nv. 4</> ou mais podem participar dos <FontBlue>Cercos à Fortaleza</>.
41,É possível adquirir <FontBlue>[Forgotten Scrolls]</> e <FontBlue>[High-grade Equipment]</> como recompensas de <FontBlue>caçadas de chefes de campo</>.
42,Clãs <FontBlue>vitoriosos dos Cercos à Fortaleza</> ganham <FontBlue>grandes bônus quando caçam na região</>.
44,@29
45,@35
51,É preciso <FontBlue>formar um grupo</> para entrar no <FontBlue>Guardião do Templo</>.
52,Conclua o Guardião do Templo com <FontBlue>níveis mais altos</> para <FontBlue>adquirir equipamentos melhores</>.
53,<FontBlue>Proteja o artefato sagrado</> dos inimigos que chegarem.
54,<FontBlue>Ataque o dragão</> na masmorra e <FontBlue>adquira adena</>.
55,Derrote o <FontBlue>Baú de Tesouro de Adena</> para receber <FontBlue>adena adicional</>.
56,<FontBlue>Derrote mais</> monstros para adquirir <FontBlue>mais Exp bônus</>.
57,Adquira os bônus nas masmorras para ficar mais forte.
58,É possível entrar em <FontBlue>qualquer Sede do Clã</> — não somente a sua!
59,<FontBlue>Fortaleça o Cristal da União</> para produzir <FontBlue>vários efeitos bônus</> nos membros do seu clã.
60,O <FontBlue>valor caótico</> não aumenta dentro da Arena de Lutas.
61,"Para participar do PK da Arena de Lutas, ajuste as <FontBlue>configurações do modo PK.</>"
62,Derrote um jogador com o <FontBlue>bônus de santuário</> da Arena de Lutas para roubar o bônus.
1003,Entre para um clã e conquiste Fortalezas e Castelos para ganhar benefícios especiais!
1009,Vivencie <FontBlue>histórias emocionantes</> e <FontBlue>missões dinâmicas</> no <FontBlue>mundo imersivo</> de Lineage 2: Revolution.
1011,Divirta-se nas <FontBlue>batalhas em tempo real</> de Lineage 2: Revolution e seu vasto <FontBlue>mundo aberto</>.
1014,Você pode atacar outros jogadores nas áreas onde o JxJ seja permitido.
1015,Forme <FontBlue>grupos</> para desafiar <FontBlue>poderosos inimigos</>.
1019,<FontBlue>Masmorras incríveis</> estão à sua espera.
1023,Entre para um <FontBlue>clã</> para aproveitar <FontBlue>vários recursos</> e benefícios</>.
1024,Forme <FontBlue>alianças</> com outros clãs para aumentar ainda mais o seu poder.
1025,Conquista castelos em <FontBlue>Cercos ao Castelo em larga escala</> para <FontBlue>aumentar ainda mais o poder do seu clã</>.
1026,Conquiste territórios nos <FontBlue>Cercos à Fortaleza</> para receber <FontBlue>recompensas</> incríveis e <FontBlue>honra</>.
72,Lute sozinho ou em grupo no <FontBlue>Cerco Aberto</>. 
73,"No Cerco Aberto, <FontBlue>qualquer personagem ou classe pode ser selecionado</> e todos os personagens lutarão com <FontBlue>atributos iguais</>."
74,Explore <FontBlue>o imenso mundo aberto</> com sua <FontBlue>montaria</>!
75,Obtenha <FontBlue>materiais de fortalecimento</> para a <FontBlue>montaria</> do <FontBlue>círculo de evocação</>!
76,"Proteja seu grau de aprimoramento com o <FontBlue>sistema de proteção ao aprimoramento</>!
Atinja +7 / +10 / +20 grau de aprimoramento para evitar cair abaixo desses graus."
77,"Use as <FontBlue>configurações de baralho de batalha</> para <FontBlue>alternar facilmente</>
entre habilidades e equipamentos conforme a situação."
78,<FontBlue>O aprimoramento de atributo</> lhe confere ainda mais <FontBlue>poderes especiais</>.
79,Participe de uma ampla variedade de <FontBlue>conteúdo</> que a <FontBlue>Sede do Clã</> tem a oferecer!
80,Há uma rara chance de obter <FontBlue>equipamentos raros</> ao <FontBlue>combinar</> equipamentos!
81,A <FontBlue>Caixa de Equipamento de Alto Grau</> tem uma pequena chance de conter um <FontBlue>equipamento raro</>.
