Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,Capitã do Porto,"Boas-vindas. É a sua primeira vez na Ilha Falante? Se pressionar aqui, a missão avançará automaticamente."
4001,,
4002,Capitão mercenário Douglas,A missão automática para depois de cumprida. Toque para ver a próxima missão.
6001,@4002,Ok. Você nasceu para isso. Vamos fazer outra missão.
11001,Capitão da guarda Harold,Todos os seus itens estão no seu Inventário.
11002,,
11003,@11001,Equipar autom. é um jeito rápido e fácil de colocar seu melhor equipamento.
11004,,
11005,@11001,Isso é muito bom para aventureiros novos como você — faça bom proveito.
11006,,
12001,Feldheim,<YellowBold>Disparos Anímicos</> são ataques mais fortes.
12002,@12001,Você deve começar a usar Disparos Anímicos automaticamente!
12003,@12001,Disparos Anímicos só são usados <YellowBold>quando você ataca</>.
12004,@12001,Eles ficam com você sempre.
12005,@12001,Quer usá-los automaticamente? Só tocar de novo.
12006,@12001,<YellowBold>Os Disparos Anímicos estão disponíveis na Loja</> — tenha sempre em estoque!
12007,,
13001,Niah,Vamos aprender sobre Masmorras diárias.
13002,@13001,A entrada está no menu Masmorras.
13003,@13001,Toque aqui.
13004,@13001,Vê todas essas masmorras?
13005,@13001,"Se você continuar a treinar, poderá pegá-las em breve!"
13006,@13001,Por enquanto vamos ver a Masmorra diária.
13007,@13001,<YellowBold>Vários monstros aparecem todos os dias</> <YellowBold>nas Masmorras diárias</>.
13008,@13001,Derrote-os para conseguir <YellowBold>recompensas especiais</>!
13009,@13001,"Os monstros mais fortes deixam cair melhores recompensas, então treine para se fortalecer também."
13010,@13001,"Entre, vamos!"
13011,,
13012,,
13013,,
13014,@13001,A Batalha automática está disponível se precisar de ajuda.
13015,,
13016,,
13017,,
13018,@13001,Puxa! Que monstrão esse que você derrotou!
13019,,
13020,@13001,"Você só pode entrar uma vez por dia, mas não se preocupe! A contagem <YellowBold>recomeça todos os dias</>."
13021,,
13022,,
13023,@13001,"Se você fracassar, <YellowBold>não contará como uma entrada</>, então não tema em se desafiar!"
13024,@13001,Um esforço bem gasto. Mais sorte da próxima vez!
13025,,
14001,Arconte Daniel,Hora de ver suas conquistas e resgatar recompensas.
14002,@14001,O primeiro passo é entrar em Desafios.
14003,@14001,Isso levará você às Conquistas.
14004,@14001,Conheça suas <YellowBold>conquistas</> e receba <YellowBold>recompensas</> por elas.
14005,@14001,Vê-se que você tem praticado muito. Você já tem algumas <YellowBold>conquistas</>.
14006,@14001,Resgate sua recompensa.
14007,,
14008,@14001,Muito bem. Você ganhará <YellowBold>títulos e habilidades</> baseados nos seus méritos.
14009,@14001,Então atualize-se sempre.
14010,@14001,Continue treinando e seus esforços serão recompensados.
14011,@14001,"Quanto mais o nível de conquista, mais fortes as suas habilidades - e você receberá itens como recompensa diária."
14012,@14001,Atente para <YellowBold>os vários tipos de conquistas</> a concluir e não ignore nenhum deles.
14013,,
15001,Comerciante Anais,A Loja está cheia de itens valiosos.
15002,@15001,@13003
15003,@15001,Como este aqui. Lembre-se de como é - será bom para o futuro!
15004,@15001,O que você está esperando? Abra!
15005,,
15006,@15001,Puxa! Que equipamento fantástico!
15007,@15001,Você sabe como fortalecer um equipamento? Você <YellowBold>aumenta seu nível</>!
15008,@15001,"Você ganha <YellowBold>uma Caixa diária de Equipamento de alto grau</>, então lembre-se de sempre vir aqui!"
15009,,
16001,"Ferron, o ferreiro","Se você quer <YellowBold>aumentar o nível</> do seu equipamento, veio à pessoa certa. Eu sou o melhor ferreiro da Ilha Falante!"
