AchievementLevel,Name
0,Aspirante a aventureiro
1,Aventureiro novato
2,Aventureiro comum
3,Aventureiro aplicado
4,Aventureiro determinado
5,Aventureiro forte
6,Mercenário comum
7,Mercenário robusto
8,Mercenário corajoso
9,Mercenário persistente
10,Mercenário ousado
11,Soldado orgulhoso
12,Soldado corajoso
13,Soldados de elite corpulento
14,Lutador resiliente
15,Guerreiro habilidoso
16,Lutador perspicaz
17,Lutador feroz
18,Lutador corpulento
19,Cavaleiro calmo
20,Cavaleiro determinado
21,Cavaleiro honorável
22,Barão sábio
23,Barão inteligente
24,Barão altivo
25,Barão ousado
26,Barão rude
27,Barão imprudente
28,Marquês silencioso
29,Marquês poderoso
30,Marquês nobre
31,Rastreador impiedosos
32,Vigia perspicaz
33,Desafiador honorável
34,Vitorioso resplandecente
35,Comandante tempestade
36,Senhor comprovado
37,Salvador de Aden
38,Destruidor explosivo
39,Açougueiro da morte
40,Guardião sincero
41,Finalizador poderoso
42,Conquistador glorioso
43,Salvador indomável
44,Juiz justo
45,Destruidor devastador
46,Comandante do continente
47,Especialista extremo
48,Imortal cruel
49,Quebrador de limite lendário
50,Deus do campo de batalha
