Id,Name,EffectTypeName,Desc
1001,Derrubada comum,Derrubada,
1002,@1001,@1001,Último ataque básico
1003,@1001,@1001,
1004,Invencibilidade comum,Invencível,Não há dano sofrido.
1005,Bônus de proteção de reviver,@1004,"Não há dano sofrido. Ao atacar um inimigo, você desfaz o bônus de invencibilidade."
1011,Atordoamento comum,Atordoamento,Atordoamento
10111,Impacto de impulso: Derrubada,@1001,
10122,Impulso de Poder: Lentidão,Lentidão,Velocidade -{1%}%
11211,Batida,Aumento do ganho de agressividade,Ganho de agressividade +50%
112124,Vingança,Alvo travado (PJ),Forçado a atacar
112125,@112124,Redução do atq.,Atq. -{1}
112126,@112124,Alvo travado (PNJ),
11213,Majestade,"Majestade: Ampliação do nível de ameaça, ampliação def. f./def. m., redução da evasão","Def. +{2%}%, agressividade de todos os ataques +{1%}%, reflexo de dano: {1%}%"
11221,Julgamento,Redução de defesa,
11222,Tempestade retumbante,Atordoar,@1011
112231,Ampla varredura,"Multigolpes: Amplificação dos golpes simultâneos, aumento da vel. de atq.","Inimigos atacam de uma vez +{1}, vel. de atq. +{2%}%"
11231,Nuvem de areia,Cegueira,Taxa de precisão -{1%}%
11232,Passo para trás: Atordoamento,@11222,@1011
112331,Pressa,Pressa: amplificação da vel. atq.,Vel. Atq. +{1%}%
112332,@112331,Pressa: Amplificação da evasão,Evasão +{1%}%
11242,Chuva de flechas,Redução do atq. f.,Redução do atq.
11243,Narceja,"Narceja: Alcance do ataque, atq., aumento da precisão, imobilidade",Atq.: {2%}%. Prc. +{3}. Aumenta o alcance de ataque. Reduz a velocidade.
11244,Olho de Águia,"Olho de Águia: Aumento crítico, redução da def.",Crít. Taxa +{1} e dano +{2%}%
11251,Tigela derretida,Dano ao longo do tempo,Dano ao longo do tempo
112531,Ampliar Mana,Ampliar Mana: Amplificação do PM máx.,"Uso de PM +{1%}%, dano de habilidade +{2%}%"
11261,Punição Divina: Atordoamento,@1001,
11262,Restauração,CaLT,Cura ao longo do tempo
12211,Tribunal,Alvo travado,Ganho de agressividade +30%
12212,Graça de Eva,Redução da vel. de atq.,Reduz em 50% a regen. PV
122131,Estância da Égide,Estância da Égide: Imunidade a dano temporário,Imunidade a dano
122132,@122131,Estância da Égide: Aumento da velocidade,Velocidade +{1%}%
12221,Disparo sônico,Disparo sônico: Redução da velocidade,Velocidade +{1%}%
122231,Ritmo de combate,"Ritmo de Combate: Aumento de atq., def.","Atq. membros do grupo +{1}, def. +{3}"
122241,Canção do caçador,Canção do caçador: Taxa de crít. do grupo,Taxa de crít. dos membros do grupo +{1%}%
12231,Espinho triplo,Redução de velocidade,"Def. -{1%}%, vel. de atq. -{3%}% e velocidade -{4%}%."
12232,Furacão de lâminas,@1011,@1011
12233,Caminho das Planícies,"Caminho das Planícies: Vel. atq., amplificação de velocidade, taxa de absorção de pv",Atq. Vel: {1%}%. Velocidade +{2%}% Taxa de dreno de PV: {3%}%
12241,Disparo letal,Aumento de taxa de crít.,
12242,Disparo amplo duplo,Disparo Amplo Duplo: Redução de def.,Def. f. -{1%}%
122431,Terceira visão,Terceira visão: Aumento de taxa de crít. grande,Taxa de crít. +{1}
122441,Passo apertado,"Passo apertado: Aumento da velocidade grande, aumento da vel. de atq. pequeno","Velocidade +{1%}%, vel. de atq. +{2%}%"
12251,Lança de Gelo: Congelamento,@11222,
12252,Nevasca,@10122,@10122
122521,@12252,@1011,@1011
