Id,ItemName,Desc1,Desc2
4,Caixa de Seleção de Essências de Elixir,Use para selecionar e adquirir uma essência de elixir.,Disponível para compra ao chegar ao Nível do clã {RequiredGuildLevel}.
5,Cx. de Sel. de Concl. Automátic.,Use para selecionar e adquirir 1 bilhete de conclusão automática.,Disponível para compra ao chegar ao Nível do clã {RequiredGuildLevel}.
10,Caixa de Fragmento de Pedra de Evocação,Use para conseguir fragmentos de Pedra de Evocação de várias montarias aleatórias.,Disponível para compra ao chegar ao Nível do clã {RequiredGuildLevel}.
11,Caixa de Pergaminho de Aprimoramento,Use para conseguir um pergaminho de aprimoramento aleatório.,Disponível para compra ao chegar ao Nível do clã {RequiredGuildLevel}.
12,Caixa de Pedra de Melhoria,Use para conseguir uma pedra de melhoria aleatória.,Disponível para compra ao chegar ao Nível do clã {RequiredGuildLevel}.
26,Exp.,Use para conseguir Exp.,Disponível para compra ao chegar ao Nível do clã {RequiredGuildLevel}.
27,Exp. superior,Use para conseguir uma grande quantidade de Exp.,Disponível para compra ao chegar ao Nível do clã {RequiredGuildLevel}.
30,Pergaminho de Fuga,Use para se teletransportar.,Disponível para compra ao chegar ao Nível do clã {RequiredGuildLevel}.
31,5 Proteções de Maphr,Combine fragmentos para ganhar a Proteção de Maphr.,Disponível para compra ao chegar ao Nível do clã {RequiredGuildLevel}.
30000103,1 Caixa de Equipamento do Clã,Use para conseguir um equipamento aleatório A - SR.,
30000104,10 Caixas de Equip. do Clã (+1 bônus),Use para conseguir um equipamento aleatório A - SR.,
30000105,1 Caixa de pergaminho de aprimoramento do clã,@11,
30000106,10 caixas de sup. de clã (+1 de bônus),Use para restaurar pequena quantidade do PV.,
30000107,200 Poções de PM,Use para restaurar pequena quantidade do PM.,
30000108,5.000 Disparos Anímicos,Use para imbuir uma arma com poder misterioso que aumenta o dano.,
30000109,1 caixa de fortalec. de montaria,"Use para ganhar um dos itens seguintes: equipamento de montaria (A - SR), Caixa de Pedra de Avanço (Pequena - Grande) ou fragmento de pedra de evocação de montaria (Urso-Negro, Santo de Prata, Kukurin e Leão com Juba).",
30000110,10 caixas de fort. mont. (+1 bônus),@30000109,
