Id,EquipEffectDescription,EquipEffectBuffName,EquipEffectBuffDescription
7000101,Não há nenhum bônus por equipar uma capa de clã.,,
7000201,@7000101,,
7000301,@7000101,,
7100101,"Ganhe <Fontblue>{ViewEffectParam1}</> de bônus de experiência
ao derrotar monstros e em extrações.

(Aplica-se a: Campos/Poço de Extração)",Efeito da Capa do Aventureiro,Ganhe <Fontblue>{ViewEffectParam1}</> de bônus de experiência ao derrotar monstros e em extrações.
7100102,@7100101,@7100101,@7100101
7100103,@7100101,@7100101,@7100101
7100104,@7100101,@7100101,@7100101
7100105,@7100101,@7100101,@7100101
7100106,@7100101,@7100101,@7100101
7100107,@7100101,@7100101,@7100101
7100108,@7100101,@7100101,@7100101
7100109,@7100101,@7100101,@7100101
7100110,@7100101,@7100101,@7100101
7100111,@7100101,@7100101,@7100101
7100112,@7100101,@7100101,@7100101
7100113,@7100101,@7100101,@7100101
7100114,@7100101,@7100101,@7100101
7100115,@7100101,@7100101,@7100101
7100116,@7100101,@7100101,@7100101
7100117,@7100101,@7100101,@7100101
7100118,@7100101,@7100101,@7100101
7100119,@7100101,@7100101,@7100101
7100120,@7100101,@7100101,@7100101
7100121,@7100101,@7100101,@7100101
7100122,@7100101,@7100101,@7100101
7100123,@7100101,@7100101,@7100101
7100124,@7100101,@7100101,@7100101
7100125,@7100101,@7100101,@7100101
7100126,@7100101,@7100101,@7100101
7100127,@7100101,@7100101,@7100101
7100128,@7100101,@7100101,@7100101
7100129,@7100101,@7100101,@7100101
7100130,@7100101,@7100101,@7100101
7100201,"<Fontblue>{ViewEffectParam1}</> de chance de adquirir
uma <Fontblue>Sucata de Sangue</> bônus ao derrotar o Mal de Sangue.
É possível adquirir até 2.000 por dia.

(Não se aplica a monstros com menos de 7 níveis e a taxa pode alterar de acordo com o dano causado.)
(Aplica-se a: Masmorras Elite)",Efeito da Capa do Patrulheiro Sangrento,<Fontblue>{ViewEffectParam1}</> de chance de adquirir <Fontblue>uma Sucata de Sangue</> bônus ao derrotar o Mal de Sangue.
7100202,@7100201,@7100201,@7100201
7100203,@7100201,@7100201,@7100201
7100204,@7100201,@7100201,@7100201
7100205,@7100201,@7100201,@7100201
7100206,@7100201,@7100201,@7100201
7100207,@7100201,@7100201,@7100201
7100208,@7100201,@7100201,@7100201
7100209,@7100201,@7100201,@7100201
7100210,@7100201,@7100201,@7100201
7100211,@7100201,@7100201,@7100201
7100212,@7100201,@7100201,@7100201
7100213,@7100201,@7100201,@7100201
7100214,@7100201,@7100201,@7100201
7100215,@7100201,@7100201,@7100201
7100216,@7100201,@7100201,@7100201
7100217,@7100201,@7100201,@7100201
7100218,@7100201,@7100201,@7100201
7100219,@7100201,@7100201,@7100201
7100220,@7100201,@7100201,@7100201
7100221,@7100201,@7100201,@7100201
7100222,@7100201,@7100201,@7100201
7100223,@7100201,@7100201,@7100201
7100224,@7100201,@7100201,@7100201
7100225,@7100201,@7100201,@7100201
7100226,@7100201,@7100201,@7100201
7100227,@7100201,@7100201,@7100201
7100228,@7100201,@7100201,@7100201
7100229,@7100201,@7100201,@7100201
7100230,@7100201,@7100201,@7100201
7100301,"<Fontblue>{ViewEffectParam1}</> de chance de adquirir
um <Fontblue>Presente do Jardim</> bônus na extração.

(Aplica-se a: Poço de Extração)",Efeito da Capa do Jardim,<Fontblue>{ViewEffectParam1}</> de chance de adquirir um <Fontblue>Presente do Jardim</> bônus na extração.
7100302,@7100301,@7100301,@7100301
7100303,@7100301,@7100301,@7100301
7100304,@7100301,@7100301,@7100301
7100305,@7100301,@7100301,@7100301
7100306,@7100301,@7100301,@7100301
7100307,@7100301,@7100301,@7100301
7100308,@7100301,@7100301,@7100301
7100309,@7100301,@7100301,@7100301
7100310,@7100301,@7100301,@7100301
7100311,@7100301,@7100301,@7100301
7100312,@7100301,@7100301,@7100301
7100313,@7100301,@7100301,@7100301
7100314,@7100301,@7100301,@7100301
7100315,@7100301,@7100301,@7100301
7100316,@7100301,@7100301,@7100301
7100317,@7100301,@7100301,@7100301
7100318,@7100301,@7100301,@7100301
7100319,@7100301,@7100301,@7100301
7100320,@7100301,@7100301,@7100301
7100321,@7100301,@7100301,@7100301
7100322,@7100301,@7100301,@7100301
7100323,@7100301,@7100301,@7100301
7100324,@7100301,@7100301,@7100301
7100325,@7100301,@7100301,@7100301
7100326,@7100301,@7100301,@7100301
7100327,@7100301,@7100301,@7100301
7100328,@7100301,@7100301,@7100301
7100329,@7100301,@7100301,@7100301
7100330,@7100301,@7100301,@7100301
7100401,"Ao usar uma habilidade normal, <Fontblue>{ViewEffectParam1}</> de chance de
redefinir o tempo de recarga da <Fontblue>habilidade normal mais recentemente usada</>,
tornando-a reutilizável imediatamente.

(O efeito se ativa uma vez a cada <Fontblue>{ViewEffectParam2} s</>)
(Aplica-se a: todos os lugares)",Efeito da Capa Heroica,"Ao usar uma habilidade normal, <Fontblue>{ViewEffectParam1}</> de chance de
redefinir o tempo de recarga da <Fontblue>habilidade normal mais recentemente usada</>. Tempo de Recarga: {ViewEffectParam2} s"
7100402,@7100401,@7100401,@7100401
7100403,@7100401,@7100401,@7100401
7100404,@7100401,@7100401,@7100401
7100405,@7100401,@7100401,@7100401
7100406,@7100401,@7100401,@7100401
7100407,@7100401,@7100401,@7100401
7100408,@7100401,@7100401,@7100401
7100409,@7100401,@7100401,@7100401
7100410,@7100401,@7100401,@7100401
7100411,@7100401,@7100401,@7100401
7100412,@7100401,@7100401,@7100401
7100413,@7100401,@7100401,@7100401
7100414,@7100401,@7100401,@7100401
7100415,@7100401,@7100401,@7100401
7100416,@7100401,@7100401,@7100401
7100417,@7100401,@7100401,@7100401
7100418,@7100401,@7100401,@7100401
7100419,@7100401,@7100401,@7100401
7100420,@7100401,@7100401,@7100401
7100421,@7100401,@7100401,@7100401
7100422,@7100401,@7100401,@7100401
7100423,@7100401,@7100401,@7100401
7100424,@7100401,@7100401,@7100401
7100425,@7100401,@7100401,@7100401
7100426,@7100401,@7100401,@7100401
7100427,@7100401,@7100401,@7100401
7100428,@7100401,@7100401,@7100401
7100429,@7100401,@7100401,@7100401
7100430,@7100401,@7100401,@7100401
7100601,"Ao receber dano de um monstro, <Fontblue>{ViewEffectParam1}</> de chance de ativar um escudo que dura <Fontblue>12 s</>. Defende de um ataque de habilidade de monstro <Fontblue>{ViewEffectParam2} vezes</> enquanto o escudo está ativo.

(O efeito se ativa uma vez a cada 3 min)
(Aplica-se a: Campo/Chefe Mundial/Masmorra Elite/Fenda Temporal/Masmorra de Clã/Masmorra de Monstro/Torre da Insolência/Masmorra Diária/Poço de Extração/Guardião do Templo/Masmorra de Adena/Círculo de Evocação)",Efeito da Capa da Destruição Vermelha,"Ao receber dano de um monstro, <Fontblue>{ViewEffectParam1}</> de chance de ativar um escudo que bloqueia um <Fontblue>ataque de habilidade de monstro {ViewEffectParam2} vezes</>. Tempo de Recarga: 3 min"
7100602,@7100601,@7100601,@7100601
7100603,@7100601,@7100601,@7100601
7100604,@7100601,@7100601,@7100601
7100605,@7100601,@7100601,@7100601
7100606,@7100601,@7100601,@7100601
7100607,@7100601,@7100601,@7100601
7100608,@7100601,@7100601,@7100601
7100609,@7100601,@7100601,@7100601
7100610,@7100601,@7100601,@7100601
7100611,@7100601,@7100601,@7100601
7100612,@7100601,@7100601,@7100601
7100613,@7100601,@7100601,@7100601
7100614,@7100601,@7100601,@7100601
7100615,@7100601,@7100601,@7100601
7100616,@7100601,@7100601,@7100601
7100617,@7100601,@7100601,@7100601
7100618,@7100601,@7100601,@7100601
7100619,@7100601,@7100601,@7100601
7100620,@7100601,@7100601,@7100601
7100621,@7100601,@7100601,@7100601
7100622,@7100601,@7100601,@7100601
7100623,@7100601,@7100601,@7100601
7100624,@7100601,@7100601,@7100601
7100625,@7100601,@7100601,@7100601
7100626,@7100601,@7100601,@7100601
7100627,@7100601,@7100601,@7100601
7100628,@7100601,@7100601,@7100601
7100629,@7100601,@7100601,@7100601
7100630,@7100601,@7100601,@7100601
7100701,"Ao receber dano de um jogador, <Fontblue>{ViewEffectParam1}</> de chance de ativar um escudo que dura <Fontblue>7 s</>. Defende de habilidades raras <Fontblue>{ViewEffectParam2} vezes</> enquanto o escudo está ativo.

(O efeito se ativa uma vez a cada 5 min)
(Aplica-se a: Arena/Campo de Batalha Honorável/Cerco à Fortaleza/Cerco ao Castelo/Arena de Lutas/Sede do Clã/Poço de Extração)",Efeito da Capa do Sangue Virtuoso,"Ao receber dano de um jogador, <Fontblue>{ViewEffectParam1}</> de chance de ativar um escudo que bloqueia um <Fontblue>ataque de habilidade rara {ViewEffectParam2} vezes</>. Tempo de Recarga: 5 min"
7100702,@7100701,@7100701,@7100701
7100703,@7100701,@7100701,@7100701
7100704,@7100701,@7100701,@7100701
7100705,@7100701,@7100701,@7100701
7100706,@7100701,@7100701,@7100701
7100707,@7100701,@7100701,@7100701
7100708,@7100701,@7100701,@7100701
7100709,@7100701,@7100701,@7100701
7100710,@7100701,@7100701,@7100701
7100711,@7100701,@7100701,@7100701
7100712,@7100701,@7100701,@7100701
7100713,@7100701,@7100701,@7100701
7100714,@7100701,@7100701,@7100701
7100715,@7100701,@7100701,@7100701
7100716,@7100701,@7100701,@7100701
7100717,@7100701,@7100701,@7100701
7100718,@7100701,@7100701,@7100701
7100719,@7100701,@7100701,@7100701
7100720,@7100701,@7100701,@7100701
7100721,@7100701,@7100701,@7100701
7100722,@7100701,@7100701,@7100701
7100723,@7100701,@7100701,@7100701
7100724,@7100701,@7100701,@7100701
7100725,@7100701,@7100701,@7100701
7100726,@7100701,@7100701,@7100701
7100727,@7100701,@7100701,@7100701
7100728,@7100701,@7100701,@7100701
7100729,@7100701,@7100701,@7100701
7100730,@7100701,@7100701,@7100701
