Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,Ilha Falante Oriental,Identificar {ReplaceString1},Ilha Falante Oriental,Derrote {ReplaceString2} monstro(s).,Derrote {TaskCount} monstro(s) na Ilha Falante Oriental.
2,Ilha Falante Ocidental,@1,Ilha Falante Ocidental,@1,Derrote {TaskCount} monstro(s) na Ilha Falante Ocidental.
3,Estrada de Gludin,@1,Estrada de Gludin,@1,Derrote {TaskCount} monstro(s) na Estrada de Gludin.
4,Planície de Gludio,@1,Planície de Gludio,@1,Derrote {TaskCount} monstro(s) na Planície de Gludio.
5,Mansão Windawood,@1,Mansão Windawood,@1,Derrote {TaskCount} monstro(s) na Mansão Windawood.
6,Deserto,@1,Deserto,@1,Derrote {TaskCount} monstro(s) no Deserto.
7,Planície de Dion,@1,Planície de Dion,@1,Derrote {TaskCount} monstro(s) na Planície de Dion.
8,Pântano de Cruma,@1,Pântano de Cruma,@1,Derrote {TaskCount} monstro(s) no Pântano de Cruma.
9,Pico da Dissonância,@1,Pico da Dissonância,@1,Derrote {TaskCount} monstro(s) no Pico da Dissonância.
10,Sacrários Uivantes,@1,Sacrários Uivantes,@1,Derrote {TaskCount} monstro(s) nos Sacrários Uivantes.
11,Domínio de Giran,@1,Domínio de Giran,@1,Derrote {TaskCount} monstro(s) no Domínio de Giran.
12,Praias da Névoa Mortal,@1,Praias da Névoa Mortal,@1,Derrote {TaskCount} monstro(s) na Praias da Névoa Mortal
13,Ilha do Demônio,@1,Ilha do Demônio,@1,Derrote {TaskCount} monstro(s) na Ilha do Demônio.
14,@13,@1,@13,@1,@13
15,Necrópole Assombrada,@1,Necrópole Assombrada,@1,Derrote {TaskCount} monstro(s) na Necrópole Assombrada.
16,@15,@1,@15,@1,@15
101,Ruínas Élficas 1º Andar,Conclusão automática de {ReplaceString1},Ruínas Élficas 1º Andar,@1,Derrote {TaskCount} monstro(s) nas Ruínas Élficas 1º Andar.
102,Ruínas Élficas 2º Andar,@101,Ruínas Élficas 2º Andar,@1,Derrote {TaskCount} monstro(s) nas Ruínas Élficas 2º Andar.
103,Formigueiro Catacumba 1,@101,Formigueiro Catacumba 1,@1,Derrote {TaskCount} monstro(s) no Formigueiro Catacumba 1.
104,Formigueiro Catacumba 2,@101,Formigueiro Catacumba 2,@1,Derrote {TaskCount} monstro(s) no Formigueiro Catacumba 2.
105,Torre de Cruma 2º Andar,@101,Torre de Cruma 2º Andar,@1,Derrote {TaskCount} monstro(s) na Torre de Cruma 2º Andar.
106,Torre de Cruma 3º Andar,@101,Torre de Cruma 3º Andar,@1,Derrote {TaskCount} monstro(s) na Torre de Cruma 3º Andar.
107,Torre de Marfim Catacumba 1,@101,Torre de Marfim Catacumba 1,@1,Derrote {TaskCount} monstro(s) na Torre de Marfim Catacumba 1.
108,@107,@101,@107,@1,@107
109,Torre de Marfim Catacumba 2,@101,Torre de Marfim Catacumba 2,@1,Derrote {TaskCount} monstro(s) na Torre de Marfim Catacumba 2.
110,@109,@101,@109,@1,@109
111,Torre de Marfim Catacumba 3,@101,Torre de Marfim Catacumba 3,@1,Derrote {TaskCount} monstro(s) na Torre de Marfim Catacumba 3.
112,@111,@101,@111,@1,@111
201,Santuário das Lembranças Perdidas,Exploração {ReplaceString1},Masmorra diária,@1,Derrote {TaskCount} monstro(s) na Masmorra Diária.
202,@201,@201,@201,@1,@201
203,Masmorra de extração,@201,Masmorra de extração,@1,Derrote {TaskCount} monstro(s) na Masmorra de extração.
204,@203,@201,@203,@1,@203
205,Templo da Água,Proteja {ReplaceString1},Guardião do Templo,@1,Derrote {TaskCount} monstro(s) na Guardião do Templo.
206,@205,@205,@205,@1,@205
207,Caixa forte de Kresous,Agitar {ReplaceString1},Masmorra de adena,@1,Derrote {TaskCount} monstro(s) na Masmorra de adena.
208,@207,@207,@207,@1,@207
209,Fenda do Submundo,Conquistar {ReplaceString1},Masmorra de experiência,@1,Derrote {TaskCount} monstro(s) na Masmorra de experiência.
210,@209,@209,@209,@1,@209
211,Entrada Selada,@201,Círculo de Invocação,@1,Derrote {TaskCount} monstros na Círculo de Invocação.
212,@211,@201,@211,@1,@211
301,Pedra de Evocação Maligna (rara),Purifique {ReplaceString1},Pedra de evocação de monstro raro,@1,Derrote {TaskCount} monstro(s) na masmorra usando uma Pedra de evocação de monstro raro.
302,@301,@301,@301,@1,@301
