Id,Name,ControlText
1202,엘프의 유적지 2층,
1203,@1202,
1204,@1202,
1205,@1202,
1206,개미굴 지하 2층,
1218,@1206,
1207,상아탑 1층 가이드 화살표,
1208,상아탑 3층 가이드 화살표,
1209,상아탑 1층 반대편 길막,
1210,상아탑 3층 반대편 길막,
1211,비밀의 숲 상층 가이드 화살표,
1212,비밀의 숲 하층 가이드 화살표 1,
1214,비밀의 숲 학살지 길막기 가젯,
1215,@1214,
1216,그랑카인의 성소 : 상아탑 지하 연구소,그랑카인의 힘을 흡수하는 중
1217,그랑카인의 성소 : 비밀의 숲 학살지,@1216
1219,크루마탑 2층 화살표,
1220,크루마탑 3층 화살표,
1221,자켄의 유령선,
1222,@1221,
211010101,이벤트용 크루마탑 길막기 가젯,
211010201,이벤트용 크루마탑 나가기용 가젯,제어장치 조작 중
82601,이벤트용 크루마탑 입장용 가젯 퀘스트용,@211010201
82701,이벤트용 크루마탑 입장용 가젯,@211010201
211010301,거인의 첫번째 연구자료,거인의 연구 자료 확인 중
211010401,거인의 두번째 연구자료,@211010301
211010501,거인의 세번째 연구자료,@211010301
211010601,거인의 네번째 연구자료,@211010301
211010701,거인의 상자,거인의 상자를 꺼내는 중
211010801,비어버린 거인의 만물상자,상자가 보이지 않는다.
211010901,쓰러진 하딘,하딘을 깨우는 중
211011001,코어 바닥,
211011101,방어막 해제 장치 1 - 활성,전력 장치를 조작해 보는 중…
211011201,방어막 해제 장치 1 - 비활성화,
211011301,방어막 해제 장치 2 - 활성,@211011101
211011401,방어막 해제 장치 2 - 비활성화,
211011501,거인의 다섯번째 연구자료,@211010301
211011601,거인의 여섯번째 연구자료,@211010301
211011701,거인의 일곱번째 연구자료,@211010301
211011801,거인의 여덟번째 연구자료,@211010301
1958,성소의 벽,
1959,@1958,
1960,@1958,
1961,@1958,
1962,@1958,
1963,@1958,
1964,@1958,
1965,@1958,
1970,@1958,
1971,@1958,
1982,@1958,
2014,@1958,
2015,@1958,
2016,@1958,
2017,@1958,
2021,@1958,
2022,@1958,
2023,@1958,
2027,@1958,
2029,@1958,
2038,붉은색 약초,붉은색 약초 채집 중
2039,푸른색 약초,푸른색 약초 채집 중
2040,보라색 약초,보라색 약초 채집 중
2041,노란색 약초,노란색 약초 채집 중
2042,무명초,무명초 채집 중
