Id,Name,Desc
1,모험가,"무한한 가능성을 가진 초심자입니다. 워리어, 로그, 메이지로 전직 가능합니다."
2,워리어,근접 위주의 전투를 펼치는 전사입니다
3,로그,단검과 활을 다루는데 능숙한 딜러입니다
4,메이지,마법을 사용하여 적을 공격하는 딜러입니다
5,팰러딘,높은 방어력과 방어 스킬로 무장한 탱커입니다
6,워로드,적을 지속적으로 약화시키며 싸우는 딜러입니다.
7,트레져 헌터,적을 기절시킨 후 연속 공격을 쏟는 딜러입니다.
8,호크아이,광역 피해와 슬로우스킬을 가진 원거리 딜러입니다.
9,소서러,지속적인 화염 피해를 입히는 딜러입니다.
10,비숍,힐과 기절 스킬로 아군을 돕는 힐러입니다
31,@1,@1
32,@2,@2
33,@3,@3
34,@4,@4
35,템플 나이트,넓은 주위를 공격하는 공격형 탱커입니다
36,소드 싱어,중거리 공격에 특출한 딜러입니다
37,플래인 워커,빠른 공격속도로 몰아치는 딜러입니다.
38,실버 레인져,빠르게 적들을 공격하는 원거리 딜러입니다.
39,스펠 싱어,적들을 느리게 하거나 얼리는 보조형 딜러입니다.
40,엘더,아군의 HP를 크게크게 회복하는 힐러입니다.
61,@1,@1
62,@2,@2
63,@3,@3
64,@4,@4
65,실리엔 나이트,적들의 HP를 흡수하며 싸우는 공격형 탱커입니다.
66,블레이드 댄서,높은 공격력으로 주변을 초토화 시키는 딜러입니다.
67,어비스 워커,빠른 공격 속도로 출혈 피해를 입히는 딜러입니다.
68,팬텀 레인져,공격속도는 느리나 강력한 한방을 가진 딜러입니다.
69,스펠 하울러,저주와 광역 지속 피해를 활용하는 딜러입니다.
70,실리엔 엘더,"아군의 전투력을 높이고, 파티를 회복하는 힐러입니다."
91,@1,@1
92,@2,@2
93,@3,@3
94,@4,@4
95,가디언,광역 군중제어를 사용하는 마법 탱커입니다.
96,슬레이어,@68
97,스케빈져,재빠른 이동 스킬로 적들을 유린하는 딜러입니다.
98,워 레인져,함정과 회피 스킬을 활용하는 원거리 딜러입니다.
99,쿼럴 위저드,빠른 시전으로 좁은 범위에 스킬을 쏟는 딜러입니다.
100,세이지,파티의 방어력을 증가시키는 보조형 힐러입니다.
