Id,Name,Description
1001,성물 각인시간 증가,성물 각인에 필요한 시간이 1초 증가합니다.
1002,@1001,성물 각인에 필요한 시간이 2초 증가합니다.
1003,@1001,성물 각인에 필요한 시간이 3초 증가합니다.
1004,@1001,성물 각인에 필요한 시간이 4초 증가합니다.
1005,@1001,성물 각인에 필요한 시간이 5초 증가합니다.
2001,방어탑 HP 증가,방어탑의 HP가 500 증가합니다.
2002,@2001,방어탑의 HP가 1000 증가합니다.
2003,@2001,방어탑의 HP가 1500 증가합니다.
2004,@2001,방어탑의 HP가 2000 증가합니다.
2005,@2001,방어탑의 HP가 2500 증가합니다.
3001,함정 공격력 증가,"함정의 공격력이 1% 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다."
3002,@3001,"함정의 공격력이 2% 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다."
3003,@3001,"함정의 공격력이 3% 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다."
3004,@3001,"함정의 공격력이 4% 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다."
3005,@3001,"함정의 공격력이 5% 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다."
