Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,항구 관리인 프쉬케,"어서 오세요. 말하는 섬에는 처음인가요?
이곳을 누르면, 자동 퀘스트가 진행돼요."
4001,,
4002,용병단장 더글라스,"퀘스트가 완료되면
자동 퀘스트가 중지되니,
다시 누르게."
6001,@4002,"마지막으로 연습하지.
다시 이곳을 눌러
나에게 말을 걸게."
11001,경비대장 헤럴드,가방 버튼을 눌러 보게. 가방에선 아이템을 확인할 수 있네.
11002,,
11003,@11001,"자동장착 버튼을 누르면,
간편하게 장비를 장착할 수 있지."
11004,,
11005,@11001,"이제 막 시작한 자네와 같은 모험가들에게 유용한 기능이니,
잘 활용하길 바라네."
11006,,
12001,페르넬,"<YellowBold>정령탄</>을 사용하면
보다 강력한 공격이 가능하지."
12002,@12001,"이곳을 누르면, 정령탄을 자동으로 사용할 수 있다네."
12003,@12001,이때 정령탄은 <YellowBold>공격할 때 마다 소모</>된다네.
12004,@12001,공격하지 않을 때는 사용되지 않으니 안심하게나.
12005,@12001,"자동 사용을 원하지 않으면, 다시 버튼을 누르면 되네."
12006,@12001,"<YellowBold>정령탄은 상점에서 </>쉽게 구할 수 있으니, 항상 준비해두는 것이 좋다네. 기억하게나!"
12007,,
13001,니아,요일 던전에 진입하는 방법을 알려 드릴게요.
13002,@13001,요일 던전의 입구는 던전 메뉴의 안에 있어요.
13003,@13001,여기를 터치하세요.
13004,@13001,다양한 던전들이 보이시죠? 
13005,@13001,"아직은 입장 가능한 던전이 많지 않지만, 성장을 통해 더 다양한 던전을 플레이 가능하게 될 겁니다."
13006,@13001,이제 요일 던전을 선택해 보세요.
13007,@13001,<YellowBold>요일 던전</>에서는 <YellowBold>매일 새로운 마물</>들이 출몰해요.
13008,@13001,"이 녀석들을 처치하시면, <YellowBold>특별한 보상</>을 받으실 수 있을 거에요!"
13009,@13001,강한 마물을 처치하실수록 더욱 귀한 보상을 얻을 테니 어서 빨리 강해지셔야 해요.
13010,@13001,어서 입장 버튼을 누르세요.
13011,,
13012,,
13013,,
13014,@13001,자동 사냥 버튼을 터치해 보세요.
13015,,
13016,,
13017,,
13018,@13001,"이렇게 강력한 몬스터를 쓰러뜨리다니, 대단해요!"
13019,,
13020,@13001,입장 횟수는 <YellowBold>매일 초기화</> 된대요. 하루하루 잊지 말고 도전하세요!
13021,,
13022,,
13023,@13001,요일 던전은 <YellowBold>실패해도 도전 횟수가 줄어들지 않는대요.</>도전을 어려워하지 마세요!!
13024,@13001,이번에는 실패했지만 다음에는 꼭 성공할 거에요. 
13025,,
14001,집정관 다니엘,자네의 업적을 열람하고 보상받기 위해서 메인메뉴를 이용해야 하네.
14002,@14001,업적을 확인하기 위해서는 우선 도전메뉴를 선택해야 하지.
14003,@14001,좋아. 이제 업적을 선택해 보게.
14004,@14001,"이곳에선 자네의 <YellowBold>업적</>을 인정받고,
그에 따른 <YellowBold>보상</>을 받을 수 있네."
14005,@14001,"마침 이미 달성한 <YellowBold>업적</>이 있는 것 같군.
<YellowBold>보상</>을 받아 보도록 하지."
14006,@14001,보상받기 버튼을 눌러보게.
14007,,
14008,@14001,잘했네. 공로를 많이 세우면 그에 걸맞는 <YellowBold>호칭과 능력</>을 부여받을 수도 있다네.
14009,@14001,바로 이곳을 통해 확인할 수 있지.
14010,@14001,아직은 쌓아둔 업적이 많지 않아 받을 수 있는 보상이 없군.
14011,@14001,"업적 등급이 오르면, 캐릭터의 능력도 증가하고 매일 보급품을 보상으로 받을 수 있지."
