Id,Value
1,[Param1] 님이 혈맹에 가입하였습니다.
2,[Param1] 님이 혈맹을 탈퇴하였습니다.
3,"[Param1]님의 등급이 [Param2]{[Param2]|가,이} 되었습니다."
4,[Param1]님이 새로운 군주로 임명되었습니다.
5,"혈맹의 레벨이 [Param1]{[Param1]|가,이} 되었습니다."
6,[Param1] 혈맹과 동맹을 체결했습니다.
7,[Param1] 혈맹과의 동맹이 파기 되었습니다.
8,[Param1] 님이 [Param2] 님에게 포상을 내렸습니다.
9,[Param1] 님이 모든 혈맹원에게 포상을 내렸습니다.
10,[Param1] 공략에 성공했습니다.
11,[Param1]의 입찰액을 갱신하세요!
12,[Param1]의 입찰이 연장되었습니다.
13,[Param1] 혈맹의 공성 진지가 공격받고 있습니다.
14,[Param1] 혈맹의 공성 진지가 파괴되었습니다.
15,공성전이 시작하면 축제 티켓은 모두 초기화 됩니다. 어서 상품권에 응모하세요.
16,[Time] [Param1] 님이 접속했습니다.
17,이전 군주의 장기 미접속으로 [Param1]님이 군주로 임명되었습니다.
18,다음 버프가 [Param1]초 후 생성됩니다.
19,[Param1]님이 [Param2]님을 처치했습니다.
20,"블루팀이 [Param1]{[Param1]|를,을} 획득했습니다."
21,"레드팀이 [Param1]{[Param1]|를,을} 획득했습니다."
22,[Param1]님이 연속 [Param2]킬을 달성하였습니다!
23,[Param1] 혈맹의 [Param2]님이 연속 [Param3]킬을 달성하였습니다!
24,명예의 전장이 열렸습니다. 전장에 합류하세요!
25,[Param1]분 후 명예의 전장이 시작됩니다. 전투를 준비해주세요!
26,용맹의 전장이 열렸습니다. 전장에 합류하세요!
27,[Param1]분 후에용맹의 전장이 시작됩니다. 전투를 준비해주세요!
28,[Param1] 님이 [Param2] 님을 포함하여 총 [Param3]명에게 포상을 내렸습니다.
