Id,Text
1,사냥
2,퀘스트
3,엘릭서 제작
4,스킬북 제작
5,업적
6,휴식 보상
7,즉시 달성
8,우정포인트 상점
9,소환 상점
10,소모품 상점
11,아데나 상점
12,토파즈 상점
13,패키지 상점
14,마일리지 상점
15,다이아 충전
16,매일 다이아
17,접속 꾸러미
18,성장 꾸러미
19,정예 던전
20,요일 던전
21,오만의 탑
22,채집 던전
23,결투장
24,친구
25,혈맹 상점
26,혈맹 선물 상점
27,혈맹 업적
28,블루다이아 상점
29,혈맹 기부
30,혈맹원 인사
31,오늘의 활동
32,명예의 전장
33,용맹의 전장
34,고대의 전장
35,아지트 퀘스트
36,"일반, 네임드"
37,월드보스
38,필드보스
39,@20
40,조합
41,분해
42,장비 던전
43,아데나 던전
44,소환석 던전
45,아지트 유물
46,보물 상자
47,점령 상점
48,공성전 축제
49,스크롤 상점
50,이벤트
51,여정 이벤트
52,웹 이벤트
53,접속 보상
54,도움 주기
55,공성전
56,요새전
57,코어분해
58,집혼석
59,교환
60,자유 요새전
61,시공의 균열
62,정복자의 전당
63,혈맹 던전
