Id,EffectTypeName
11011,
11021,
11031,
11041,
11051,
11061,
11062,공통 넉다운
12011,
12021,
12031,
12041,
12051,
12061,
12062,@11062
13011,
13021,
13031,
13041,
13051,
13061,
13062,@11062
14011,
14021,
14031,
14041,
14051,
14061,
14062,@11062
21011,
21021,
21031,
21041,
21051,
21061,
21062,@11062
22011,
22021,
22031,
22041,
22051,
22061,
22062,@11062
23011,
23021,
23031,
23041,
23051,
23061,
23062,@11062
24011,
24021,
24031,
24041,
24051,
24061,
24062,@11062
31011,
31021,
31031,
31041,
31051,
31061,
31071,
31081,
31082,@11062
32011,
32021,
32031,
32041,
32051,
32061,
32071,
32081,
32082,@11062
33011,
33021,
33031,
33041,
33051,
33061,
33071,
33081,
33082,@11062
34011,
34021,
34031,
34041,
34051,
34061,
34071,
34081,
34082,@11062
41011,
41021,
41031,
41041,
41051,
41061,
41062,@11062
42011,
42021,
42031,
42041,
42051,
42061,
42062,@11062
43011,
43021,
43031,
43041,
43051,
43061,
43062,@11062
44011,
44021,
44031,
44041,
44051,
44061,
44062,@11062
51011,
51021,
51031,
51041,
51042,@11062
52011,
52021,
52031,
52041,
52042,@11062
53011,
53021,
53031,
53041,
53042,@11062
54011,
54021,
54031,
54041,
54042,@11062
61011,
61021,
61031,
61041,
61042,@11062
62011,
62021,
62031,
62041,
62042,@11062
63011,
63021,
63031,
63041,
63042,@11062
64011,
64021,
64031,
64041,
64042,@11062
111111,
111121,
111123,@11062
111131,
111133,러시 임팩트:넉다운
111211,
111221,
111223,@11062
111231,어설트 슬래쉬
111234,공통 기절
111241,파워 샷
111242,@11062
111251,더블 샷
111311,에너지 볼트
111321,플레임 스트라이크
111331,윈드 스트라이크
121111,
121121,
121123,@11062
121131,
121133,@111133
121211,
121221,
121223,@11062
121231,@111231
121234,@111234
121241,@111241
121242,@11062
121251,@111251
121311,@111311
121321,@111321
121331,@111331
131111,
131121,
131123,@11062
131131,
131133,@111133
131211,
131221,
131223,@11062
131231,@111231
131234,@111234
131241,@111241
131242,@11062
131251,@111251
131311,@111311
131321,@111321
131331,@111331
141111,
141121,
141123,@11062
141131,
141133,@111133
141211,
141221,
141223,@11062
141231,@111231
141234,@111234
141241,@111241
141242,@11062
141251,@111251
141311,@111311
141321,@111321
141331,@111331
112111,슬램
112113,슬램:어그로
112114,@11062
112121,밴전스
112124,벤젼스:목표 고정
112125,@112124
112126,벤젼스:공격력 감소
112131,"마제스티:어그로증폭,물방/마방증폭,회피감소"
112211,
112214,@11062
112221,썬더 스톰
112231,메이저러티 스위프:동시타격증폭
112311,공격력
112313,샌드 클라우드:블라인드(명중감소)
112321,@112311
112323,스턴
112331,헤이스트:공속증폭
112332,헤이스트:회피증폭
112411,@112311
112412,넉다운
112421,애로우 레인
112431,"스나이프:사거리증가,공격,명중증가,이동불가"
112441,"호크아이:치명증가, 방어감소"
112511,볼케이노
112521,몰튼 보울
112531,부스트마나:최대MP증폭
112532,부스트마나:MP회복
112611,디바인 퍼니쉬먼트
112621,메이저힐
112622,@112621
122111,@112311
122113,트라이뷰널:목표 고정
122114,@11062
122121,에바스 그레이스
122131,이지스스탠스:일시 무적
122132,이지스스탠스:이속 증가
122211,소닉 블래스터
122221,소닉 스톰
122231,리듬오브컴뱃:공방증가
122241,송of헌터:파티치명확률
122311,
122313,이동속도 감소
122321,
122323,블레이드 허리케인:공속감소
122331,"플레인워크:공속,이속증폭"
122412,리썰 샷
122413,@112323
122421,더블 와이드 샷
122431,마인드 아이즈:크리확률대폭
122441,더블퀵스텝:이속대폭
122511,아이스 스피어
122521,
122523,블리자드 스톰:슬로우
122524,블리자드 스톰:스턴
122611,홀리파이어
122613,@122611
122615,홀리 파이어:받는피해 증가
122621,레스토레이션
122631,마인드리프레쉬:파티쿨탐감
122632,마인드리프레쉬:디버프해제
122641,"방어파티버프물리,마법"
132111,
132112,"라이프 리치:방어력감소,어그로"
132113,흡혈율
132121,@112311
132123,끌어오기
132125,체인 히드라:스턴
132126,체인 히드라:도발 면역
132131,"얼티미트디펜스:물방마방어대폭증,이동불가"
132132,@132131
132211,
132213,@11062
132221,
132222,허리케인 스톰:슬로우
132223,허리케인 스톰:이동속도 증가
132231,댄스of워려:파티물공증
132241,댄스of퓨리:파티공속증
132311,스팅
132312,스팅 : 방어 무시 피해
132313,스팅 : 출혈 추가 피해
132321,
132322,블러드 레인:출혈
132323,블러드 레인:기절
132331,비셔스스탠스:크리댐증폭
132332,비셔스스탠스:크리100%
132411,데스 스팅어
132421,스턴샷
132422,@112323
132431,"래피드파이어:공속증가,사정거리감소"
132441,"페이탈카운터:공격대폭증,회피감소"
132511,다크 브레스
132521,커럽션
132522,@132521
132531,마공증폭:마공대폭증
132611,
132613,힐
132621,
132623,블러디 레이지:슬로우
132624,블러디 레이지:버프 삭제
132631,엠파워:파티마공대폭증
132632,@112621
132641,@112621
142111,
142113,쓰러스트:방어력감소
142121,
142122,어스퀘이크:넉다운
142123,@142122
142211,파워스매쉬
142221,리프어택:넉다운
142223,@142221
142231,"앵그리드워프:공격증,방어감소"
142311,
142313,블레이드러시:치명저항감소
142321,
142322,소닉 스타:명중감소
142323,소닉 스타:침묵
142331,아데나서치:아데나획득량증가
142411,버스트샷
142412,버스트샷:넉다운
142413,버스트샷:도트
142421,어보이드 스텝
142422,어보이드 스텝:슬로우
142423,어보이드 스텝:사거리 증가
142511,
142513,@112323
142521,
142531,인파이터:파티일반공격증폭
142611,@132613
142612,디바인 프로텍트:방어 증가
