Name,TaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
폭정의 끝,루시엔을 기다리기,,,,
폭정의 끝,루시엔을 따라가기,,,,
폭정의 끝,국왕군 병사 처치,,,,
폭정의 끝,외성문 파괴,,,,
폭정의 끝,광장으로 진입,,,,
폭정의 끝,국왕군 증원군 처치,,,,
폭정의 끝,수호탑에 접근,,,,
폭정의 끝,부군주 말로 처치,,,,
폭정의 끝,부군주 말로 처치,,,,
폭정의 끝,수호탑 파괴,,,,
폭정의 끝,외성문 앞으로 이동,,,,
여행의 시작,용병단장 찾아가기,항구 관리인 프쉬케,"이곳은 모험가들이 경험을 쌓기 아주 좋은 곳이죠.
<p>일단 작은 일거리라도 하면서 이곳에 익숙해지는 것이 어떨까요?
<p>용병단장 더글라스가 새내기들을 위한 일거리를 주고 있어요. 항구를 빠져나가서 그를 만나보세요.",,
실력 증명,검은 늑대 사냥하기,용병단장 더글라스,"좋았어! 똑똑한 친구로군!
<P>그래 일자리를 찾고 있는 중이라고? 밥값을 벌고 싶다면 최소한의 자격이 필요하다는 것은 알고 있겠지?
<p>마침 주변에 늑대들이 출몰하니 실력을 좀 보여주게.",,
제대로 된 일거리,불곰 사냥하기,용병단장 더글라스,"이렇게 빨리 늑대들을 처리하는 사람은 드물지. 자네는 쓸만한 친구일 것 같아.
<p>그런 의미에서 제대로 된 일을 주지. 혹시 늑대들 근처에서 불곰들이 보이지 않았나? 항구와 마을을 오고 가는 상인들이 늑대와 불곰들 때문에 고생이야.
<p>이참에 불곰들도 좀 사냥해 보는 것은 어떤가? 물론 공짜로 해달라는 말은 아닐세. 기대해도 좋아!",용병단장 더글라스,"제길, 큰일이야! 항구 쪽에서 오크들이 습격해왔어!"
제대로 된 일거리,용병단장 찾아가기,,,,
제대로 된 일거리,오크의 습격,,,,
제대로 된 일거리,오크의 습격,,,,
비상사태!,경비대장 찾아가기,용병단장 더글라스,"난 부하들과 함께 민간인들을 지킬 테니 자네는 서둘러 항구로 가줄 수 있겠나?<p>거기서 경비대장을 만나거든 내가 보냈다고 하게! 갑작스러운 사태에 당황스럽겠지만, 부탁하네.",,
오크들의 습격,오크 전사 처치하기,경비대장 헤럴드,"나루터에 오크들이 집결해 있네! 귀신처럼 나타났다고! 대체 무슨 수로 저만한 병력을 몰래 이동시킬 수 있었는지 감이 안 잡히는군!
<p>아무튼 나루터를 지켜야 하네! 같이 싸워주게!",,
오크들의 습격,오크 호위병 처치하기,,,,
오크들의 습격,오크 돌격대장 찾기,,,,
오크들의 습격,오크 돌격대장 찾기,경비대장 헤럴드,"이런! 돌격대장이 없어졌네!
<P>놈이 그 사이에 항구 입구로 왔나 보네! 어서 항구 입구로 와주게! 어서!!",,
오크들의 습격,항구 입구로 이동,,,,
오크들의 습격,항구를 나가려는 오크 처치,,,,
오크들의 습격,돌격대장과 호위병 저지,,,,
전투 준비,장비 자동장착 배우기,경비대장 헤럴드,"고맙네. 자네 덕에 위기를 넘길 수 있었어. 아직은 부족한 점이 보이지만 앞으로가 기대되는군.
<P>보답이라고 해야 하나? 초보 용병에게 도움이 될 만한 장비 관리 방법 하나를 가르쳐 주지. 바로 <YellowBold>자동 장착</>이라네.",,
실종된 발굴단,코델리아와 대화하기,경비대장 헤럴드,"이거 자꾸 뭔가를 부탁하게 되어서 조금 미안한데... 간단한 일 한 가지만 더 도와줄 수 있겠나?
<p>최근 이 부근에서 유적 발굴단원 중 몇명이 사라진 모양이네.
<p>우리가 가서 해결을 하고 싶지만, 항구 쪽에 오크들이 언제 다시 들이닥칠지 모르는 일이라...
<p>괜찮다면 자네가 가서 확인을 좀 해주겠나?",코델리아,"누구세요? 아! 경비대장님이 보내서 오신 분이군요.
<p>이렇게 와주셔서 감사해요."
