Id,Name,Description,Unit
1001,전투력,전투력 순위,전투력
1,레벨,캐릭터 레벨 순위,레벨
2,물리 공격력,최대 물리 공격력 순위,물리공격력
3,물리 방어력,최대 물리 방어력 순위,물리방어력
4,마법 공격력,최대 마법 공격력 순위,마법공격력
5,마법 방어력,최대 마법 방어력 순위,마법방어력
6,HP,최대 HP 순위,HP
7,룬 각인,룬 각인 성공 횟수 순위,횟수
8,엘릭서,엘릭서 사용 순위,개수
9,몬스터 도감,완성한 몬스터 도감 순위,완성수
10,레벨 총합,서버 내 캐릭터 레벨 총합 순위,@1
12,명예 점수,누적 명예 점수 순위,점수
13,누적 횟수,누적 결투장 횟수 순위,@7
14,누적 승수,누적 결투장 승수 순위,승수
15,연승 횟수,최대 연승 횟수 순위,@7
18,주간 공헌도,주간 혈맹 공헌도 개인 순위,공헌도
19,누적 공헌도,누적 혈맹 공헌도 개인 순위,@18
20,공성전 기여도,누적 공성전 기여도 개인 순위,기여도
21,요새전 기여도,누적 요새전 기여도 개인 순위,@20
22,영웅 업적,영웅 업적 점수 순위,@12
27,출석,누적 출석 일수 순위,일수
28,최고가 거래,최고가 거래 순위,거래가
29,거래 횟수,최대 거래 횟수 순위,@7
30,강화 횟수,최대 강화 횟수 순위,@7
31,동반 강화,최대 동반 강화 순위,적용개수
32,합성 횟수,최대 합성 횟수 순위,@7
33,승급 횟수,최대 승급 횟수 순위,@7
34,초월 횟수,최대 초월 횟수 순위,@7
35,오만의 탑,오만의 탑 도달 층수 순위,층수
48,혈맹 명성,혈맹 명성 순위,@12
49,혈맹 전투력,혈맹 전투력 순위,@1001
1000,난투장,난투장 순위,@12
4000,명예의 전장,명예의 전장 전체 순위,@12
4001,@4000,명예의 전장 브론즈 3 순위,@12
4002,@4000,명예의 전장 브론즈 2 순위,@12
4003,@4000,명예의 전장 브론즈 1 순위,@12
4004,@4000,명예의 전장 실버 3 순위,@12
4005,@4000,명예의 전장 실버 2 순위,@12
4006,@4000,명예의 전장 실버 1 순위,@12
4007,@4000,명예의 전장 골드 3 순위,@12
4008,@4000,명예의 전장 골드 2 순위,@12
4009,@4000,명예의 전장 골드 1 순위,@12
4010,@4000,명예의 전장 플래티넘 3 순위,@12
4011,@4000,명예의 전장 플래티넘 2 순위,@12
4012,@4000,명예의 전장 플래티넘 1 순위,@12
4013,@4000,명예의 전장 다이아 3 순위,@12
4014,@4000,명예의 전장 다이아 2 순위,@12
4015,@4000,명예의 전장 다이아 1 순위,@12
4016,@4000,명예의 전장 마스터 순위,@12
4017,@4000,명예의 전장 그랜드 마스터 순위,@12
4018,@4000,명예의 전장 레전드 순위,@12
