Id,Name,Description
1,요일 던전,"매일 성장에 필요한 재료
아이템을 수급할 수 있습니다."
2,오만의 탑,"높게! 더 높게!! 
자신의 한계를 시험하라!"
3,정예 던전,"강력한 몬스터를 무찌르고 
엄청난 경험치를!"
4,채집 던전,"마법의 약초를 모아 
엘릭서를 제작하라!"
5,장비 던전,"주요 거점의 성물을 지켜내어
장비 보급을 지원하라!"
6,아데나 던전,"탐욕스런 드래곤의 둥지에서
아데나를 획득하라!"
7,경험치 던전,"대량의 경험치를
원한다면 오라!"
8,소환석 던전,"성물의 봉인을 해제하여
소환석을 획득하라!"
9,세련석 던전,"몬스터가 지키는 차원문을 파괴하여
보상을 획득하라!"
10,바르칼론의 흔적,"바르칼론의 날카로운 검은
대량의 출혈 피해를 줍니다."
11,여왕 개미의 동굴,"어둠의 동굴의 여왕개미는
자유 자재로 독을 사용합니다."
12,크루마 코어의 방,"정신을 지배하는 크루마 탑의
감시자입니다."
13,멜리사,유혹의 멜리사
14,광기의 제단,"광기로 가득찬
오크의 마을로 향하라!"
15,피의 여백작 침소,"실종된 기란 선발대와
여백작을 찾아라!"
