Id,Description
1,일반 몬스터 가격 시 최종 피해량에 [Param] 추가 대미지
2,엘리트 몬스터 가격 시 최종 피해량에 [Param] 추가 대미지
3,보스 몬스터 가격 시 최종 피해량에 [Param] 추가 대미지
4,플레이어 가격 시 최종 피해량에 [Param] 추가 대미지
5,일반 몬스터에게 받는 최종 피해량에 [Param] 감소
6,엘리트 몬스터에게 받는 최종 피해량에 [Param] 감소
7,보스 몬스터에게 받는 최종 피해량에 [Param] 감소
8,플레이어에게 받는 최종 피해량에 [Param] 감소
9,"기절, 넉다운 저항률 증폭 [Param] 증가"
10,마법 방어력 [Param] 증가
11,슬로우 저항률 증폭 [Param] 증가
12,크리티컬 저항률 증폭 [Param] 증가
13,이동속도 [Param] 증가
14,콤보 지속시간 [Param]초 증가
15,공격형 일반스킬 사용 시 [Param] 추가 대미지
16,마법생물형 몬스터 가격 시 최종 피해량에 [Param] 추가 대미지
17,마법생물형 몬스터에게 받는 최종 피해량에 [Param] 감소
19,공격형 일반스킬 사용 시 몬스터에게 [Param] 추가 대미지
20,회복형 일반스킬 사용 시 회복량에 [Param] 추가 회복
101,일반 몬스터 가격시 [Param] 추가 대미지
102,@101
103,@101
104,보스 몬스터 가격시 [Param] 추가 대미지
105,@104
106,@104
107,플레이어에게 받는 피해량 [Param] 감소
108,@107
109,플레이어 가격시 [Param] 추가 대미지
110,@109
111,일반 몬스터에게 받는 피해량 [Param] 감소
112,@111
113,엘리트 몬스터 가격시 [Param] 추가 대미지
114,@113
115,엘리트 몬스터에게 받는 피해량 [Param] 감소
116,@115
117,보스 몬스터에게 받는 피해량 [Param] 감소
118,@117
201,@104
202,@117
203,공성 구조물 가격시 [Param] 추가 대미지
204,@113
205,@104
206,마법생물형 몬스터 가격시 [Param] 추가 대미지
301,전장에서 공격속도 [Param] 증가
