Id,Name,Desc
1,엘프의 유적지 지하 1층 공략,라이칸 스로프 {TaskCount}마리 처치
2,@1,@1
3,@1,@1
4,@1,데스모두스 {TaskCount}마리 처치
5,@1,@4
6,@1,@4
7,@1,호러 윙 {TaskCount}회 처치
8,@1,류카온 {TaskCount}회 처치
9,@1,아라크네 {TaskCount}회 처치
10,@1,몬스터 코어 {TaskCount}개 획득
11,@1,@10
12,@1,던전 몬스터 {TaskCount}마리 처치
13,@1,@12
14,엘프의 유적지 지하 2층 공략,스파토이 광전사 {TaskCount}마리 처치
15,@14,스파토이 척후병 {TaskCount}마리 처치
16,@14,폐허 강철 거미 {TaskCount}마리 처치
17,@14,폐허 송곳니 거미 {TaskCount}마리 처치
18,@14,스파토이 추격자 {TaskCount}마리 처치
19,@14,스파토이 습격자 {TaskCount}마리 처치
20,@14,@14
21,@14,@15
22,@14,@16
23,@14,@17
24,@14,@18
25,@14,@19
26,@14,마니아코스 {TaskCount}회 처치
27,@14,필락스 {TaskCount}회 처치
28,@14,데스 게이저 {TaskCount}회 처치
29,@14,네크로스 {TaskCount}회 처치
30,@14,@10
31,@14,@10
32,@14,@10
33,@14,@12
34,@14,@12
35,@14,@12
36,개미굴 지하 1층 공략,병정개미 유충 {TaskCount}마리 처치
37,@36,일개미 유충 {TaskCount}마리 처치
38,@36,일개미 {TaskCount}마리 처치
39,@36,병정개미 {TaskCount}마리 처치
40,@36,@36
41,@36,@37
42,@36,@38
43,@36,리버 {TaskCount}회 처치
44,@36,개미굴 감독관 {TaskCount}회 처치
45,@36,@10
46,@36,@10
47,@36,@10
48,@36,@12
49,@36,@12
50,@36,@12
51,개미굴 지하 2층 공략,개미 유충 {TaskCount}마리 처치
52,@51,일개미 감독 {TaskCount}마리 처치
53,@51,병정개미 신병 {TaskCount}마리 처치
54,@51,@51
55,@51,@52
56,@51,@53
57,@51,개미굴 근위대장 {TaskCount}회 처치
58,@51,산란지 관리자 {TaskCount}회 처치
59,@51,@10
60,@51,@10
61,@51,@10
62,@51,@12
63,@51,@12
64,@51,@12
65,크루마 탑 2층 공략,모르데오의 부하 {TaskCount}마리 처치
66,@65,엑스쿠로 {TaskCount}마리 처치
67,@65,포르타 {TaskCount}마리 처치
68,@65,하이 엑스쿠로 {TaskCount}마리 처치
69,@65,모르데오의 근위대 {TaskCount}마리 처치
70,@65,결속된 포르타 {TaskCount}마리 처치
