Id,ItemName,Desc1,Desc2
4,엘릭서 정수 선택 상자,사용 시 엘릭서 정수 중 1종을 선택하여 획득할 수 있습니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
5,소탕권 선택 상자,사용 시 소탕권 중 1종을 선택하여 획득할 수 있습니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
10,소환석 조각 상자,사용 시 다양한 탑승펫의 소환석 조각을 랜덤하게 획득할 수 있습니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
11,강화주문서 상자,랜덤하게 강화주문서를 획득합니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
12,승급석 상자,랜덤하게 승급석을 획득합니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
26,경험치,경험치를 획득합니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
27,고급 경험치,대량의 경험치를 획득합니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
30,텔레포트 주문서,텔레포트에 사용됩니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
31,마프르의 가호 조각 5개,조각을 합성하여 마프르의 가호를 획득합니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
30000103,혈맹 장비 상자 1개,랜덤하게 A-SR등급의 장비를 획득합니다.,
30000104,혈맹 장비 상자 10+1개,랜덤하게 A-SR등급의 장비를 획득합니다.,
30000105,혈맹 강화주문서 상자 1개,@11,
30000106,HP포션 200개,사용 시 HP를 소량 회복합니다.,
30000107,MP포션 200개,사용 시 MP를 소량 회복합니다.,
30000108,정령탄 5000개,무기에 신비한 힘을 부여하여 데미지가 증가합니다.,
30000109,탑승펫 성장 상자 1개,"사용 시 탑승펫 장비(A~SR), 육성석 상자(소~대), 탑승펫 소환석 조각(블랙베어, 샤이닝레이디, 쿠쿠린, 갈기사자) 중 1개를 획득합니다.",
30000110,탑승펫 성장 상자 10+1개,@30000109,
201,유물 각인시간 증가 Lv1,유물 각인에 필요한 시간이 1초 추가 증가합니다.,
202,유물 각인시간 증가 Lv2,유물 각인에 필요한 시간이 2초 추가 증가합니다.,
203,유물 각인시간 증가 Lv3,유물 각인에 필요한 시간이 3초 추가 증가합니다.,
204,유물 각인시간 증가 Lv4,유물 각인에 필요한 시간이 4초 추가 증가합니다.,
205,유물 각인시간 증가 Lv5,유물 각인에 필요한 시간이 5초 추가 증가합니다.,
206,방어탑 내구도 증가 Lv1,,
207,방어탑 내구도 증가 Lv2,방어탑의 내구도가 20000 추가 증가합니다.,
208,방어탑 내구도 증가 Lv3,방어탑의 내구도가 30000 추가 증가합니다.,
209,방어탑 내구도 증가 Lv4,방어탑의 내구도가 40000 추가 증가합니다.,
210,방어탑 내구도 증가 Lv5,방어탑의 내구도가 50000 추가 증가합니다.,
211,함정 공격력 증가 Lv1,"함정의 공격력이 1% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",
212,함정 공격력 증가 Lv2,"함정의 공격력이 2% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",
213,함정 공격력 증가 Lv3,"함정의 공격력이 3% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",
214,함정 공격력 증가 Lv4,"함정의 공격력이 4% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",
215,함정 공격력 증가 Lv5,"함정의 공격력이 5% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",
301,포션 효율 증가 버프,"1시간 동안 혈맹에 군주 버프가 적용됩니다.
HP, MP포션 효율 20% 증가 (공성전, 요새전 제외)",
302,사냥 경험치/코어획득 증가 버프,"1시간 동안 혈맹에 군주 버프가 적용됩니다.
몬스터 처치로 얻는 경험치, 몬스터 코어 획득 확률 20% 증가",혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
303,사냥 아데나/아이템획득 증가 버프,"1시간 동안 혈맹에 군주 버프가 적용됩니다.
몬스터 처치로 얻는 아데나, 아이템 획득 확률 20% 증가",혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
158,HP 엘릭서 정수 1개,HP 엘릭서 제작을 위한 붉은색 정수입니다.,"C등급 이상 요새
점령 시 구매 가능"
159,MP 엘릭서 정수 1개,MP 엘릭서 제작을 위한 푸른색색 정수입니다.,@158
160,공격력 엘릭서 정수 1개,공격력 엘릭서 제작을 위한 보라색 정수입니다.,@158
161,방어력 엘릭서 정수 1개,방어력 엘릭서 제작을 위한 노란색 정수입니다.,@158
165,무기 승급석 1개,무기를 다음 등급으로 승급할 때 사용됩니다.,@158
166,방어구 승급석 1개,방어구를 다음 등급으로 승급할 때 사용됩니다.,@158
401,혈맹 망토 염색약 : 하급,혈맹 망토의 색을 변경할 때 필요한 아이템 입니다.,"요새 점령 시 
구매 가능"
402,혈맹 망토 염색약 : 중급,@401,"A등급 이상 요새 
점령 시 구매 가능"
404,혈맹 망토 문장 염색약 : 하급,혈맹 망토 문장의 색을 변경할 때 필요한 아이템 입니다.,@401
405,혈맹 망토 문장 염색약 : 중급,@404,@402
810000001,아데나 입수 버프 혈맹 물약 Lv.5,1시간 동안 아데나 획득량이 50% 증가합니다. (필드 사냥시에만 적용),@158
810000002,낡은 유물함,"낡은 유물입니다.
아지트의 유물 관리인에게 감정을 맡기면 보상을 획득할 수 있습니다.",@158
810000003,코어 드랍 버프 혈맹 물약 Lv.5,"사용시 몬스터 코어 드랍율이 50% 만큼 증가합니다.
효과는 1시간 동안 지속됩니다.","B등급 이상 요새
점령 시 구매 가능"
810000004,마프르의 가호,장비를 강화할 때 사용하며 실패시 수치가 하락하지 않습니다.,"A등급 이상 요새
점령 시 구매 가능"
810000005,축복받은 강화주문서 상자,랜덤하게 축복받은 강화주문서를 획득합니다.,@810000003
810000006,S등급 특성의 돌,사용 시 장비의 특성을 강화할 수 있는 아이템 입니다.,@810000003
810000007,R등급 특성의 돌,사용 시 장비의 특성을 강화할 수 있는 아이템 입니다.,@810000004
