Id,Adventure,Difficulty
1,전체,전체
2,정예 던전,엘프의 유적지 1층
3,@2,엘프의 유적지 2층
4,@2,개미굴 지하 1층
5,@2,개미굴 지하 2층
6,@2,크루마 탑 2층
7,@2,크루마 탑 3층
8,@2,상아탑 지하 1층
9,@2,상아탑 지하 2층
10,채집 던전,채집 던전
11,장비 던전,쉬움
12,@11,보통
13,@11,어려움
14,@11,매우 어려움
15,소환석 던전,@11
16,@15,@12
17,@15,@13
101,보스레이드,정령 목자
102,@101,조디악
103,@101,키리오스
104,@101,은빛 수염
105,@101,베파르
106,@101,카지르
107,@101,플레곤
108,@101,시스
109,@101,아마데우스
111,@101,스테노아
112,@101,마샤
118,@2,상아탑 지하 3층
124,시공의 균열,광기의 제단 - 쉬움
125,@124,광기의 제단 - 보통
129,@124,피의 여백작 침소 - 쉬움
130,@124,피의 여백작 침소 - 보통
140,희귀 몬스터 소환석 던전,말하는 섬
141,@140,글루디오
142,@140,디온
143,@140,기란
144,@140,오렌
145,보스 몬스터 소환석 던전,@141
146,@145,@142
147,@145,@143
148,@145,@144
